osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,width,bridge
399096155,True,1,Paseo de la Independencia,tertiary,30,False,61.736000000000004,"LINESTRING (-0.8829535 41.6500372, -0.8827112 41.6502943, -0.8825034 41.6504783)",,,
"[26600432, 428010157, 428010158]",True,,Calle de Felipe Sanclemente,residential,30,False,97.259,"LINESTRING (-0.8829535 41.6500372, -0.8829374 41.6500288, -0.8828775 41.6499975, -0.8828049 41.649962, -0.882488 41.6498699, -0.8819549 41.6497354, -0.8818713 41.649714)",,,
428031507,True,1,Calle de Isaac Peral,residential,30,False,78.014,"LINESTRING (-0.8812898 41.6495651, -0.881347 41.6494733, -0.8816118 41.6490489, -0.8816865 41.6489292)",,,
1097712497,False,,Calle de Felipe Sanclemente,residential,30,True,51.074,"LINESTRING (-0.8812898 41.6495651, -0.881415 41.6495972, -0.8818713 41.649714)",,,
26600390,True,1,Plaza de los Sitios,residential,30,False,78.333,"LINESTRING (-0.8798413 41.6490595, -0.8799054 41.6489489, -0.8800273 41.6487388, -0.8801464 41.6485332, -0.8802161 41.6484131)",,,
34994886,True,1,Calle de Felipe Sanclemente,residential,30,False,132.83700000000002,"LINESTRING (-0.8798413 41.6490595, -0.8799688 41.649104, -0.8801941 41.6491826, -0.8806196 41.6493312, -0.8811745 41.6495249, -0.8812898 41.6495651)",,,
427838245,True,1,Calle de Isaac Peral,residential,30,False,74.369,"LINESTRING (-0.880949 41.6501835, -0.8810221 41.6500493, -0.8812362 41.6496562, -0.8812898 41.6495651)",,,
"[679016810, 679016811]",True,1,Calle de Jerónimo Zurita,residential,30,False,125.212,"LINESTRING (-0.880949 41.6501835, -0.8808006 41.6501394, -0.8804784 41.6500283, -0.8796283 41.6497352, -0.8795755 41.6497208)",,,
"[428004485, 26600239]",True,1,"['Calle de Jerónimo de Blancas', 'Calle de San Miguel']",residential,30,False,145.695,"LINESTRING (-0.880435 41.6509181, -0.8800725 41.6507993, -0.8800346 41.6507934, -0.8799996 41.6507984, -0.879974 41.6508118, -0.8799594 41.6508287, -0.879474 41.6515063, -0.8794406 41.651553, -0.8793822 41.6516362)",,,
428010159,True,1,Calle de Isaac Peral,residential,30,False,92.17399999999999,"LINESTRING (-0.880435 41.6509181, -0.8804676 41.6508716, -0.880887 41.6502722, -0.880949 41.6501835)",,,
677962430,False,3,Calle del Coso,tertiary,,False,26.509,"LINESTRING (-0.8798195 41.6518123, -0.8800916 41.6519368)",,,
26600326,True,1,Calle de Josefa Amar y Borbón,residential,30,False,111.812,"LINESTRING (-0.8798195 41.6518123, -0.8798883 41.6517157, -0.8804113 41.6509534, -0.880435 41.6509181)",,,
369249723,False,2,Calle del Coso,tertiary,30,True,41.275,"LINESTRING (-0.8798195 41.6518123, -0.8797226 41.6517745, -0.8793822 41.6516362)",,,
