osmid,oneway,lanes,name,highway,reversed,length,geometry,width,maxspeed,junction,tunnel
158532666,False,,Calle Francisco Pérez y Vacas,tertiary,False,118.413,"LINESTRING (-6.5394613 37.3379697, -6.5390914 37.3378995, -6.5387498 37.3378165, -6.5385569 37.3377705, -6.538166 37.3377012)",,,,
158532659,True,,Calle Colón,residential,False,83.463,"LINESTRING (-6.53927 37.3363609, -6.5389526 37.3361919, -6.5387616 37.3360425, -6.5386784 37.33592, -6.5386075 37.335844)",,,,
158532664,False,,Calle Colón,residential,True,82.286,"LINESTRING (-6.53927 37.3363609, -6.5390389 37.3365642, -6.5389187 37.3367504, -6.538799 37.3369888)",,,,
78316904,False,,Calle Julio Jiménez,residential,False,148.032,"LINESTRING (-6.5331487 37.3426082, -6.5338857 37.3414128)",,,,
297322993,False,,Calle Reyes Católicos,tertiary,True,86.945,"LINESTRING (-6.5344522 37.3351874, -6.5344975 37.3352107, -6.5350447 37.3352421, -6.5354247 37.335222)",,,,
400770899,False,,Calle San Vicente,tertiary,False,158.02,"LINESTRING (-6.5344522 37.3351874, -6.5348593 37.334904, -6.5349905 37.3348062, -6.5351016 37.3347296, -6.5353738 37.3344262, -6.5355011 37.3342452, -6.535645 37.3341468)",,,,
400770899,False,,Calle San Vicente,tertiary,True,88.822,"LINESTRING (-6.5344522 37.3351874, -6.5342887 37.3352205, -6.5340537 37.3353628, -6.533651 37.3356495)",,,,
78316721,False,,Calle El Salvador,residential,False,125.467,"LINESTRING (-6.5432066 37.3356065, -6.5418089 37.3358019)",,,,
78316721,False,,Calle El Salvador,residential,True,29.474,"LINESTRING (-6.5432066 37.3356065, -6.5435357 37.3355642)",,,,
78316844,False,,Calle Cuba,residential,False,66.298,"LINESTRING (-6.5432066 37.3356065, -6.5431075 37.3350155)",,,,
78316808,True,,Calle Delgado Hernández,tertiary,False,24.382,"LINESTRING (-6.5348404 37.3363358, -6.5350152 37.3361662)",,,,
400770905,False,,Calle Santiago,residential,True,60.385,"LINESTRING (-6.5348404 37.3363358, -6.5344705 37.3362614, -6.5341737 37.3362194)",,,,
234343722,False,2,Calle Miguel Hernández,tertiary,True,74.245,"LINESTRING (-6.541692 37.3351407, -6.5418089 37.3358019)",,,,
400642301,False,2,Avenida de la Paz,tertiary,False,19.623,"LINESTRING (-6.541692 37.3351407, -6.5416606 37.334966)",,,,
78316739,False,,Calle Teniente Merchante,tertiary,False,135.267,"LINESTRING (-6.541692 37.3351407, -6.5416171 37.3351583, -6.5402251 37.3354864)",,,,
158531890,True,,Calle Unión,residential,False,49.14,"LINESTRING (-6.5368074 37.3390626, -6.5369737 37.3388487, -6.5371082 37.3386911)",,,,
78316801,True,,Calle Santa María,residential,False,88.989,"LINESTRING (-6.5397968 37.3342492, -6.5405859 37.3337524)",,,,
78316892,True,,Calle Aire,residential,False,11.93,"LINESTRING (-6.538799 37.3369888, -6.538673 37.3370272)",,,,
78316712,True,,Calle Daoiz,residential,False,95.842,"LINESTRING (-6.538799 37.3369888, -6.5389278 37.3371253, -6.5393504 37.3374359, -6.5395662 37.3375946)",,,,
158532664,False,,Calle Colón,residential,False,82.286,"LINESTRING (-6.538799 37.3369888, -6.5389187 37.3367504, -6.5390389 37.3365642, -6.53927 37.3363609)",,,,
78316792,False,,Calle Ayamonte,tertiary,True,25.445,"LINESTRING (-6.5329862 37.3381358, -6.5332635 37.3381971)",,,,
400809773,False,,Calle Cartaya,residential,False,29.065,"LINESTRING (-6.5329862 37.3381358, -6.5330601 37.3378811)",,,,
234343071,False,2,Avenida del 28 de Febrero,tertiary,False,82.881,"LINESTRING (-6.5388459 37.3414025, -6.5386793 37.340669)",,,,
234343861,True,,Calle Murillo,residential,False,54.874,"LINESTRING (-6.5388459 37.3414025, -6.5386371 37.3413283, -6.5383403 37.3411247)",,,,
78316755,False,,Calle Guadalquivir,residential,True,60.737,"LINESTRING (-6.5431532 37.3383862, -6.5437192 37.3386958)",,,,
400825226,False,2,Calle Condado de Niebla,tertiary,False,53.187,"LINESTRING (-6.5431532 37.3383862, -6.5434519 37.337971)",,,,
400825226,False,2,Calle Condado de Niebla,tertiary,True,180.494,"LINESTRING (-6.5431532 37.3383862, -6.5421249 37.3397885)",,,,
985110874,False,,Calle Nerva,tertiary,False,86.115,"LINESTRING (-6.533641 37.3397709, -6.5342181 37.339147)",,,,
985110874,False,,Calle Nerva,tertiary,True,108.62299999999999,"LINESTRING (-6.533641 37.3397709, -6.5331382 37.3403262, -6.5329202 37.340562)",,,,
400770899,False,,Calle San Vicente,tertiary,True,158.02,"LINESTRING (-6.535645 37.3341468, -6.5355011 37.3342452, -6.5353738 37.3344262, -6.5351016 37.3347296, -6.5349905 37.3348062, -6.5348593 37.334904, -6.5344522 37.3351874)",,,,
80203674,False,,Calle Rábida,tertiary,False,94.824,"LINESTRING (-6.5419875 37.3414808, -6.5413647 37.3407865)",,,,
80203674,False,,Calle Rábida,tertiary,True,35.212,"LINESTRING (-6.5419875 37.3414808, -6.5422323 37.3417306)",,,,
78316761,False,,Calle Paloma,residential,False,116.75200000000001,"LINESTRING (-6.5419875 37.3414808, -6.5425304 37.3411179, -6.5428353 37.3406966)",,,,
"[78316892, 400799854]",True,,"['Calle Pérez Merchante', 'Calle Aire']",residential,False,166.7,"LINESTRING (-6.538673 37.3370272, -6.5385603 37.3371424, -6.5382923 37.3372218, -6.5382006 37.3372532, -6.5381572 37.3372235, -6.5380988 37.3371308, -6.5380083 37.3367709, -6.5379171 37.3363783, -6.5378822 37.3362503)",,,,
78316763,True,,Calle Manuel Cano Lagares,residential,False,63.562,"LINESTRING (-6.5356095 37.3374026, -6.5351807 37.3372778, -6.5349185 37.3372713)",,,,
158531886,True,,Calle San Francisco,tertiary,False,93.596,"LINESTRING (-6.5356095 37.3374026, -6.5357007 37.3374325, -6.5360894 37.3374903, -6.5366531 37.3375156)",,,,
400770895,True,,Calle Miguel de Cervantes,tertiary,False,113.875,"LINESTRING (-6.5356095 37.3374026, -6.5356042 37.3375242, -6.535572 37.3376905, -6.5354893 37.3378376, -6.5351611 37.3382415, -6.535136 37.3383315)",,,,
78316875,True,,Calle Almirante Pinzón,residential,False,203.385,"LINESTRING (-6.5418972 37.3368349, -6.5399879 37.3358146)",,,,
234343722,False,2,Calle Miguel Hernández,tertiary,False,13.299,"LINESTRING (-6.5418972 37.3368349, -6.5418977 37.3367153)",,,,
234343722,False,2,Calle Miguel Hernández,tertiary,True,36.271,"LINESTRING (-6.5418972 37.3368349, -6.5418798 37.3371608)",,,,
158531890,True,,Calle Unión,residential,False,27.309,"LINESTRING (-6.5366394 37.3392687, -6.5368074 37.3390626)",,,,
400799858,True,,Avenida de Mariano de Ayala,tertiary,False,52.625,"LINESTRING (-6.5366394 37.3392687, -6.5361251 37.3390304)",5,,,
78316739,False,,Calle Teniente Merchante,tertiary,True,30.396,"LINESTRING (-6.5398923 37.335555, -6.5402251 37.3354864)",,,,
78316739,False,,Calle Teniente Merchante,tertiary,False,118.185,"LINESTRING (-6.5398923 37.335555, -6.5393506 37.3356744, -6.5387108 37.3358062, -6.5386075 37.335844)",,,,
78316959,False,,Calle Sagasta,tertiary,False,123.789,"LINESTRING (-6.5398923 37.335555, -6.5397414 37.3353026, -6.5395966 37.335092, -6.5392238 37.3345775)",,,,
