osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
276445415,,residential,False,False,10.131,,"LINESTRING (-3.3532578 39.367532, -3.3532658 39.3676229)",,
85652539,Calle Santa Teresa,residential,True,False,67.006,,"LINESTRING (-3.3532578 39.367532, -3.3531421 39.367203, -3.3530282 39.3669566)",,
276175026,Calle La Labradora,residential,False,False,56.754,,"LINESTRING (-3.3568066 39.366252, -3.3574656 39.3662827)",,
276175026,Calle La Labradora,residential,False,True,75.934,,"LINESTRING (-3.3568066 39.366252, -3.355931 39.366342)",,
274799136,Calle Cristo de Urda,residential,False,False,44.065000000000005,,"LINESTRING (-3.3568066 39.366252, -3.3566804 39.365967, -3.356649 39.3658751)",,
274799136,Calle Cristo de Urda,residential,False,True,98.737,,"LINESTRING (-3.3568066 39.366252, -3.3569019 39.3667251, -3.3570636 39.3671147)",,
85652547,Travesía Matallana,residential,False,False,51.029,,"LINESTRING (-3.3597331 39.3672205, -3.3597112 39.3676791)",,
85652591,Calle de Matallana,residential,False,True,98.59100000000001,,"LINESTRING (-3.3597331 39.3672205, -3.3592785 39.3671393, -3.3589772 39.3670524, -3.3587255 39.3668548)",,
85652424,Calle Hermógenes Rodríguez,residential,False,True,52.134,,"LINESTRING (-3.3592085 39.3688363, -3.3591819 39.3683679)",,
85652424,Calle Hermógenes Rodríguez,residential,False,False,62.748000000000005,,"LINESTRING (-3.3592085 39.3688363, -3.3592272 39.3691415, -3.3592198 39.3694002)",,
274799118,Calle Gaitán,residential,False,True,91.334,,"LINESTRING (-3.3592085 39.3688363, -3.3583912 39.3687996, -3.3581482 39.3687843)",,
85652424,Calle Hermógenes Rodríguez,residential,False,False,162.044,,"LINESTRING (-3.3583396 39.3671104, -3.3590884 39.3679223, -3.3591595 39.3680254, -3.3591822 39.3682158, -3.3591819 39.3683679)",,
274799120,Calle Juan Coto,tertiary,True,False,43.801,CM-420,"LINESTRING (-3.3583396 39.3671104, -3.3585362 39.3669991, -3.3587255 39.3668548)",,
85652478,Calle la Tercia,residential,False,True,50.814,,"LINESTRING (-3.3534515 39.3656603, -3.3540222 39.3655413)",,
300710795,Calle Oratorio,residential,False,False,127.44300000000001,,"LINESTRING (-3.3534515 39.3656603, -3.3534992 39.3660267, -3.353517 39.3663649, -3.3536158 39.3667976)",,
83015021,Calle Cristo de la Misericordia,residential,False,False,145.914,,"LINESTRING (-3.3523294 39.3670592, -3.3521444 39.3669242, -3.3517859 39.3667811, -3.3512681 39.3666173, -3.3508129 39.3664995)",,
276445406,Calle Pintor,residential,False,False,80.565,,"LINESTRING (-3.3523294 39.3670592, -3.3522641 39.3671001, -3.3521769 39.3671344, -3.3518651 39.3672567, -3.3515019 39.3673964)",,
85652570,Calle Coronel Fernández Montes,residential,False,True,17.291,,"LINESTRING (-3.3541872 39.3642754, -3.3541695 39.3644303)",,
276445405,Calle Cruces,residential,False,False,96.659,,"LINESTRING (-3.3541872 39.3642754, -3.3538977 39.3643641, -3.3531881 39.3646708)",,
274799107,Avenida Labradora,residential,False,False,44.155,,"LINESTRING (-3.3592117 39.3662413, -3.3595551 39.3662161, -3.3597238 39.366216)",,
274799143,,residential,False,False,14.802,,"LINESTRING (-3.3592117 39.3662413, -3.3592395 39.3663458, -3.3592494 39.3663711)",,
276175026,Calle La Labradora,residential,False,True,96.269,,"LINESTRING (-3.3592117 39.3662413, -3.3587467 39.3662782, -3.3580943 39.3662757)",,
85652371,Calle Tahona,residential,False,False,59.697,,"LINESTRING (-3.3581225 39.3693208, -3.3581482 39.3687843)",,
85652589,Calle Capas,residential,False,True,102.893,,"LINESTRING (-3.3581225 39.3693208, -3.3569288 39.3692526)",,
85652371,Calle Tahona,residential,False,True,56.852,,"LINESTRING (-3.3581225 39.3693208, -3.3580578 39.3696875, -3.3580035 39.3698223)",,
85652589,Calle Capas,residential,False,False,94.742,,"LINESTRING (-3.3581225 39.3693208, -3.3590201 39.3693829, -3.3592198 39.3694002)",,
274799123,Calle San José,residential,False,False,9.101,,"LINESTRING (-3.3573352 39.370416, -3.3574129 39.3704716)",,
85652371,Calle Tahona,residential,False,False,87.601,,"LINESTRING (-3.3573352 39.370416, -3.3575918 39.3702139, -3.3578406 39.3699767, -3.3580035 39.3698223)",,
274799123,Calle San José,residential,False,True,98.118,,"LINESTRING (-3.3573352 39.370416, -3.3566948 39.3699242, -3.356529 39.3697914)",,
274799136,Calle Cristo de Urda,residential,False,False,249.364,,"LINESTRING (-3.356649 39.3658751, -3.3565708 39.3654926, -3.3564999 39.3652599, -3.3563407 39.3646301, -3.3563183 39.3643542, -3.356175 39.3639675, -3.3560462 39.3636889)",,
274799136,Calle Cristo de Urda,residential,False,True,44.065000000000005,,"LINESTRING (-3.356649 39.3658751, -3.3566804 39.365967, -3.3568066 39.366252)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,75.586,CM-3165,"LINESTRING (-3.3578722 39.3668477, -3.3570636 39.3671147)",,
274799126,Calle Tintoreros,residential,False,False,65.049,,"LINESTRING (-3.3578722 39.3668477, -3.3576303 39.3662934)",,
274799126,Calle Tintoreros,residential,False,True,46.958,,"LINESTRING (-3.3578722 39.3668477, -3.3581509 39.3672109)",,
85652379,Calle La Vereda,residential,False,True,29.083,,"LINESTRING (-3.356868 39.3645046, -3.3566761 39.3642892)",,
85652379,Calle La Vereda,residential,False,False,204.612,,"LINESTRING (-3.356868 39.3645046, -3.3569025 39.3646301, -3.3572784 39.3655414, -3.3574656 39.3662827)",,
85652453,Calle César,residential,False,False,174.26399999999998,,"LINESTRING (-3.356868 39.3645046, -3.3572701 39.3646896, -3.3578136 39.3654, -3.3579712 39.36576)",,
85652443,Calle Gómez Montalbán,residential,False,False,78.055,,"LINESTRING (-3.3515019 39.3673964, -3.3519581 39.3677571, -3.3521287 39.3679041)",,
85652443,Calle Gómez Montalbán,residential,False,True,87.735,,"LINESTRING (-3.3515019 39.3673964, -3.3511304 39.3671607, -3.3506805 39.3669298)",,
276445406,Calle Pintor,residential,False,True,80.565,,"LINESTRING (-3.3515019 39.3673964, -3.3518651 39.3672567, -3.3521769 39.3671344, -3.3522641 39.3671001, -3.3523294 39.3670592)",,
85652424,Calle Hermógenes Rodríguez,residential,False,False,52.134,,"LINESTRING (-3.3591819 39.3683679, -3.3592085 39.3688363)",,
274799113,Calle Cervantes,residential,False,True,90.801,,"LINESTRING (-3.3591819 39.3683679, -3.3581296 39.3682971)",,
85652424,Calle Hermógenes Rodríguez,residential,False,True,162.04399999999998,,"LINESTRING (-3.3591819 39.3683679, -3.3591822 39.3682158, -3.3591595 39.3680254, -3.3590884 39.3679223, -3.3583396 39.3671104)",,
274573443,Calle Manuel de Falla,residential,False,False,82.46000000000001,,"LINESTRING (-3.3493137 39.367366, -3.3497418 39.3677923, -3.3497712 39.367823, -3.3498973 39.3679545)",,
85652538,Avenida Alcalde José Roselló,residential,True,False,56.683,,"LINESTRING (-3.3495756 39.3699456, -3.3495457 39.3698725, -3.3494788 39.3694425)",,
274573414,,residential,True,False,8.148,,"LINESTRING (-3.3495756 39.3699456, -3.3495283 39.3699442, -3.3494832 39.3699556)",roundabout,
279692926,Calle Andrés Segovia,residential,False,False,152.539,,"LINESTRING (-3.3496723 39.370011, -3.3511495 39.3692509)",,
274573414,,residential,True,False,11.402000000000001,,"LINESTRING (-3.3496723 39.370011, -3.3496348 39.3699687, -3.3495756 39.3699456)",roundabout,
980810701,Avenida Alcalde José Roselló,residential,False,False,72.859,,"LINESTRING (-3.349497 39.3701392, -3.3496173 39.3707878)",,
274573414,,residential,True,False,9.266,,"LINESTRING (-3.349497 39.3701392, -3.3495347 39.3701497, -3.3496015 39.3701411)",roundabout,
274573414,,residential,True,False,17.095000000000002,,"LINESTRING (-3.3496015 39.3701411, -3.3496534 39.3701092, -3.3496791 39.3700619, -3.3496723 39.370011)",roundabout,
274573420,Avenida Alcalde José Roselló,residential,False,True,70.867,,"LINESTRING (-3.3496015 39.3701411, -3.3496815 39.3707142, -3.3496942 39.3707743)",,
274573418,,tertiary,True,False,6.896000000000001,CM-3165,"LINESTRING (-3.3496942 39.3707743, -3.3496541 39.3707755, -3.3496173 39.3707878)",roundabout,
