osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge
83412187,True,,Carrer de la Corbella,residential,,False,79.417,"LINESTRING (-0.5219083 39.2246042, -0.5221645 39.2252659, -0.5221732 39.2252883)",,,
83602252,True,CV-5240,Ronda del Maleco,tertiary,,False,33.728,"LINESTRING (-0.5173664 39.2264904, -0.5174392 39.2267022, -0.5174326 39.2267317, -0.5174206 39.2267851)",,,
1164841092,False,CV-5240,Ronda del Maleco,tertiary,,True,28.003999999999998,"LINESTRING (-0.5173664 39.2264904, -0.5172735 39.2263443, -0.5172227 39.2262645)",,,
83357736,True,,Avinguda del Bolero de Carlet,residential,,False,29.322,"LINESTRING (-0.5206397 39.221856, -0.520945 39.2217394)",,,
83412187,True,,Carrer de la Corbella,residential,,False,66.186,"LINESTRING (-0.5206397 39.221856, -0.5209762 39.2223911)",,,
83357706,True,,Carrer de Sant Bernat i les Germanes,residential,,False,35.606,"LINESTRING (-0.5186923 39.226876, -0.5189251 39.2271406)",,,
83357671,False,,Calle del Rosario,residential,,True,68.08,"LINESTRING (-0.5186923 39.226876, -0.5192442 39.2266719, -0.5193935 39.2265957)",,,
83357755,True,,Avinguda del Sud,residential,,False,39.885,"LINESTRING (-0.5156761 39.2237228, -0.5160744 39.2235399)",,,
83404258,False,,Ronda del Maleco,residential,,True,47.473,"LINESTRING (-0.5156761 39.2237228, -0.5154282 39.2233415)",,,
83404258,False,,Ronda del Maleco,residential,,False,80.43599999999999,"LINESTRING (-0.5156761 39.2237228, -0.5157194 39.2238286, -0.5160598 39.2243813)",,,
83357679,True,,Carrer Comtessa de Carlet,residential,,False,80.86800000000001,"LINESTRING (-0.5186131 39.225774, -0.5185821 39.2257209, -0.5182264 39.2251113)",,,
83357694,True,,Carrer del Cor de Jesús,residential,,False,57.04,"LINESTRING (-0.5186131 39.225774, -0.5185368 39.2258, -0.518074 39.225958, -0.5180071 39.2259808)",,,
83357674,True,,Carrer de Juan Vicente Mora,residential,,False,53.036,"LINESTRING (-0.5194115 39.2232998, -0.5188327 39.2234624)",,,
83357725,False,,Carrer de la Constitució,residential,,False,94.325,"LINESTRING (-0.5194115 39.2232998, -0.5198044 39.2240916)",,,
83357679,True,,Carrer Comtessa de Carlet,residential,,False,28.204,"LINESTRING (-0.5172141 39.2233901, -0.5170783 39.2231593)",,,
83357705,False,,Calle del Río Magro,residential,,True,122.796,"LINESTRING (-0.5172141 39.2233901, -0.5185483 39.2230012)",,,
83357767,True,,Carrer de Bailén,residential,,False,103.414,"LINESTRING (-0.5226823 39.2278253, -0.5223487 39.2269319)",,,
83357677,True,,Carrer del Forn,residential,,False,39.528000000000006,"LINESTRING (-0.5226823 39.2278253, -0.5230376 39.2277356, -0.5231186 39.2277151)",,,
83357710,True,,Carrer d'Eduardo Primo,residential,,False,72.285,"LINESTRING (-0.5234717 39.2242647, -0.5232851 39.2236309)",,,
83412228,True,,Carrer de Jaume I,residential,,False,54.806,"LINESTRING (-0.5234717 39.2242647, -0.5240843 39.2241316)",,,
83412192,True,,Carrer Llarg,residential,,False,53.963,"LINESTRING (-0.5217611 39.2280393, -0.5215685 39.2275775)",,,
83357677,True,,Carrer del Forn,residential,,False,45.525,"LINESTRING (-0.5217611 39.2280393, -0.5222085 39.2279429, -0.5222703 39.2279296)",,,
83357773,False,,Carrer de Sans,residential,,False,25.109,"LINESTRING (-0.5209203 39.2285038, -0.5206383 39.228561)",,,
