osmid,ref,highway,oneway,reversed,length,name,geometry,junction
223645740,,residential,False,False,90.088,218. Sokak,"LINESTRING (40.6596507 37.8466328, 40.6601043 37.8473595)",
223645740,,residential,False,True,39.793,218. Sokak,"LINESTRING (40.6596507 37.8466328, 40.6594588 37.8463086)",
223645762,,residential,False,True,50.044,221. Sokak,"LINESTRING (40.6596507 37.8466328, 40.6591286 37.8468133)",
223645762,,residential,False,False,92.505,221. Sokak,"LINESTRING (40.6596507 37.8466328, 40.6604806 37.8463399, 40.6606146 37.8462972)",
223645740,,residential,False,False,39.793,218. Sokak,"LINESTRING (40.6594588 37.8463086, 40.6596507 37.8466328)",
223645740,,residential,False,True,52.505,218. Sokak,"LINESTRING (40.6594588 37.8463086, 40.6591745 37.8458932)",
221603511,,tertiary,False,False,106.207,15. Cadde,"LINESTRING (40.6594588 37.8463086, 40.6595546 37.8462747, 40.659812 37.8462197, 40.6603485 37.8461307, 40.66063 37.8460766)",
223645762,,residential,False,False,47.942,221. Sokak,"LINESTRING (40.6581443 37.8471593, 40.6586479 37.8469927)",
331962735,,residential,False,False,98.666,224. Sokak,"LINESTRING (40.6581443 37.8471593, 40.6582801 37.8473499, 40.658526 37.8477143, 40.6586507 37.8479503)",
221603645,,tertiary,False,False,65.779,Güneş Caddesi,"LINESTRING (40.6597289 37.8479027, 40.6604772 37.8478744)",
221603645,,tertiary,False,True,15.454,Güneş Caddesi,"LINESTRING (40.6597289 37.8479027, 40.6595535 37.8479142)",
223645860,,residential,False,True,41.589,220. Sokak,"LINESTRING (40.6597289 37.8479027, 40.6595418 37.8475591)",
223645762,,residential,False,False,50.044,221. Sokak,"LINESTRING (40.6591286 37.8468133, 40.6596507 37.8466328)",
223645762,,residential,False,True,46.685,221. Sokak,"LINESTRING (40.6591286 37.8468133, 40.6586479 37.8469927)",
223645860,,residential,False,False,90.525,220. Sokak,"LINESTRING (40.6591286 37.8468133, 40.6592986 37.8471088, 40.6595418 37.8475591)",
223645860,,residential,False,True,249.87900000000002,220. Sokak,"LINESTRING (40.6591286 37.8468133, 40.6587454 37.8461889, 40.6582466 37.8453365, 40.6579783 37.8448841, 40.6578969 37.844789)",
223645851,,residential,False,True,24.567,,"LINESTRING (40.66063 37.8460766, 40.6606146 37.8462972)",
221603511,,tertiary,False,False,77.616,15. Cadde,"LINESTRING (40.66063 37.8460766, 40.6608152 37.8460545, 40.6615105 37.8460203)",
