osmid,bridge,ref,highway,oneway,reversed,length,name,geometry
753466843,,,residential,False,True,101.696,,"LINESTRING (91.1070979 23.9716328, 91.1069155 23.9716488, 91.1068109 23.9716218, 91.1067572 23.971585, 91.1066177 23.9714993, 91.1064273 23.9715336, 91.1062717 23.9715409, 91.1061484 23.9715299)"
752320034,,,residential,False,False,32.477,,"LINESTRING (91.1079726 23.9726276, 91.1079776 23.9726732, 91.1079857 23.9727933, 91.1079964 23.9728889, 91.1080018 23.9729183)"
752320034,,,residential,False,True,67.749,,"LINESTRING (91.1079726 23.9726276, 91.1079642 23.9725507, 91.1079857 23.9724796, 91.1080125 23.9723938, 91.1080554 23.9722566, 91.108101 23.9722051, 91.1081654 23.9721316, 91.1081895 23.9720948, 91.1082008 23.9720742)"
753466751,,,residential,False,True,149.451,,"LINESTRING (91.1079726 23.9726276, 91.1079079 23.9726438, 91.1078408 23.9726365, 91.1077791 23.9726365, 91.1076906 23.9726389, 91.1076397 23.972634, 91.1075887 23.9726536, 91.1075619 23.9727173, 91.1075002 23.9727296, 91.1074224 23.972732, 91.1072896 23.9727222, 91.1072534 23.9726891, 91.1072065 23.9726426, 91.1071703 23.9725764, 91.1071341 23.9724208, 91.107126 23.9722639, 91.1071113 23.9721598, 91.1070868 23.9721015)"
753466751,,,residential,False,False,4.447,,"LINESTRING (91.107071 23.9720642, 91.1070868 23.9721015)"
753466750,,,residential,False,False,48.717,,"LINESTRING (91.107071 23.9720642, 91.1070536 23.9719625, 91.1070496 23.9718865, 91.1070617 23.971835, 91.1070617 23.9717603, 91.1070979 23.9716328)"
753466751,,,residential,False,True,114.66499999999999,,"LINESTRING (91.107071 23.9720642, 91.1068967 23.9721058, 91.1068431 23.9721144, 91.1067478 23.9721181, 91.1065856 23.9721267, 91.1065856 23.9723791, 91.1065775 23.9724134, 91.1064863 23.9724575, 91.1064032 23.9724796, 91.1062717 23.972487)"
753466751,,,residential,False,False,114.66499999999999,,"LINESTRING (91.1062717 23.972487, 91.1064032 23.9724796, 91.1064863 23.9724575, 91.1065775 23.9724134, 91.1065856 23.9723791, 91.1065856 23.9721267, 91.1067478 23.9721181, 91.1068431 23.9721144, 91.1068967 23.9721058, 91.107071 23.9720642)"
484349189,,,tertiary,False,False,42.077,,"LINESTRING (91.1061936 23.9653462, 91.1061926 23.9653141, 91.106177 23.9649681)"
484349189,,,tertiary,False,True,196.213,,"LINESTRING (91.1061936 23.9653462, 91.1061953 23.965747, 91.1061967 23.9657925, 91.1062346 23.9666285, 91.1062516 23.9671098)"
713100951,,,residential,False,True,23.61,,"LINESTRING (91.1096446 23.9655279, 91.1096406 23.9653156)"
755594381,,,unclassified,False,False,362.72700000000003,,"LINESTRING (91.1096446 23.9655279, 91.109591 23.9655276, 91.1093214 23.9655313, 91.1090626 23.9655325, 91.1087997 23.9655251, 91.1087112 23.96553, 91.1086026 23.96553, 91.1084014 23.9655386, 91.1081788 23.9655215, 91.1078837 23.9654749, 91.1075512 23.9654406, 91.1071542 23.965318, 91.1068779 23.9652175, 91.106177 23.9649681)"
755594381,,,unclassified,False,True,87.652,,"LINESTRING (91.1096446 23.9655279, 91.1098029 23.9655288, 91.1098874 23.9654822, 91.1100081 23.9654528, 91.1101717 23.9654504, 91.1103487 23.9654381, 91.1104882 23.965443)"
713100951,,,residential,False,False,23.61,,"LINESTRING (91.1096406 23.9653156, 91.1096446 23.9655279)"
484349189,,,tertiary,False,True,42.077,,"LINESTRING (91.106177 23.9649681, 91.1061926 23.9653141, 91.1061936 23.9653462)"
755594381,,,unclassified,False,True,362.7270000000001,,"LINESTRING (91.106177 23.9649681, 91.1068779 23.9652175, 91.1071542 23.965318, 91.1075512 23.9654406, 91.1078837 23.9654749, 91.1081788 23.9655215, 91.1084014 23.9655386, 91.1086026 23.96553, 91.1087112 23.96553, 91.1087997 23.9655251, 91.1090626 23.9655325, 91.1093214 23.9655313, 91.109591 23.9655276, 91.1096446 23.9655279)"
755594381,,,unclassified,False,False,87.65200000000002,,"LINESTRING (91.1104882 23.965443, 91.1103487 23.9654381, 91.1101717 23.9654504, 91.1100081 23.9654528, 91.1098874 23.9654822, 91.1098029 23.9655288, 91.1096446 23.9655279)"
755594381,,,unclassified,False,True,180.042,,"LINESTRING (91.1104882 23.965443, 91.1108194 23.9654663, 91.1111842 23.96547, 91.1115369 23.965481, 91.1116911 23.9654914, 91.1118105 23.9654822, 91.1120814 23.9654773, 91.112258 23.9654793)"
484349189,,,tertiary,False,True,3.071,,"LINESTRING (91.1062516 23.9671098, 91.1062526 23.9671374)"
484349189,,,tertiary,False,False,196.21300000000002,,"LINESTRING (91.1062516 23.9671098, 91.1062346 23.9666285, 91.1061967 23.9657925, 91.1061953 23.965747, 91.1061936 23.9653462)"
753466843,,,residential,False,False,101.69599999999998,,"LINESTRING (91.1061484 23.9715299, 91.1062717 23.9715409, 91.1064273 23.9715336, 91.1066177 23.9714993, 91.1067572 23.971585, 91.1068109 23.9716218, 91.1069155 23.9716488, 91.1070979 23.9716328)"
755594384,,,residential,False,True,128.314,,"LINESTRING (91.1061484 23.9715299, 91.1061698 23.971389, 91.1061926 23.9713596, 91.1062302 23.971335, 91.1062543 23.9713142, 91.1062704 23.971286, 91.1062932 23.9712309, 91.1062999 23.9711843, 91.1062999 23.9711255, 91.1062999 23.9710667, 91.1062945 23.9710066, 91.1062878 23.9709552, 91.1062838 23.9709319, 91.1062892 23.9708289, 91.1062972 23.9707309, 91.1063187 23.9706709, 91.1063495 23.9705937, 91.1063549 23.9705385, 91.1063522 23.9704821, 91.1063529 23.9704285)"
753466844,,,residential,False,False,26.097,,"LINESTRING (91.1063529 23.9704285, 91.1064675 23.9704772, 91.1065962 23.9704577)"
