osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
636747446,1,,secondary_link,False,False,8.174,,"LINESTRING (28.2875811 -24.8819583, 28.2875161 -24.8820022)"
636747447,1,,secondary_link,False,True,8.147,,"LINESTRING (28.2874033 -24.8818711, 28.2874678 -24.881827)"
436020344,2,Grobler Avenue,secondary,True,False,72.725,D180,"LINESTRING (28.2874033 -24.8818711, 28.2870064 -24.881396, 28.2869688 -24.8813492)"
636747447,1,,secondary_link,False,False,8.147,,"LINESTRING (28.2874678 -24.881827, 28.2874033 -24.8818711)"
606289750,2,Grobler Avenue,secondary,True,False,18.542,D180,"LINESTRING (28.2874678 -24.881827, 28.2875173 -24.8818844, 28.2875811 -24.8819583)"
8041621,2,Mentz Avenue,unclassified,False,True,71.863,,"LINESTRING (28.2866715 -24.8817513, 28.2863586 -24.8823319)"
"[636747449, 749448218]",1,Mentz Avenue,unclassified,True,False,54.437999999999995,,"LINESTRING (28.2866715 -24.8817513, 28.2868378 -24.8813986, 28.2868656 -24.8813454, 28.2868897 -24.8813037)"
606289755,2,Robertson Road,secondary,True,False,26.692,D180,"LINESTRING (28.2859819 -24.8808423, 28.2857511 -24.8807249)"
636747451,1,,secondary_link,False,True,8.919,,"LINESTRING (28.2859819 -24.8808423, 28.2860266 -24.8807731)"
636747451,1,,secondary_link,False,False,8.919,,"LINESTRING (28.2860266 -24.8807731, 28.2859819 -24.8808423)"
436020345,2,Robertson Road,secondary,True,False,104.78099999999999,D180,"LINESTRING (28.2860266 -24.8807731, 28.2869195 -24.8812284, 28.2869321 -24.8812348)"
636747452,1,,secondary_link,False,True,8.95,,"LINESTRING (28.2857511 -24.8807249, 28.2857947 -24.8806548)"
436020345,2,Robertson Road,secondary,True,False,26.838,D180,"LINESTRING (28.2857947 -24.8806548, 28.2860266 -24.8807731)"
636747452,1,,secondary_link,False,False,8.95,,"LINESTRING (28.2857947 -24.8806548, 28.2857511 -24.8807249)"
606296676,2,Van der Merwe Street,residential,False,True,3.041,,"LINESTRING (28.2926544 -24.8772431, 28.2926355 -24.8772218)"
606296676,2,Van der Merwe Street,residential,False,False,397.348,,"LINESTRING (28.2926544 -24.8772431, 28.2929743 -24.8776402, 28.2931805 -24.8778838, 28.2950789 -24.880059)"
636971448,1,Botha Street,residential,True,False,115.802,,"LINESTRING (28.2926544 -24.8772431, 28.2918733 -24.8778092, 28.2918391 -24.8778262, 28.2917979 -24.8778377, 28.2917333 -24.8778504)"
323349642,,Koot Van Der Walt Street,residential,False,False,6.62,,"LINESTRING (28.2935286 -24.8766512, 28.293485 -24.8766067)"
636971448,1,Botha Street,residential,True,False,110.041,,"LINESTRING (28.2935286 -24.8766512, 28.2927315 -24.8771924, 28.2926544 -24.8772431)"
8041622,2,Kretchmar Avenue,unclassified,False,False,138.117,,"LINESTRING (28.2917095 -24.8778243, 28.2908721 -24.8768416)"
8041622,2,Kretchmar Avenue,unclassified,False,True,3.767,,"LINESTRING (28.2917095 -24.8778243, 28.2917333 -24.8778504)"
8041632,1,Botha Street,residential,True,False,115.303,,"LINESTRING (28.2917095 -24.8778243, 28.2917945 -24.8777936, 28.29183 -24.8777736, 28.2918716 -24.8777517, 28.2925767 -24.8772641, 28.2926355 -24.8772218)"
8041627,2,Minnaar Avenue,residential,False,False,2.303,,"LINESTRING (28.2942075 -24.8807791, 28.2942184 -24.8807609)"
8041627,2,Minnaar Avenue,residential,False,True,135.304,,"LINESTRING (28.2942075 -24.8807791, 28.2935607 -24.8818451)"
125543878,2,Robertson Road,residential,False,True,287.145,,"LINESTRING (28.2942075 -24.8807791, 28.2913683 -24.8809646)"
