osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
35560910,False,,Allée George Sand,residential,,False,75.63999999999999,"LINESTRING (2.467771 49.2685558, 2.4680905 49.2689976, 2.468107 49.2690253, 2.4681231 49.2690568, 2.468133 49.2690844, 2.4681339 49.2691154, 2.4681258 49.2691504, 2.4681142 49.2691836)",,
35560908,False,,Allée Alfred de Musset,residential,,False,49.773,"LINESTRING (2.4681142 49.2691836, 2.4687263 49.2693857)",,
35560908,False,,Allée Alfred de Musset,residential,,True,54.967,"LINESTRING (2.4681142 49.2691836, 2.467436 49.2689633)",,
35560910,False,,Allée George Sand,residential,,True,75.64,"LINESTRING (2.4681142 49.2691836, 2.4681258 49.2691504, 2.4681339 49.2691154, 2.468133 49.2690844, 2.4681231 49.2690568, 2.468107 49.2690253, 2.4680905 49.2689976, 2.467771 49.2685558)",,
35564481,False,,Avenue Saint-Exupéry,tertiary,,False,16.548,"LINESTRING (2.4630418 49.2713113, 2.4628573 49.2712238)",,
35564483,True,,Avenue Saint-Exupéry,tertiary,,False,59.826,"LINESTRING (2.4630418 49.2713113, 2.4632246 49.2713811, 2.4633193 49.271416, 2.4635345 49.2714868, 2.4636076 49.2715122, 2.4636613 49.2715315, 2.4637645 49.27157)",,
35564481,False,,Avenue Saint-Exupéry,tertiary,,True,16.548,"LINESTRING (2.4628573 49.2712238, 2.4630418 49.2713113)",,
303066773,False,,Allée Jean-Philippe Rameau,residential,,False,134.474,"LINESTRING (2.4628573 49.2712238, 2.4628117 49.2712659, 2.4625953 49.2714656, 2.4625817 49.2714833, 2.4625736 49.2715052, 2.462575 49.2715297, 2.4625863 49.2715562, 2.4626099 49.2715787, 2.4626466 49.271601, 2.4629822 49.2717664, 2.4635593 49.2720508, 2.4635747 49.2720584)",,
35564485,True,,Rue Rabelais,residential,,False,21.891,"LINESTRING (2.4650131 49.27047, 2.4650614 49.2704499, 2.4650647 49.270448, 2.465142 49.2704069, 2.4652368 49.2703394)",,
35560054,False,,Rue Paul Claudel,residential,,False,113.19800000000001,"LINESTRING (2.4637314 49.2680937, 2.4640237 49.2682117, 2.4641079 49.2682447, 2.464187 49.2682719, 2.4642355 49.2682892, 2.464424 49.2683565, 2.4644887 49.2683821, 2.4649769 49.2685703, 2.4650756 49.26861)",,
35560054,False,,Rue Paul Claudel,residential,,True,23.973999999999997,"LINESTRING (2.4637314 49.2680937, 2.4636358 49.2680575, 2.4635835 49.2680391, 2.4635151 49.2680172, 2.4634395 49.2679929)",,
35565530,False,,Rue Ambroise Paré,residential,,False,60.404,"LINESTRING (2.4637813 49.2730103, 2.4637619 49.273026, 2.463731 49.2730453, 2.4636922 49.2730706, 2.4636532 49.2731048, 2.4633703 49.2733734, 2.4632929 49.2734489)",,
