osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
198933767,tertiary,False,True,8.242,,,,,"LINESTRING (-14.4883322 26.1281277, -14.4883972 26.1281734)",
198933763,tertiary,True,False,39.868,1,,,,"LINESTRING (-14.4883322 26.1281277, -14.488239 26.1282457, -14.4880968 26.1284173)",
198933767,tertiary,False,False,8.242,,,,,"LINESTRING (-14.4883972 26.1281734, -14.4883322 26.1281277)",
424275083,tertiary,True,False,40.755,1,,,,"LINESTRING (-14.4883972 26.1281734, -14.4886429 26.1278807)",
598738686,residential,False,True,14.501,,,,,"LINESTRING (-14.481333 26.128215, -14.4814074 26.128327)",
411022524,primary,True,False,94.46499999999999,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.481333 26.128215, -14.4812119 26.1282788, -14.4805031 26.128623)",
598738687,residential,False,False,31.747999999999998,,,,,"LINESTRING (-14.481333 26.128215, -14.481301 26.1281583, -14.4811893 26.1279603)",
156403639,primary,True,False,82.817,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4814074 26.128327, -14.4821229 26.1279501)",
598738686,residential,False,False,14.501,,,,,"LINESTRING (-14.4814074 26.128327, -14.481333 26.128215)",
198933828,residential,False,True,50.895,,,,,"LINESTRING (-14.4814074 26.128327, -14.4814565 26.1284088, -14.4816466 26.1287312)",
198933776,residential,False,False,96.688,,,,,"LINESTRING (-14.48404 26.1283414, -14.4836502 26.1291374)",
198933776,residential,False,True,46.332,,,,,"LINESTRING (-14.48404 26.1283414, -14.484243 26.1279667)",
198933829,residential,False,False,46.868,,,,,"LINESTRING (-14.48404 26.1283414, -14.4844691 26.1285124)",
198933829,residential,False,True,28.648,,,,,"LINESTRING (-14.48404 26.1283414, -14.4837784 26.1282355)",
198933829,residential,False,False,53.449,,,,,"LINESTRING (-14.4844691 26.1285124, -14.484956 26.1287123)",
198933829,residential,False,True,46.868,,,,,"LINESTRING (-14.4844691 26.1285124, -14.48404 26.1283414)",
1228776625,residential,False,True,96.704,,,,,"LINESTRING (-14.4844691 26.1285124, -14.4840789 26.1293084)",
