osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,access
403374113,False,Wyzwolenia,residential,False,7.415,"LINESTRING (19.1855985 50.1473805, 19.185611 50.1473143)",,,50,
403374112,True,Wyzwolenia,residential,False,25.012,"LINESTRING (19.1855985 50.1473805, 19.18549 50.1473355, 19.1854613 50.1473236, 19.1853924 50.1472951, 19.1853069 50.1472554)",2,,50,
"[403374113, 64440073]",False,Wyzwolenia,residential,True,111.19399999999999,"LINESTRING (19.1855985 50.1473805, 19.1855953 50.1474055, 19.1855835 50.1474994, 19.1855729 50.1475839, 19.1855682 50.1476214, 19.185565 50.1476567, 19.1855625 50.1478878, 19.1855394 50.1479583, 19.1855147 50.148016, 19.1854977 50.1480616, 19.1854824 50.1480964, 19.1854463 50.1481783, 19.185344 50.1483586)",,,50,
47278949,False,Piotra Ściegiennego,residential,True,156.101,"LINESTRING (19.1878775 50.1474773, 19.1879162 50.1474911, 19.1879681 50.1475139, 19.1880292 50.1475487, 19.188097 50.1475925, 19.1883193 50.1477701, 19.1883703 50.147818, 19.1884095 50.1478595, 19.1884718 50.1479373, 19.1885323 50.148036, 19.1885694 50.1481206, 19.1885994 50.1482333, 19.1886226 50.1483392, 19.1886601 50.1485074, 19.1886783 50.148579, 19.1886973 50.148614, 19.1887353 50.1486597, 19.1887904 50.1486992)",,,50,
403374118,False,,residential,True,78.225,"LINESTRING (19.1878775 50.1474773, 19.187861 50.1473765, 19.1878363 50.1472254, 19.1877848 50.1467764)",,,,
403374943,False,Piotra Ściegiennego,residential,False,163.04700000000003,"LINESTRING (19.1878775 50.1474773, 19.1878345 50.1474664, 19.1877786 50.1474535, 19.1876871 50.1474382, 19.187606 50.1474262, 19.1871938 50.1473814, 19.1865841 50.1473446, 19.1858339 50.1473215, 19.1856871 50.1473168, 19.185611 50.1473143)",,,30,
47278956,False,Karola Olszewskiego,residential,True,100.14999999999999,"LINESTRING (19.1825813 50.1500122, 19.1826455 50.1500175, 19.1826525 50.1500192, 19.1827585 50.1500282, 19.1836541 50.1494913)",,,,yes
190131506,False,Imielińska,secondary,False,179.859,"LINESTRING (19.1825813 50.1500122, 19.1835103 50.1485856, 19.1835547 50.1485198)",2,934,50,
"[232352040, 359397907]",False,Imielińska,secondary,False,173.071,"LINESTRING (19.1856403 50.1468102, 19.1856823 50.1466166, 19.1857034 50.1464951, 19.1857667 50.1461307, 19.1858282 50.14577, 19.1858444 50.1456748, 19.1858796 50.1455195, 19.1859017 50.1454514, 19.1859186 50.1454102, 19.1859293 50.1453918, 19.185942 50.1453739, 19.1859739 50.1453349, 19.1860284 50.1452848)",2,934,40,
232352040,False,Imielińska,secondary,True,43.175,"LINESTRING (19.1856403 50.1468102, 19.1856221 50.1468668, 19.1855826 50.146949, 19.1855601 50.1469941, 19.1855297 50.1470412, 19.1855105 50.1470665, 19.1855003 50.14708, 19.1854735 50.1471113, 19.1854171 50.1471681)",2,934,40,
708477405,True,Wojciecha Sapety,residential,False,153.188,"LINESTRING (19.1856403 50.1468102, 19.1857253 50.1468186, 19.1858249 50.1468253, 19.1859218 50.1468268, 19.186115 50.1468224, 19.1865178 50.1468177, 19.1866944 50.1468156, 19.1872244 50.1468154, 19.1874695 50.1468035, 19.1877848 50.1467764)",,,,
157351882,False,Marii Dąbrowskiej,residential,False,57.077999999999996,"LINESTRING (19.1802112 50.1486487, 19.1802013 50.1486553, 19.1801761 50.1486742, 19.1801574 50.1486901, 19.1800465 50.1488235, 19.1797314 50.1490564)",,,,
157351882,False,Marii Dąbrowskiej,residential,True,202.834,"LINESTRING (19.1802112 50.1486487, 19.1802214 50.148642, 19.1802505 50.1486248, 19.1802814 50.1486091, 19.1825694 50.1476636, 19.182595 50.147653)",,,,
403374114,False,,residential,False,110.26,"LINESTRING (19.1802112 50.1486487, 19.1809113 50.1491913, 19.1811644 50.1493886, 19.1811963 50.1494134)",,,,
