osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
146988827,2,Ignacego Daszyńskiego,residential,50,True,False,58.804,"LINESTRING (17.7859553 51.896827, 17.7859911 51.8972761, 17.7859936 51.8973071, 17.7859974 51.8973552)",,
141115945,2,Kraszewskiego,residential,50,True,False,49.138,"LINESTRING (17.7873291 51.8971601, 17.787274 51.8967195)",,
146988598,2,Panieńska,residential,50,True,False,88.18299999999998,"LINESTRING (17.7873291 51.8971601, 17.7874407 51.8971536, 17.7885274 51.8970904, 17.7885501 51.8970891, 17.7886086 51.8970857)",,
146813104,2,Wąska,residential,50,True,False,88.662,"LINESTRING (17.7857948 51.8950571, 17.7870044 51.8949933, 17.7870822 51.8949892)",,
332290977,1,Henryka Sienkiewicza,tertiary,50,True,False,51.1,"LINESTRING (17.7857948 51.8950571, 17.7858288 51.8954486, 17.7858346 51.895516)",,
141115945,2,Kraszewskiego,residential,50,True,False,57.313,"LINESTRING (17.7874147 51.897846, 17.7874057 51.8977738, 17.7873505 51.8973321)",,
194566755,2,Edmunda Bojanowskiego,residential,50,True,False,95.618,"LINESTRING (17.7874147 51.897846, 17.7861572 51.8978348, 17.7860213 51.8978336)",,
146797066,2,Kościelna,residential,50,True,False,66.688,"LINESTRING (17.7878874 51.895432, 17.7878978 51.895516, 17.7879906 51.8960283)",,
172460531,2,Kaliska,tertiary,50,False,False,70.832,"LINESTRING (17.7878874 51.895432, 17.7887683 51.895397, 17.7889174 51.8953899)",,
172460531,2,Kaliska,tertiary,50,False,True,51.938,"LINESTRING (17.7878874 51.895432, 17.7872549 51.8954563, 17.787134 51.8954709)",,
141134263,2,Plac Kościelny,residential,50,True,False,70.48700000000001,"LINESTRING (17.7880265 51.8962262, 17.7889211 51.8961947, 17.7889688 51.8961927, 17.789052 51.8961893)",,
326685611,2,Kościelna,residential,50,False,True,22.143,"LINESTRING (17.7880265 51.8962262, 17.7880218 51.8962005, 17.7879969 51.8960632, 17.7879906 51.8960283)",,
141115945,2,Kraszewskiego,residential,50,True,False,19.182,"LINESTRING (17.7873505 51.8973321, 17.7873291 51.8971601)",,
42338561,2,Mariana Bogusza,residential,50,False,False,96.30600000000001,"LINESTRING (17.7815078 51.8961349, 17.7813945 51.8955696, 17.7813288 51.8952759)",,
42338561,2,Mariana Bogusza,residential,50,False,True,59.603,"LINESTRING (17.7815078 51.8961349, 17.781605 51.8965957, 17.7816177 51.8966666)",,
146814846,2,Andrzeja Frycza Modrzewskiego,living_street,20,False,False,45.768,"LINESTRING (17.7815078 51.8961349, 17.781434 51.8961412, 17.7813855 51.8961459, 17.7808488 51.8961984)",,
302124667,2,Prokopowska,tertiary,,False,True,89.044,"LINESTRING (17.7895155 51.8996855, 17.7892845 51.8988975)",,
146813382,,Juliusza Kossaka,residential,50,False,False,93.91799999999999,"LINESTRING (17.7895155 51.8996855, 17.7893827 51.8996993, 17.789351 51.8997026, 17.7889466 51.8997446, 17.7888128 51.8997551, 17.7886598 51.8997486, 17.7881695 51.8996774)",,
