osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,junction,access,lanes
36886542,,residential,50,False,False,429.688,Pořádí,"LINESTRING (17.6490305 49.0287498, 17.6490925 49.0285956, 17.6491175 49.0283713, 17.6492058 49.0281291, 17.649501 49.0276834, 17.6503377 49.026209, 17.6506466 49.0259192, 17.6507542 49.0258057, 17.6508401 49.0256836, 17.6509476 49.0254681, 17.6510839 49.0251573)",,,
36886537,,residential,50,False,False,48.629,A. Hrubého,"LINESTRING (17.6510839 49.0251573, 17.6517237 49.0252808)",,,
36886537,,residential,50,False,True,7.321,A. Hrubého,"LINESTRING (17.6510839 49.0251573, 17.6509889 49.025136)",,,
36886542,,residential,50,False,True,429.688,Pořádí,"LINESTRING (17.6510839 49.0251573, 17.6509476 49.0254681, 17.6508401 49.0256836, 17.6507542 49.0258057, 17.6506466 49.0259192, 17.6503377 49.026209, 17.649501 49.0276834, 17.6492058 49.0281291, 17.6491175 49.0283713, 17.6490925 49.0285956, 17.6490305 49.0287498)",,,
36886545,,residential,,False,False,157.24399999999997,Hradební,"LINESTRING (17.6489176 49.0266963, 17.6486197 49.0270292, 17.6484778 49.0271467, 17.6483173 49.0272809, 17.6482114 49.0273275, 17.6480948 49.0273676, 17.6478354 49.0274039, 17.6475672 49.027424, 17.647283 49.0274374)",,,
36886545,,residential,,False,True,186.36200000000002,Hradební,"LINESTRING (17.6489176 49.0266963, 17.6490516 49.0265508, 17.6495456 49.025779, 17.6498298 49.025327, 17.6498299 49.0251469)",,,
36886549,,residential,,False,True,118.75999999999999,Mikoláše Alše,"LINESTRING (17.6489176 49.0266963, 17.6483913 49.026591, 17.6478344 49.0264743, 17.6473542 49.0263985)",,,
"[36886545, 36886546]",,residential,,False,False,128.972,"['Hradební', 'Hradní nám.']","LINESTRING (17.647283 49.0274374, 17.6470179 49.0274381, 17.6468938 49.0274189, 17.6468217 49.0273836, 17.6467976 49.0273501, 17.6467686 49.0272004, 17.6467074 49.0271173, 17.6466126 49.0270389, 17.6465211 49.0269918, 17.6464234 49.026948, 17.6459992 49.0268128)",,,
36886545,,residential,,False,True,157.24399999999997,Hradební,"LINESTRING (17.647283 49.0274374, 17.6475672 49.027424, 17.6478354 49.0274039, 17.6480948 49.0273676, 17.6482114 49.0273275, 17.6483173 49.0272809, 17.6484778 49.0271467, 17.6486197 49.0270292, 17.6489176 49.0266963)",,,
"[1204489298, 36886548]",,residential,,False,False,101.282,Bož. Němcové,"LINESTRING (17.647283 49.0274374, 17.6473432 49.0266836, 17.6473556 49.0265278)",,delivery,
"[36886545, 36886546]",,residential,,False,True,128.972,"['Hradní nám.', 'Hradební']","LINESTRING (17.6459992 49.0268128, 17.6464234 49.026948, 17.6465211 49.0269918, 17.6466126 49.0270389, 17.6467074 49.0271173, 17.6467686 49.0272004, 17.6467976 49.0273501, 17.6468217 49.0273836, 17.6468938 49.0274189, 17.6470179 49.0274381, 17.647283 49.0274374)",,,
211443930,,residential,50,False,False,34.878,Přemysla Otakara II.,"LINESTRING (17.6459992 49.0268128, 17.6461102 49.0266852, 17.646147 49.0265999, 17.6461643 49.0265226)",,,
"[211443930, 48143351, 88738543]",,residential,50,False,True,176.108,Přemysla Otakara II.,"LINESTRING (17.6459992 49.0268128, 17.6458074 49.0270431, 17.6456816 49.0271768, 17.645624 49.0272822, 17.645588 49.0273814, 17.6455825 49.0274406, 17.6455834 49.0274689, 17.6455987 49.0277478, 17.6456098 49.0279509, 17.645651 49.0282152, 17.6456591 49.028267, 17.6456917 49.0283259)",,,
36886547,,residential,,False,True,86.862,,"LINESTRING (17.6473556 49.0265278, 17.6461643 49.0265226)",,,
36886548,,residential,,False,False,14.378,Bož. Němcové,"LINESTRING (17.6473556 49.0265278, 17.6473542 49.0263985)",,,
"[1204489298, 36886548]",,residential,,False,True,101.282,Bož. Němcové,"LINESTRING (17.6473556 49.0265278, 17.6473432 49.0266836, 17.647283 49.0274374)",,delivery,
36886548,,residential,,False,True,14.378,Bož. Němcové,"LINESTRING (17.6473542 49.0263985, 17.6473556 49.0265278)",,,
"[36886548, 91797741]",,residential,,False,False,70.496,Bož. Němcové,"LINESTRING (17.6473542 49.0263985, 17.6473375 49.026337, 17.647234 49.0259371, 17.6472211 49.0258896, 17.6471966 49.025867, 17.6471614 49.0258503, 17.647123 49.0258422, 17.6470697 49.0258438)",,,
36886549,,residential,,False,False,118.75999999999999,Mikoláše Alše,"LINESTRING (17.6473542 49.0263985, 17.6478344 49.0264743, 17.6483913 49.026591, 17.6489176 49.0266963)",,,
85068634,,residential,,False,False,100.719,Ptylova,"LINESTRING (17.6449063 49.0262274, 17.6435348 49.0263355)",,,
36886550,,residential,50,False,True,66.55199999999999,Mariánské nám.,"LINESTRING (17.6449063 49.0262274, 17.6449889 49.0262019, 17.6450137 49.0261746, 17.6450351 49.0260999, 17.6450224 49.0257853, 17.6450266 49.0257451, 17.6450397 49.0257098, 17.6450617 49.025673)",,,
36886553,,residential,,False,False,82.744,Karla IV.,"LINESTRING (17.6449063 49.0262274, 17.6449217 49.0269342, 17.6449284 49.0269712)",,,
85068634,,residential,,False,True,72.84,Ptylova,"LINESTRING (17.6425629 49.0264871, 17.6435348 49.0263355)",,,
"[36886552, 48201923]",,residential,,False,False,131.56799999999998,Weberova,"LINESTRING (17.6425629 49.0264871, 17.6426922 49.0268045, 17.6428387 49.0270448, 17.6430676 49.0270104, 17.643607 49.0269494, 17.6437334 49.0269449)",,,
36886552,,residential,,False,True,99.58699999999999,Weberova,"LINESTRING (17.6425629 49.0264871, 17.6425106 49.0263262, 17.6423968 49.0259809, 17.6423041 49.025608)",,,
159762167,,living_street,,False,True,85.903,Na Dlouhých,"LINESTRING (17.6432139 49.0283844, 17.6431104 49.0281123, 17.6429634 49.0281363, 17.6429123 49.0281445, 17.6426348 49.0281672, 17.6424128 49.0282642)",,customers,
