osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
58928393,2,Whangaroa Street,residential,50,False,False,146.281,"LINESTRING (172.6998138 -43.310063, 172.6995671 -43.3109273, 172.6995552 -43.3109526, 172.699537 -43.3109715, 172.6995184 -43.3109859, 172.6990908 -43.3111733)",,,
47978341,2,The Esplanade,residential,50,False,False,115.64299999999999,"LINESTRING (172.6990908 -43.3111733, 172.6991646 -43.3112743, 172.6992395 -43.3113886, 172.6993049 -43.3115099, 172.699359 -43.3116191, 172.6993752 -43.3116472, 172.6993914 -43.3116689, 172.69941 -43.3116853, 172.6994496 -43.3117148, 172.6994991 -43.3117417, 172.6995468 -43.3117668, 172.6995836 -43.3117794, 172.6996858 -43.3117994, 172.700008 -43.3118533)",,,
47978341,2,The Esplanade,residential,50,False,True,168.765,"LINESTRING (172.6990908 -43.3111733, 172.6988521 -43.3109287, 172.6987593 -43.3108273, 172.6986754 -43.310724, 172.6985556 -43.3105628, 172.6985153 -43.3104877, 172.6984979 -43.3104266, 172.6985012 -43.3103823, 172.6985108 -43.310336, 172.6985255 -43.3103081, 172.6985478 -43.3102756, 172.6985963 -43.3102272, 172.6987394 -43.3101322, 172.6988352 -43.3100596, 172.6989173 -43.3099883, 172.6990019 -43.3099124)",,,
58928393,2,Whangaroa Street,residential,50,False,True,146.281,"LINESTRING (172.6990908 -43.3111733, 172.6995184 -43.3109859, 172.699537 -43.3109715, 172.6995552 -43.3109526, 172.6995671 -43.3109273, 172.6998138 -43.310063)",,,
58938783,2,Kawari Drive,residential,50,False,True,46.859,"LINESTRING (172.6904411 -43.3119705, 172.6904085 -43.3118894, 172.6904014 -43.3118732, 172.6903721 -43.311806, 172.690319 -43.3115596)",,,
188149007,2,Solander Road,residential,50,False,False,79.945,"LINESTRING (172.6904411 -43.3119705, 172.6904602 -43.3120244, 172.6905281 -43.3121509, 172.6905643 -43.3122142, 172.690605 -43.3122794, 172.6906703 -43.3123743, 172.6908602 -43.3126192)",,,
"[1174220058, 188153693]",2,Infinity Drive,residential,50,False,True,148.491,"LINESTRING (172.6904411 -43.3119705, 172.690328 -43.3120171, 172.6902746 -43.3120391, 172.6897471 -43.3122565, 172.6896781 -43.3122949, 172.6896107 -43.3123493, 172.6895605 -43.3124014, 172.6895251 -43.3124534, 172.6895026 -43.3125001, 172.6894849 -43.3125745, 172.6894781 -43.3126252, 172.6894704 -43.3127204, 172.6894606 -43.312796, 172.6894478 -43.3128572, 172.6894149 -43.3129417)",,,
"[1174220056, 1251094617, 1174220057]",2,Infinity Drive,residential,50,False,False,168.17899999999997,"LINESTRING (172.6904411 -43.3119705, 172.6906045 -43.3119004, 172.691012 -43.3117254, 172.6913106 -43.3115988, 172.6916681 -43.3114473, 172.692086 -43.3112673, 172.692233 -43.311204)",,,
58938964,2,Arahura Road,residential,50,False,False,44.782,"LINESTRING (172.6903478 -43.3111863, 172.689817 -43.3110722)",,,
58938783,2,Kawari Drive,residential,50,False,False,42.111999999999995,"LINESTRING (172.6903478 -43.3111863, 172.690324 -43.311227, 172.6903107 -43.3112666, 172.6903037 -43.3113069, 172.6903041 -43.3114152, 172.690319 -43.3115596)",,,
58938783,2,Kawari Drive,residential,50,False,True,131.805,"LINESTRING (172.6903478 -43.3111863, 172.690402 -43.3111412, 172.6904799 -43.3110912, 172.6916652 -43.3105906, 172.6917271 -43.3105634)",,,
58938783,2,Kawari Drive,residential,50,False,False,46.859,"LINESTRING (172.690319 -43.3115596, 172.6903721 -43.311806, 172.6904014 -43.3118732, 172.6904085 -43.3118894, 172.6904411 -43.3119705)",,,
