osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge
203594194,улица 4 Марта,tertiary,False,False,109.359,2,"LINESTRING (40.6270593 43.1026857, 40.6282466 43.1031502)",
203594194,улица 4 Марта,tertiary,False,True,104.309,2,"LINESTRING (40.6270593 43.1026857, 40.6259147 43.1022596)",
203658150,Ейская улица,residential,False,False,100.889,2,"LINESTRING (40.6270593 43.1026857, 40.6276365 43.1018822)",
203658150,Ейская улица,residential,False,True,102.54,2,"LINESTRING (40.6270593 43.1026857, 40.6264863 43.1035075)",
203559145,улица 23 Июля,residential,False,False,111.283,2,"LINESTRING (40.6276365 43.1018822, 40.6288462 43.1023528)",
203559145,улица 23 Июля,residential,False,True,105.156,2,"LINESTRING (40.6276365 43.1018822, 40.6264789 43.101458)",
203658150,Ейская улица,residential,False,False,100.757,2,"LINESTRING (40.6276365 43.1018822, 40.6282211 43.1010829)",
203658150,Ейская улица,residential,False,True,100.889,2,"LINESTRING (40.6276365 43.1018822, 40.6270593 43.1026857)",
61929149,улица Нартаа,residential,False,False,105.274,2,"LINESTRING (40.6282211 43.1010829, 40.6270597 43.1006619)",
61929149,улица Нартаа,residential,False,True,110.115,2,"LINESTRING (40.6282211 43.1010829, 40.6294299 43.101532)",
203658150,Ейская улица,residential,False,False,112.415,2,"LINESTRING (40.6282211 43.1010829, 40.6288761 43.1001922)",
203658150,Ейская улица,residential,False,True,100.757,2,"LINESTRING (40.6282211 43.1010829, 40.6276365 43.1018822)",
81145198,проспект Героев,tertiary,False,False,109.598,,"LINESTRING (40.6294839 43.0993765, 40.6306802 43.0998331)",
81145198,проспект Героев,tertiary,False,True,106.92,,"LINESTRING (40.6294839 43.0993765, 40.6291896 43.0992602, 40.6283208 43.0989256)",
203658150,Ейская улица,residential,False,True,103.257,2,"LINESTRING (40.6294839 43.0993765, 40.6294402 43.0994352, 40.6288761 43.1001922)",
61929139,улица Анатолия Возба,residential,False,False,106.036,2,"LINESTRING (40.6283208 43.0989256, 40.6277221 43.0997731)",
81145198,проспект Героев,tertiary,False,True,65.242,,"LINESTRING (40.6283208 43.0989256, 40.6276101 43.0986518)",
81145198,проспект Героев,tertiary,False,False,106.92,,"LINESTRING (40.6283208 43.0989256, 40.6291896 43.0992602, 40.6294839 43.0993765)",
