osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction,access
122996137,False,Rua Doutor Coelho de Melo,residential,False,52.768,"LINESTRING (-7.9330437 37.0197635, -7.9330893 37.0194387, -7.9332743 37.0194408)",,,,
93542660,True,Rua Souto Mayor,residential,False,61.589,"LINESTRING (-7.931877 37.0199415, -7.9321704 37.0194396)",,,,
93542679,True,Rua Brito Cabreira,residential,False,44.712,"LINESTRING (-7.931877 37.0199415, -7.9323334 37.0201115)",,,,
182998234,False,,residential,False,38.502,"LINESTRING (-7.9321081 37.0181088, -7.9324012 37.018364)",,,,
30994463,True,Rua Lethes,tertiary,False,23.73,"LINESTRING (-7.9321081 37.0181088, -7.9319892 37.0181948, -7.9319608 37.0182153, -7.9319105 37.0182525)",,,,
93542679,True,Rua Brito Cabreira,residential,False,34.322,"LINESTRING (-7.9329413 37.0203309, -7.9333225 37.0203823)",,,,
122996137,False,Rua Doutor Coelho de Melo,residential,False,63.744,"LINESTRING (-7.9329413 37.0203309, -7.9330437 37.0197635)",,,,
30994462,True,Rua do Alportel,residential,False,63.591,"LINESTRING (-7.9334224 37.019816, -7.9333225 37.0203823)",,,,
93542632,True,Praça Silva Porto,residential,False,34.124,"LINESTRING (-7.9334224 37.019816, -7.9330437 37.0197635)",,,,
30994514,False,Rua do Compromisso,residential,True,111.548,"LINESTRING (-7.9352131 37.0183713, -7.9350261 37.0178843, -7.9349993 37.0177109, -7.9349456 37.0175438, -7.9348797 37.017407)",,,,
95278063,True,Rua de São Pedro,residential,False,33.99,"LINESTRING (-7.9352131 37.0183713, -7.9353567 37.0183185, -7.9355568 37.0182368)",,,,
93543859,True,Rua Reis Damaso,residential,False,48.463,"LINESTRING (-7.9304906 37.014205, -7.930296 37.0137978)",,,,
85730067,True,Rua de Dona Teresa Ramalho Ortigão,residential,False,68.68599999999999,"LINESTRING (-7.9304906 37.014205, -7.9298387 37.0144044, -7.9297682 37.014426)",,,,
307385984,True,Rua de São Sebastião,residential,False,19.781,"LINESTRING (-7.9385461 37.0206305, -7.9385823 37.02058, -7.9387136 37.0205222)",,,,
