osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
953905858,False,1,,Strada Tudor Arghezi,residential,30,True,105.658,"LINESTRING (26.3603893 45.3176606, 26.3604417 45.3176429, 26.3604688 45.3176216, 26.3604711 45.3176035, 26.3604823 45.3174528, 26.360502 45.3172116, 26.360518 45.317195, 26.360556 45.3171917, 26.3610048 45.3172594, 26.3610288 45.3172597, 26.3610528 45.3172514, 26.361066 45.3172326, 26.3610915 45.3172131, 26.3611157 45.3172107)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,False,34.325,"LINESTRING (26.3603893 45.3176606, 26.3603682 45.3178597, 26.3603514 45.3179681)",
"[1196031172, 1196031173, 48467438]",False,2,DN10,"['Strada Nicolae Bălcescu', 'Strada Alexandru Ioan Cuza']",primary,50,True,91.422,"LINESTRING (26.3603893 45.3176606, 26.360396 45.3175577, 26.3604047 45.3173846, 26.3604147 45.3172001, 26.3604225 45.3171065, 26.3604385 45.3169198, 26.3604471 45.3168395)",yes
953905859,False,,,,residential,,False,23.126,"LINESTRING (26.3611157 45.3172107, 26.36118 45.3170077)",yes
953905858,False,1,,Strada Tudor Arghezi,residential,30,False,105.658,"LINESTRING (26.3611157 45.3172107, 26.3610915 45.3172131, 26.361066 45.3172326, 26.3610528 45.3172514, 26.3610288 45.3172597, 26.3610048 45.3172594, 26.360556 45.3171917, 26.360518 45.317195, 26.360502 45.3172116, 26.3604823 45.3174528, 26.3604711 45.3176035, 26.3604688 45.3176216, 26.3604417 45.3176429, 26.3603893 45.3176606)",
953905858,False,1,,Strada Tudor Arghezi,residential,30,True,277.21999999999997,"LINESTRING (26.3611157 45.3172107, 26.3612079 45.3172252, 26.3616767 45.3173053, 26.361815 45.3173229, 26.361921 45.3173231, 26.3620071 45.3173155, 26.3620839 45.3172935, 26.3622386 45.3172441, 26.3623268 45.3172027, 26.3623805 45.3171693, 26.3624151 45.3171261, 26.3624285 45.3170737, 26.3624318 45.3169576, 26.3624221 45.3167613, 26.3624423 45.3167209, 26.3624732 45.316707, 26.3629458 45.3166643, 26.363083 45.3166396, 26.363373 45.3165642, 26.3635312 45.3165279, 26.3636707 45.316513, 26.3639522 45.3165097)",
953905859,False,,,,residential,,True,23.126,"LINESTRING (26.36118 45.3170077, 26.3611157 45.3172107)",yes
854809205,False,,,Strada Tudor Arghezi,living_street,30,False,66.126,"LINESTRING (26.36118 45.3170077, 26.3610586 45.3169933, 26.3607943 45.316972, 26.3605454 45.3169634, 26.3605005 45.3169376, 26.3604471 45.3168395)",
854809205,False,,,Strada Tudor Arghezi,living_street,30,True,42.782000000000004,"LINESTRING (26.36118 45.3170077, 26.3614487 45.3170361, 26.3615265 45.3170399, 26.3615694 45.3170305, 26.3615855 45.3170041, 26.3616043 45.3169267)",
133402660,False,,,Strada Constantin Brâncoveanu,residential,RO:urban,False,9.064,"LINESTRING (26.3603869 45.3163264, 26.3604256 45.316331, 26.3605012 45.31634)",
"[1146891811, 318178187]",False,1,,Strada Pieții,residential,50,True,165.377,"LINESTRING (26.3603869 45.3163264, 26.3603657 45.3164498, 26.3603472 45.3165399, 26.3603359 45.3165724, 26.3603072 45.3166098, 26.3602837 45.3166459, 26.3602519 45.3167042, 26.3602324 45.3167756, 26.360216 45.3168131, 26.3601945 45.3168224, 26.3601679 45.3168239, 26.3601402 45.3168174, 26.3599657 45.3167336, 26.3598637 45.3166826, 26.3597403 45.3166289, 26.3596451 45.3165968, 26.3595486 45.3165827, 26.3594487 45.3165854, 26.3593418 45.3166067, 26.3592554 45.316641, 26.3591914 45.3166704, 26.3591011 45.3167174, 26.359035 45.3167463, 26.3590049 45.3167766)",
"[1146882377, 1146891810]",False,1,,,living_street,,False,159.46800000000002,"LINESTRING (26.3590036 45.3171957, 26.3589483 45.3173096, 26.3589011 45.3173903, 26.358814 45.3174905, 26.3587187 45.3175863, 26.3586039 45.3176879, 26.358504 45.3177774, 26.3582279 45.3180264, 26.3579704 45.3182471, 26.3579328 45.3182848, 26.3579181 45.3183235, 26.3579164 45.3183848)",
1146891814,False,1,,Strada Morii,living_street,,False,73.463,"LINESTRING (26.3603514 45.3179681, 26.3607785 45.3180395, 26.3612545 45.3181484)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,False,101.214,"LINESTRING (26.3603514 45.3179681, 26.3603228 45.3181198, 26.3602931 45.3182658, 26.360271 45.3183597, 26.3602541 45.318427, 26.3602265 45.3185337, 26.3601323 45.3188649)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,34.325,"LINESTRING (26.3603514 45.3179681, 26.3603682 45.3178597, 26.3603893 45.3176606)",
1146891814,False,1,,Strada Morii,living_street,,True,73.463,"LINESTRING (26.3612545 45.3181484, 26.3607785 45.3180395, 26.3603514 45.3179681)",
