osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction,width
949217200,,B100,Villacher Straße,primary,50,True,False,14.338000000000001,"LINESTRING (13.5028845 46.7954571, 13.5028336 46.7953953, 13.5028338 46.7953373)",,,roundabout,
161419617,2,,10.-Oktober-Straße,tertiary,30,False,True,92.534,"LINESTRING (13.4930521 46.8020009, 13.4920434 46.8024654)",,,,
948284175,2,,10.-Oktober-Straße,tertiary,30,False,False,88.854,"LINESTRING (13.4930521 46.8020009, 13.4939804 46.8015164)",,,,
29362389,,,Feldstraße,residential,30,False,True,102.568,"LINESTRING (13.4930521 46.8020009, 13.4929918 46.8019426, 13.4925238 46.8014905, 13.4922624 46.8012536)",,,,
161419617,2,,10.-Oktober-Straße,tertiary,30,False,False,92.534,"LINESTRING (13.4920434 46.8024654, 13.4930521 46.8020009)",,,,
161911645,,,Billrothstraße,residential,30,False,True,92.112,"LINESTRING (13.4920434 46.8024654, 13.4919865 46.8024254, 13.4918996 46.8023643, 13.49122 46.8018584)",,,,
949217195,2,,10.-Oktober-Straße,tertiary,30,False,False,63.284,"LINESTRING (13.4962368 46.8006433, 13.4968446 46.8004546, 13.4969984 46.8004156)",,,,
949217195,2,,10.-Oktober-Straße,tertiary,30,False,True,106.15300000000002,"LINESTRING (13.4962368 46.8006433, 13.4959001 46.8007604, 13.4956863 46.8008347, 13.4954282 46.8009243, 13.4949961 46.8010792)",,,,
29362106,2,,Lutherstraße,residential,30,False,True,102.148,"LINESTRING (13.4949961 46.8010792, 13.4949647 46.8010404, 13.4949273 46.8009898, 13.4945634 46.8005974, 13.4942958 46.8002959)",,,,
948284175,2,,10.-Oktober-Straße,tertiary,30,False,True,91.35900000000001,"LINESTRING (13.4949961 46.8010792, 13.4948149 46.80115, 13.4947939 46.8011582, 13.4942098 46.8014106, 13.4940851 46.8014709, 13.4940475 46.8014877, 13.4939804 46.8015164)",,,,
949217195,2,,10.-Oktober-Straße,tertiary,30,False,False,106.153,"LINESTRING (13.4949961 46.8010792, 13.4954282 46.8009243, 13.4956863 46.8008347, 13.4959001 46.8007604, 13.4962368 46.8006433)",,,,
38959811,,,Bernhardtgasse,residential,,False,True,51.197,"LINESTRING (13.4963488 46.7988784, 13.4964117 46.7988648, 13.4969797 46.798719)",,,,
"[18452398, 242195535]","['2', '3']",B99,Neuer Platz,primary,50,False,True,166.50699999999998,"LINESTRING (13.4963488 46.7988784, 13.4967736 46.7996698, 13.4968544 46.7997963, 13.4969773 46.7999286, 13.497098 46.8000502, 13.4971655 46.8001072, 13.4972322 46.8001572, 13.4973074 46.8002066)",,,,
"[261103473, 417705509]","['2', '3']",B99,Neuer Platz,primary,50,False,False,46.923,"LINESTRING (13.4963488 46.7988784, 13.4962721 46.7987542, 13.4961011 46.798492)",,,,
948284175,2,,10.-Oktober-Straße,tertiary,30,False,True,88.854,"LINESTRING (13.4939804 46.8015164, 13.4930521 46.8020009)",,,,
948284175,2,,10.-Oktober-Straße,tertiary,30,False,False,91.35900000000001,"LINESTRING (13.4939804 46.8015164, 13.4940475 46.8014877, 13.4940851 46.8014709, 13.4942098 46.8014106, 13.4947939 46.8011582, 13.4948149 46.80115, 13.4949961 46.8010792)",,,,
38958749,3,L10,Neuer Platz,secondary,30,True,False,33.2,"LINESTRING (13.4969984 46.8004156, 13.4970939 46.8003396, 13.4972261 46.8002685, 13.4973074 46.8002066)",,,,
