osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
31248109,,улица Дарвина,residential,,False,False,80.139,"LINESTRING (36.2541882 54.5097577, 36.2543065 54.5097237, 36.2544964 54.509701, 36.2547431 54.5096974, 36.2552258 54.509706, 36.2554115 54.5097093)"
163921784,,Театральная улица,residential,,False,False,232.46599999999998,"LINESTRING (36.2541882 54.5097577, 36.2546307 54.5100307, 36.2547813 54.5101237, 36.256019 54.5108876, 36.2562736 54.5110447, 36.2564662 54.5111636, 36.2566375 54.5112895)"
30906218,,Воскресенский переулок,residential,,False,False,133.374,"LINESTRING (36.2623922 54.5072881, 36.2625487 54.5072652, 36.2629716 54.5072031, 36.2630518 54.5071913, 36.2638049 54.5070808, 36.2641211 54.5070364, 36.2643966 54.5069977)"
30906218,,Воскресенский переулок,residential,,False,True,238.00600000000003,"LINESTRING (36.2623922 54.5072881, 36.2622274 54.5073087, 36.2612875 54.507477, 36.2608851 54.507549, 36.260002 54.5077071, 36.2599559 54.5077154, 36.2595718 54.5077841, 36.2589463 54.5078961, 36.2588674 54.5079137)"
132985441,2,улица Луначарского,secondary,,False,False,206.63400000000001,"LINESTRING (36.2623922 54.5072881, 36.2624028 54.5073546, 36.2624381 54.5076855, 36.2624456 54.5077398, 36.2624598 54.5078422, 36.2624658 54.5078857, 36.2625581 54.508634, 36.262616 54.5090775, 36.2626293 54.5091412)"
132985441,2,улица Луначарского,secondary,,False,True,98.926,"LINESTRING (36.2623922 54.5072881, 36.2623859 54.5072162, 36.2623665 54.5070178, 36.2623629 54.5069802, 36.2623352 54.5066919, 36.2623072 54.5063998)"
217313176,,улица Карпова,residential,,False,True,19.406,"LINESTRING (36.254548 54.5083242, 36.2547778 54.5082117)"
31248078,,Гостинорядский переулок,residential,,False,False,108.126,"LINESTRING (36.254548 54.5083242, 36.2542526 54.5081389, 36.253944 54.5079452, 36.2538094 54.5078607, 36.2535834 54.5077189, 36.2535252 54.5076824, 36.253512 54.5076741, 36.2533844 54.507629)"
131653097,,улица Карпова,residential,,False,False,123.551,"LINESTRING (36.254548 54.5083242, 36.253166 54.5090075, 36.2530862 54.5090411)"
131648958,4,площадь Старый Торг,secondary,,False,False,41.485,"LINESTRING (36.2523036 54.5069827, 36.2525922 54.5069553, 36.2527558 54.506939, 36.2529201 54.5068907)"
170867445,2,Гостинорядский переулок,tertiary,,False,False,54.947,"LINESTRING (36.2533844 54.507629, 36.2528103 54.5072642)"
31248078,,Гостинорядский переулок,residential,,False,True,108.126,"LINESTRING (36.2533844 54.507629, 36.253512 54.5076741, 36.2535252 54.5076824, 36.2535834 54.5077189, 36.2538094 54.5078607, 36.253944 54.5079452, 36.2542526 54.5081389, 36.254548 54.5083242)"
170867448,2,улица Кропоткина,tertiary,,False,True,111.98599999999999,"LINESTRING (36.2533844 54.507629, 36.2532908 54.5076819, 36.2526235 54.5080357, 36.2522873 54.5082273, 36.2521197 54.5083181)"
24663382,3,улица Ленина,secondary,,False,False,96.369,"LINESTRING (36.2582936 54.5092598, 36.2583631 54.5093044, 36.2587345 54.5095427, 36.2588587 54.5096232, 36.2588822 54.5096371, 36.2592952 54.5099024)"
24663382,3,улица Ленина,secondary,,False,True,235.131,"LINESTRING (36.2582936 54.5092598, 36.257887 54.5089998, 36.2577233 54.5088952, 36.2570669 54.5084727, 36.2563961 54.5080472, 36.255963 54.5077656, 36.25585 54.5076918)"
31248109,,улица Дарвина,residential,,False,True,205.568,"LINESTRING (36.2582936 54.5092598, 36.2581688 54.5093211, 36.2578641 54.5094707, 36.2575629 54.5096239, 36.2573591 54.5097186, 36.2572507 54.5097468, 36.2571433 54.5097537, 36.2570642 54.5097517, 36.2563621 54.5097337, 36.255543 54.5097127, 36.2554115 54.5097093)"
126236127,2,улица Дарвина,residential,60,False,False,103.57300000000001,"LINESTRING (36.2582936 54.5092598, 36.2583827 54.5092099, 36.2586209 54.5090913, 36.2591991 54.5088039, 36.2594426 54.508743, 36.2595716 54.5087107)"
