osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,access,width
147511211,False,,Κατσικά,residential,True,232.10100000000003,50,"LINESTRING (21.6327211 39.7058335, 21.6319728 39.7062635, 21.6318576 39.7063426, 21.6317798 39.7063963, 21.6317223 39.7064479, 21.631682 39.7065136, 21.6316259 39.7066063, 21.6315135 39.7067942, 21.6313318 39.7070725, 21.6311805 39.7073043, 21.6311665 39.7073295, 21.6311617 39.7073557, 21.6311653 39.7073855, 21.6311831 39.7074493)",,,,
441273722,False,,Κουπή,residential,False,119.914,50,"LINESTRING (21.6327211 39.7058335, 21.6325893 39.7057486, 21.6325142 39.7056798, 21.6324634 39.7056001, 21.6324285 39.7055292, 21.6322578 39.7050015, 21.6322379 39.7049237, 21.6322416 39.7048551)",,,,
441273722,False,,Κουπή,residential,True,99.37899999999999,50,"LINESTRING (21.6327211 39.7058335, 21.6328305 39.7058935, 21.6329503 39.7059685, 21.6330295 39.706031, 21.6330838 39.7060759, 21.6331554 39.7061748, 21.6332143 39.7062701, 21.6333037 39.7064357, 21.633375 39.7065479)",,,,
435327421,False,,Γκέκα,residential,False,65.486,50,"LINESTRING (21.6294034 39.7065154, 21.6301687 39.7065017)",,,,
435327421,False,,Γκέκα,residential,True,24.041,50,"LINESTRING (21.6294034 39.7065154, 21.6292291 39.7065276, 21.6291272 39.7065501)",,,,
1038878708,False,,Βενιζέλου Ελευθέριου,residential,False,115.377,50,"LINESTRING (21.6291272 39.7065501, 21.6288912 39.7055285)",,,,
435327421,False,,Γκέκα,residential,False,24.041,50,"LINESTRING (21.6291272 39.7065501, 21.6292291 39.7065276, 21.6294034 39.7065154)",,,,
435327421,False,,Γκέκα,residential,True,26.183,50,"LINESTRING (21.6291272 39.7065501, 21.6289518 39.7066213, 21.628854 39.7066561)",,,,
1174025916,False,,Κουπή,residential,True,19.582,50,"LINESTRING (21.633375 39.7065479, 21.6334712 39.7067077)",,,,
147511210,False,,Καλοστύπη,residential,True,195.083,50,"LINESTRING (21.633375 39.7065479, 21.6327757 39.7067704, 21.6321872 39.7069614, 21.632034 39.7070457, 21.6319171 39.7071176, 21.6315466 39.7073629, 21.6314653 39.7074594)",,,,
441273722,False,,Κουπή,residential,False,99.37899999999999,50,"LINESTRING (21.633375 39.7065479, 21.6333037 39.7064357, 21.6332143 39.7062701, 21.6331554 39.7061748, 21.6330838 39.7060759, 21.6330295 39.706031, 21.6329503 39.7059685, 21.6328305 39.7058935, 21.6327211 39.7058335)",,,,
280570477,False,,Θουκυδίδη,residential,False,66.366,50,"LINESTRING (21.628854 39.7066561, 21.628885 39.7067683, 21.6289257 39.7068308, 21.6289642 39.7068683, 21.6290153 39.7068924, 21.6290617 39.7068917, 21.6291267 39.7068667, 21.6292059 39.7068433, 21.6292796 39.7068393, 21.6293529 39.7068555, 21.6294062 39.7068762)",,,,
435327421,False,,Γκέκα,residential,False,26.183,50,"LINESTRING (21.628854 39.7066561, 21.6289518 39.7066213, 21.6291272 39.7065501)",,,,
435327421,False,,Γκέκα,residential,True,50.63099999999999,50,"LINESTRING (21.628854 39.7066561, 21.6287851 39.7066711, 21.6287055 39.7066783, 21.6285826 39.7066843, 21.6284859 39.7066851, 21.6284282 39.7066887, 21.628349 39.7066991, 21.6282688 39.7067123)",,,,
236142340,False,,Ραμμίδη Γ.,residential,True,62.54,50,"LINESTRING (21.6282688 39.7067123, 21.627984 39.7061943)",,,,
280570479,False,,,residential,True,17.23,50,"LINESTRING (21.6282688 39.7067123, 21.62835 39.7068541)",,,,
