osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
191031407,2,unclassified,50,False,True,91.06700000000001,"LINESTRING (20.887365 38.9208294, 20.8869988 38.9208425, 20.8868322 38.920855, 20.8867613 38.9208678, 20.8866482 38.9209183, 20.8863782 38.9210453)",Εθνικού Σταδίου,
570017505,1,residential,50,False,True,76.88,"LINESTRING (20.887365 38.9208294, 20.8874345 38.9204191, 20.8874372 38.9203878, 20.8874264 38.9203513, 20.8874023 38.9203254, 20.8873062 38.9202534, 20.8872299 38.920211)",,
191031379,2,primary,50,False,False,65.253,"LINESTRING (20.8900076 38.9191661, 20.8907579 38.9192261)",Νικολάου Στράτου,ΕΟ42
191031379,2,primary,50,False,True,99.55,"LINESTRING (20.8900076 38.9191661, 20.8896726 38.9191393, 20.8889539 38.9190939, 20.8888614 38.9190876)",Νικολάου Στράτου,ΕΟ42
191031444,2,residential,50,False,True,113.198,"LINESTRING (20.8900076 38.9191661, 20.8900486 38.9187675, 20.8901115 38.9181513)",,
191031420,2,residential,50,False,False,158.92000000000002,"LINESTRING (20.8912094 38.9175916, 20.8911782 38.9180913, 20.8911647 38.9181669, 20.8911507 38.9182002, 20.8911218 38.918217, 20.8910849 38.9182201, 20.8907617 38.918204, 20.8901115 38.9181513)",,
191031455,2,residential,50,False,False,90.50299999999999,"LINESTRING (20.8912094 38.9175916, 20.8910162 38.9175833, 20.8904896 38.9175842, 20.8901636 38.9175828)",Μητροπόλεως,
191031455,2,residential,50,False,True,109.117,"LINESTRING (20.8912094 38.9175916, 20.8920157 38.9176129, 20.8924694 38.9176335)",Μητροπόλεως,
191031455,2,residential,50,False,False,47.926,"LINESTRING (20.8900731 38.9175926, 20.8895269 38.9176645)",Μητροπόλεως,
191031455,2,residential,50,False,True,7.905,"LINESTRING (20.8900731 38.9175926, 20.8901636 38.9175828)",Μητροπόλεως,
191031427,2,residential,50,False,True,71.87799999999999,"LINESTRING (20.8900731 38.9175926, 20.8902122 38.9173009, 20.8903186 38.916976)",,
191031437,2,primary,50,False,True,50.887,"LINESTRING (20.8896663 38.9153466, 20.8898981 38.914926)",Ελευθερίου Βενιζέλου,ΕΟ42
191031378,2,residential,50,False,False,58.646,"LINESTRING (20.8896663 38.9153466, 20.8899048 38.9154075, 20.89 38.9154315, 20.8903156 38.9154974)",,
"[992423869, 992423870, 992423871]",2,primary,50,False,False,38.129999999999995,"LINESTRING (20.8896663 38.9153466, 20.8896545 38.9153674, 20.8895667 38.915522, 20.8894883 38.9156603)",Ελευθερίου Βενιζέλου,ΕΟ42
191031379,2,primary,50,False,True,114.124,"LINESTRING (20.8929214 38.9193853, 20.8925215 38.9193748, 20.8921431 38.9193519, 20.8916062 38.9193108)",Νικολάου Στράτου,ΕΟ42
