osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,width,maxspeed
37854688,,,Tirgus iela,residential,False,False,97.776,,"LINESTRING (27.534551 56.0982254, 27.534781 56.0981625, 27.5355747 56.0978369, 27.5358444 56.097726)",5,
37854688,,,Tirgus iela,residential,False,True,365.212,,"LINESTRING (27.534551 56.0982254, 27.5324186 56.0988665, 27.5322606 56.0988788, 27.5321339 56.098852, 27.5302638 56.0982584, 27.5300588 56.098141, 27.5297092 56.0977864)",5,
37854688,,,Tirgus iela,residential,False,False,193.28,,"LINESTRING (27.5358444 56.097726, 27.537036 56.0975533, 27.5384089 56.0973053, 27.538836 56.0972418)",5,
37854688,,,Tirgus iela,residential,False,True,97.776,,"LINESTRING (27.5358444 56.097726, 27.5355747 56.0978369, 27.534781 56.0981625, 27.534551 56.0982254)",5,
44098058,,,Lāčplēša iela,residential,False,True,239.85700000000003,,"LINESTRING (27.5358444 56.097726, 27.5358709 56.0976421, 27.5359748 56.0973832, 27.5360588 56.0971871, 27.5361248 56.0971348, 27.5362202 56.0971045, 27.5366027 56.0970416, 27.5368607 56.0969757, 27.5371863 56.0967641, 27.5373632 56.0966026, 27.5375577 56.0963523, 27.5377169 56.0961106, 27.5377523 56.0960119)",5,
37854688,,,Tirgus iela,residential,False,True,193.27999999999997,,"LINESTRING (27.538836 56.0972418, 27.5384089 56.0973053, 27.537036 56.0975533, 27.5358444 56.097726)",5,
44098057,,V616,Liepājas iela,secondary,False,False,193.44900000000004,,"LINESTRING (27.538836 56.0972418, 27.5395355 56.0969403, 27.539819 56.096762, 27.5406181 56.0961546, 27.540827 56.0959958, 27.5408885 56.0959491)",,50
44098057,,V616,Liepājas iela,secondary,False,True,198.163,,"LINESTRING (27.538836 56.0972418, 27.5383311 56.0975417, 27.538056 56.0977224, 27.5376302 56.0982222, 27.536942 56.0986574)",,50
37854691,,,Upes iela,residential,False,False,133.845,,"LINESTRING (27.5437796 56.0957873, 27.5420254 56.0950863)",5,
13522895,,,Liepājas iela,tertiary,True,False,59.779,,"LINESTRING (27.5420254 56.0950863, 27.5414389 56.0955129)",,
37854691,,,Upes iela,residential,False,True,133.845,,"LINESTRING (27.5420254 56.0950863, 27.5437796 56.0957873)",5,
984198869,,,Upes iela,residential,False,False,73.695,,"LINESTRING (27.5420254 56.0950863, 27.5410421 56.0947143)",5,
37854692,,,Skolas iela,residential,False,True,53.358,,"LINESTRING (27.5410421 56.0947143, 27.5415674 56.0943343)",5,
984198869,,,Upes iela,residential,False,True,73.695,,"LINESTRING (27.5410421 56.0947143, 27.5420254 56.0950863)",5,
984210483,,,Skolas iela,residential,False,False,15.757,,"LINESTRING (27.5410421 56.0947143, 27.5408881 56.094827)",5,
15717770,,P55,Daugavpils iela,primary,False,False,77.346,,"LINESTRING (27.5398762 56.0955429, 27.5401534 56.0956537, 27.5408885 56.0959491)",,
15717770,,P55,Daugavpils iela,primary,False,True,73.57,,"LINESTRING (27.5398762 56.0955429, 27.5398062 56.0955146, 27.539618 56.0954384, 27.5389195 56.0951518)",,
984210482,,,Skolas iela,residential,False,True,101.372,,"LINESTRING (27.5398762 56.0955429, 27.5399613 56.0954827, 27.5401977 56.0953155, 27.5408881 56.094827)",5,
37854694,,,Rīgas iela,residential,False,False,69.541,,"LINESTRING (27.5399837 56.0944574, 27.5408881 56.094827)",5,
37854693,,,Lāčplēša iela,residential,True,False,125.11,,"LINESTRING (27.5399837 56.0944574, 27.540594 56.0940595, 27.5406996 56.0939906, 27.541336 56.0936233)",5,
37854694,,,Rīgas iela,residential,False,True,117.161,,"LINESTRING (27.5399837 56.0944574, 27.5395748 56.0942737, 27.538928 56.0939831, 27.5387266 56.0939077, 27.5385935 56.0938535, 27.5384917 56.0938121)",5,
13522832,,V606,Alejas iela,secondary,False,False,139.985,,"LINESTRING (27.5384917 56.0938121, 27.5390256 56.0935024, 27.5391112 56.0934534, 27.5393335 56.0933262, 27.5395504 56.0931429, 27.5397333 56.0929883, 27.539817 56.0928162)",,50
37854694,,,Rīgas iela,residential,False,False,117.161,,"LINESTRING (27.5384917 56.0938121, 27.5385935 56.0938535, 27.5387266 56.0939077, 27.538928 56.0939831, 27.5395748 56.0942737, 27.5399837 56.0944574)",5,
984210481,,V606,Alejas iela,secondary,False,True,106.64999999999999,,"LINESTRING (27.5384917 56.0938121, 27.5378026 56.0941996, 27.5376385 56.0942919, 27.5373588 56.0944492, 27.5372542 56.0944694)",,50
37854694,,,Rīgas iela,residential,False,True,69.541,,"LINESTRING (27.5408881 56.094827, 27.5399837 56.0944574)",5,
984210483,,,Skolas iela,residential,False,True,15.757,,"LINESTRING (27.5408881 56.094827, 27.5410421 56.0947143)",5,
984210482,,,Skolas iela,residential,False,False,101.372,,"LINESTRING (27.5408881 56.094827, 27.5401977 56.0953155, 27.5399613 56.0954827, 27.5398762 56.0955429)",5,
37854695,,,Brīvības iela,residential,False,False,10.741,,"LINESTRING (27.5306884 56.0949148, 27.5305316 56.0949558)",5,
37854695,,,Brīvības iela,residential,False,True,67.971,,"LINESTRING (27.5306884 56.0949148, 27.5316649 56.0946374)",5,
37854697,,,Ziedu iela,residential,False,False,124.49600000000001,,"LINESTRING (27.5306884 56.0949148, 27.5313093 56.0955798, 27.5315629 56.0958514, 27.5316156 56.0959078)",5,
