osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
100448125,,tertiary,False,False,75.92,"LINESTRING (-4.5674463 55.9815347, -4.5679496 55.9815278, -4.568205 55.9814339, -4.568474 55.9812598)",,30 mph,2,
101621424,O'Hare,residential,False,False,64.12299999999999,"LINESTRING (-4.5674463 55.9815347, -4.5672492 55.9817918, -4.5669626 55.9820417)",,30 mph,,
100448154,Campbell Street,residential,False,True,49.061,"LINESTRING (-4.5703665 55.9823105, -4.5709454 55.9822526, -4.5711459 55.9822559)",,,,
100448136,Main Street,residential,False,False,7.838,"LINESTRING (-4.5732518 55.9810528, -4.5732758 55.981122)",,,,
100448136,Main Street,residential,False,True,32.512,"LINESTRING (-4.5732518 55.9810528, -4.5731691 55.9807641)",,,,
120003896,Croft Street,residential,False,False,140.392,"LINESTRING (-4.5732518 55.9810528, -4.5721037 55.9811746, -4.5712701 55.9812582, -4.5710292 55.9812659)",,,,
120003868,Levencroft Mews,residential,False,False,11.895,"LINESTRING (-4.5705825 55.9814882, -4.5705898 55.9815951)",,,,
120003894,Springcroft Grove,residential,False,False,64.143,"LINESTRING (-4.5699999 55.9812993, -4.5701146 55.9812967, -4.5701903 55.981295, -4.5702231 55.9812943, -4.5704225 55.9812861, -4.5710292 55.9812659)",,,,
120003868,Levencroft Mews,residential,False,True,11.895,"LINESTRING (-4.5705898 55.9815951, -4.5705825 55.9814882)",,,,
120003883,Levencroft Mews,residential,False,False,29.203,"LINESTRING (-4.5705898 55.9815951, -4.5710581 55.9815769)",,,,
120003883,Levencroft Mews,residential,False,True,13.808,"LINESTRING (-4.5705898 55.9815951, -4.5703684 55.9816039)",,,,
120003898,O'Neil Terrace,residential,False,False,69.085,"LINESTRING (-4.5798747 55.9839931, -4.5803933 55.9834437)",,,,
57217483,Albert Street,residential,False,False,7.469,"LINESTRING (-4.5803933 55.9834437, -4.580284 55.9834159)",,30 mph,2,
120003898,O'Neil Terrace,residential,False,True,69.085,"LINESTRING (-4.5803933 55.9834437, -4.5798747 55.9839931)",,,,
57217483,Albert Street,residential,False,True,64.424,"LINESTRING (-4.5803933 55.9834437, -4.5807907 55.9835448, -4.581336 55.9836836)",,30 mph,2,
120003883,Levencroft Mews,residential,False,False,13.808,"LINESTRING (-4.5703684 55.9816039, -4.5705898 55.9815951)",,,,
101621423,George Street,residential,False,False,34.628,"LINESTRING (-4.5710581 55.9815769, -4.5710292 55.9812659)",,,,
120003883,Levencroft Mews,residential,False,True,29.203,"LINESTRING (-4.5710581 55.9815769, -4.5705898 55.9815951)",,,,
101621423,George Street,residential,False,True,75.69800000000001,"LINESTRING (-4.5710581 55.9815769, -4.5710871 55.9818048, -4.5711459 55.9822559)",,,,
120003904,Rowantree Grove,residential,False,True,14.363000000000001,"LINESTRING (-4.5795158 55.9817878, -4.5795361 55.9818243, -4.5795419 55.9818885, -4.5795314 55.9819145)",,,,
31094176,,secondary,True,False,103.727,"LINESTRING (-4.5784025 55.984447, -4.578479 55.9845732, -4.5785038 55.9846846, -4.5784833 55.9847937, -4.5784502 55.9848723, -4.5783147 55.9851726, -4.5782283 55.9853534)",B857,30 mph,,
120003904,Rowantree Grove,residential,False,False,11.907,"LINESTRING (-4.5793852 55.9819762, -4.5794548 55.9819567, -4.5795115 55.9819397, -4.5795314 55.9819145)",,,,
124345861,Church Street,unclassified,False,False,42.16,"LINESTRING (-4.580264 55.9858236, -4.5800809 55.985832, -4.5797953 55.9858452, -4.5795885 55.9858547)",,,,
"[101621418, 101621423]","['Raglan Street', 'George Street']",residential,False,False,152.514,"LINESTRING (-4.5706549 55.9796424, -4.5705647 55.9795411, -4.5705366 55.97951, -4.5706827 55.9794834, -4.5713151 55.9793513, -4.5715841 55.979313, -4.5726315 55.9791641)",,,,
