osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry
26282353,,,Blenheim Park South,residential,,,False,True,91.668,"LINESTRING (-5.8920862 54.5175367, -5.8921686 54.5183597)"
31697892,,,Queensfort Park South,residential,,,False,False,50.473,"LINESTRING (-5.8920862 54.5175367, -5.8921027 54.5175364, -5.8921762 54.517535, -5.8924623 54.5175297, -5.8928678 54.5175222)"
31697892,,,Queensfort Park South,residential,,,False,True,46.983,"LINESTRING (-5.8920862 54.5175367, -5.8918325 54.5175433, -5.891359 54.5175557)"
26282330,,,Marlborough Park,residential,,,False,True,54.192,"LINESTRING (-5.8923118 54.5184813, -5.8923867 54.5185192, -5.8925041 54.5185365, -5.8926741 54.5185447, -5.893122 54.5185589)"
26282348,,,Blenheim Park,residential,,,False,False,335.25899999999996,"LINESTRING (-5.8923118 54.5184813, -5.8922932 54.5185209, -5.8922232 54.5186702, -5.8921491 54.5188282, -5.892072 54.5189927, -5.8920222 54.5190451, -5.891907 54.5190668, -5.8913659 54.5190318, -5.8912936 54.5190271, -5.8912787 54.5190259, -5.8910289 54.5190065, -5.8906895 54.5189801, -5.8905816 54.5189296, -5.8904689 54.5188466, -5.8903259 54.5187413, -5.8901537 54.5186146, -5.8900512 54.5185391, -5.8899957 54.5184642, -5.8900231 54.5183886, -5.8901228 54.5182391, -5.8902287 54.5181993, -5.8903408 54.5181993, -5.890456 54.5182011, -5.8905285 54.5182075, -5.8905932 54.5182132, -5.8910141 54.5182503, -5.8910487 54.5182533, -5.8913773 54.5182823)"
26282353,,,Blenheim Park South,residential,,,False,False,16.500999999999998,"LINESTRING (-5.8923118 54.5184813, -5.8922255 54.518424, -5.8921686 54.5183597)"
26282437,,,Blenheim Drive,residential,,,False,False,37.106,"LINESTRING (-5.8913773 54.5182823, -5.8912553 54.5186084)"
26282348,,,Blenheim Park,residential,,,False,False,51.793000000000006,"LINESTRING (-5.8913773 54.5182823, -5.8916557 54.5183095, -5.8917091 54.5183148, -5.8921103 54.518354, -5.8921686 54.5183597)"
26282348,,,Blenheim Park,residential,,,False,True,335.259,"LINESTRING (-5.8913773 54.5182823, -5.8910487 54.5182533, -5.8910141 54.5182503, -5.8905932 54.5182132, -5.8905285 54.5182075, -5.890456 54.5182011, -5.8903408 54.5181993, -5.8902287 54.5181993, -5.8901228 54.5182391, -5.8900231 54.5183886, -5.8899957 54.5184642, -5.8900512 54.5185391, -5.8901537 54.5186146, -5.8903259 54.5187413, -5.8904689 54.5188466, -5.8905816 54.5189296, -5.8906895 54.5189801, -5.8910289 54.5190065, -5.8912787 54.5190259, -5.8912936 54.5190271, -5.8913659 54.5190318, -5.891907 54.5190668, -5.8920222 54.5190451, -5.892072 54.5189927, -5.8921491 54.5188282, -5.8922232 54.5186702, -5.8922932 54.5185209, -5.8923118 54.5184813)"
19070003,2,,Killynure Road,residential,30 mph,,False,False,81.05799999999999,"LINESTRING (-5.8842928 54.5149595, -5.8842468 54.5148526, -5.8842397 54.5148099, -5.8839706 54.5142556)"
19070003,2,,Killynure Road,residential,30 mph,,False,True,77.35,"LINESTRING (-5.8842928 54.5149595, -5.8843349 54.5150454, -5.8843585 54.5150935, -5.8844122 54.515203, -5.8844456 54.5152711, -5.8844677 54.5153162, -5.8844933 54.515375, -5.8845594 54.5155272, -5.8845833 54.5155536, -5.8846069 54.515591, -5.88464 54.5156232)"
26299269,2,,Killynure Crescent,residential,30 mph,,False,False,52.679,"LINESTRING (-5.8842928 54.5149595, -5.8835975 54.5150721, -5.8835225 54.5150842, -5.8835067 54.5150868)"
26299299,2,,Killynure Gardens,residential,30 mph,,False,True,55.480000000000004,"LINESTRING (-5.8847374 54.5140302, -5.8846577 54.5140537, -5.8839706 54.5142556)"
26299302,2,,Killynure Way,residential,30 mph,,False,False,40.989000000000004,"LINESTRING (-5.8847374 54.5140302, -5.8849789 54.5143183, -5.8850158 54.5143615)"
26299302,2,,Killynure Way,residential,30 mph,,False,True,40.989000000000004,"LINESTRING (-5.8850158 54.5143615, -5.8849789 54.5143183, -5.8847374 54.5140302)"
"[31697896, 31697889]",2,A7,Saintfield Road,trunk,"['60 mph', '40 mph']",,False,True,256.331,"LINESTRING (-5.880657 54.5139861, -5.8812266 54.5144614, -5.8817324 54.5149327, -5.8822486 54.515358, -5.8825612 54.515581, -5.8827574 54.5157076, -5.882972 54.5158549)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,True,26.13,"LINESTRING (-5.8879043 54.5174728, -5.8880152 54.5172468)"
26299533,,,The Crescent,residential,,,False,False,12.719000000000001,"LINESTRING (-5.8879043 54.5174728, -5.8878022 54.5174539, -5.8877562 54.5174484, -5.8877133 54.5174493)"
591852753,4,A24,Ballynahinch Road,trunk,30 mph,,False,False,54.986999999999995,"LINESTRING (-5.8879043 54.5174728, -5.88777 54.5177478, -5.887692 54.5179515)"
26299533,,,The Crescent,residential,,,False,False,107.481,"LINESTRING (-5.8877133 54.5174493, -5.8874224 54.517478, -5.88741 54.5174802, -5.8872512 54.5175085, -5.8871339 54.517525, -5.8870823 54.5175279, -5.8870475 54.5175293, -5.8869824 54.5175301, -5.8868965 54.5175172, -5.8868243 54.5174922, -5.8867849 54.5174625, -5.8866964 54.5174096, -5.886661 54.517387, -5.8866537 54.517382, -5.8866059 54.5173497, -5.8863108 54.5171788)"
26299533,,,The Crescent,residential,,,False,True,12.719,"LINESTRING (-5.8877133 54.5174493, -5.8877562 54.5174484, -5.8878022 54.5174539, -5.8879043 54.5174728)"
26299538,,,The Crescent,residential,,,False,False,41.97,"LINESTRING (-5.8877133 54.5174493, -5.8877193 54.5174149, -5.8877454 54.5172712, -5.8878054 54.5171509, -5.8878296 54.5171025, -5.8878275 54.5170798)"
26299573,2,,Hollygate Avenue,residential,30 mph,,False,False,22.277,"LINESTRING (-5.8855775 54.5165414, -5.8856186 54.516634, -5.8856397 54.516738)"
26299573,2,,Hollygate Avenue,residential,30 mph,,False,True,81.549,"LINESTRING (-5.8855775 54.5165414, -5.8855653 54.516514, -5.8855095 54.51642, -5.8854997 54.5163949, -5.8854759 54.5163612, -5.8854355 54.516258, -5.8854293 54.5162447, -5.8853891 54.5161583, -5.885394 54.5160875, -5.8854251 54.5160437, -5.8854306 54.516036, -5.8854668 54.5160146, -5.8855039 54.5159926, -5.8855742 54.5159577, -5.8856333 54.5159283, -5.885708 54.5159073)"
