osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge,junction
4747237,False,,residential,,False,11.264,"LINESTRING (1.3332223 51.9672591, 1.3333219 51.9673397)",Broom Field,,
4730270,False,,tertiary,30 mph,True,133.564,"LINESTRING (1.3332223 51.9672591, 1.3329814 51.9673891, 1.3326645 51.9675626, 1.3325924 51.9676029, 1.3324258 51.9676959, 1.3320805 51.9678941, 1.3317836 51.9680695)",Grange Farm Avenue,,
4747246,False,,residential,,False,11.912,"LINESTRING (1.3317836 51.9680695, 1.3319005 51.9681488)",,,
4730270,False,,tertiary,30 mph,False,133.564,"LINESTRING (1.3317836 51.9680695, 1.3320805 51.9678941, 1.3324258 51.9676959, 1.3325924 51.9676029, 1.3326645 51.9675626, 1.3329814 51.9673891, 1.3332223 51.9672591)",Grange Farm Avenue,,
4730270,False,,tertiary,30 mph,True,37.937,"LINESTRING (1.3317836 51.9680695, 1.3316439 51.9681325, 1.3313656 51.9682925)",Grange Farm Avenue,,
4747237,False,,residential,,True,25.734,"LINESTRING (1.3336569 51.9674444, 1.3333219 51.9673397)",Broom Field,,
4747239,False,,residential,,True,84.784,"LINESTRING (1.3340712 51.9678811, 1.3338539 51.967839, 1.3337215 51.967806, 1.3334538 51.9677393, 1.3332635 51.9676811, 1.3331466 51.9676377, 1.3330447 51.967586, 1.3329739 51.9675449)",Beacon Field,,
4747242,False,,residential,,True,93.66000000000001,"LINESTRING (1.3337659 51.9681438, 1.3336995 51.9681365, 1.3336636 51.9681325, 1.3335534 51.9681097, 1.3334009 51.9680712, 1.3332143 51.968017, 1.3329461 51.9679315, 1.3327024 51.9678472, 1.3325297 51.9677922)",Crossgate Field,,
4747241,False,,residential,,False,33.0,"LINESTRING (1.3329739 51.9675449, 1.3333219 51.9673397)",Grange Farm Avenue,,
4747241,False,,residential,,True,41.015,"LINESTRING (1.3329739 51.9675449, 1.3325297 51.9677922)",Grange Farm Avenue,,
4747239,False,,residential,,False,84.78399999999999,"LINESTRING (1.3329739 51.9675449, 1.3330447 51.967586, 1.3331466 51.9676377, 1.3332635 51.9676811, 1.3334538 51.9677393, 1.3337215 51.967806, 1.3338539 51.967839, 1.3340712 51.9678811)",Beacon Field,,
4747237,False,,residential,,False,25.734,"LINESTRING (1.3333219 51.9673397, 1.3336569 51.9674444)",Broom Field,,
