osmid,name,highway,oneway,reversed,length,geometry,ref
525136708,,residential,False,False,41.326,"LINESTRING (-2.8702893 40.7581936, -2.8702603 40.758174, -2.870031 40.7580885, -2.8698508 40.7580297)",
254298195,Calle de San Miguel,residential,False,False,55.967,"LINESTRING (-2.8695457 40.7587434, -2.8694706 40.7587623, -2.8693596 40.7587788, -2.8692424 40.758763, -2.869097 40.7587168, -2.8689822 40.7586708, -2.8689192 40.7586568)",
254298195,Calle de San Miguel,residential,False,True,19.277,"LINESTRING (-2.8695457 40.7587434, -2.869707 40.7587046, -2.8697564 40.7586793)",
254298196,,residential,False,False,112.36400000000002,"LINESTRING (-2.8695457 40.7587434, -2.8694599 40.7589383, -2.8694195 40.759127, -2.869417 40.7591386, -2.8693605 40.7594315, -2.8693491 40.7594905, -2.8693277 40.7595907, -2.8692941 40.7596363, -2.8691983 40.7596941)",
338282059,Avenida de la Constitución,secondary,False,False,20.605,"LINESTRING (-2.8691983 40.7596941, -2.8692224 40.7598785)",CM-2011
254298196,,residential,False,True,112.36400000000002,"LINESTRING (-2.8691983 40.7596941, -2.8692941 40.7596363, -2.8693277 40.7595907, -2.8693491 40.7594905, -2.8693605 40.7594315, -2.869417 40.7591386, -2.8694195 40.759127, -2.8694599 40.7589383, -2.8695457 40.7587434)",
338282059,Avenida de la Constitución,secondary,False,True,120.524,"LINESTRING (-2.8691983 40.7596941, -2.8691253 40.7590127, -2.8691112 40.7589245, -2.8690995 40.7588773, -2.8690742 40.7588209, -2.8690365 40.7587578, -2.868993 40.7587177, -2.8689192 40.7586568)",CM-2011
570035323,Calle Canales,residential,False,False,19.27,"LINESTRING (-2.8691983 40.7596941, -2.8691419 40.7596858, -2.8689718 40.7596702)",
254298213,,residential,False,False,63.584,"LINESTRING (-2.8703862 40.7589838, -2.8707118 40.7584679)",
254298197,Plaza Mayor,residential,False,False,30.627,"LINESTRING (-2.8703862 40.7589838, -2.8706041 40.7591098, -2.8706908 40.7591266)",
254298197,Plaza Mayor,residential,False,True,24.605,"LINESTRING (-2.8703862 40.7589838, -2.8702972 40.759147, -2.8702743 40.7591882)",
254298199,,residential,False,True,64.277,"LINESTRING (-2.8703862 40.7589838, -2.8703033 40.7589228, -2.8701871 40.758785, -2.8701722 40.7587245, -2.8701558 40.7586811, -2.8701496 40.7586649, -2.8700943 40.7586246, -2.8699496 40.7585292)",
254298197,Plaza Mayor,residential,False,False,36.309,"LINESTRING (-2.8706908 40.7591266, -2.8704997 40.7594193)",
254298197,Plaza Mayor,residential,False,True,30.627,"LINESTRING (-2.8706908 40.7591266, -2.8706041 40.7591098, -2.8703862 40.7589838)",
254298215,Calle Saúco,residential,False,False,72.464,"LINESTRING (-2.8706908 40.7591266, -2.8707527 40.7591233, -2.8709676 40.7587752, -2.8710768 40.7585709)",
254298198,,residential,False,False,14.916,"LINESTRING (-2.8697564 40.7586793, -2.8698639 40.7587859)",
254298195,Calle de San Miguel,residential,False,False,19.277,"LINESTRING (-2.8697564 40.7586793, -2.869707 40.7587046, -2.8695457 40.7587434)",
254298195,Calle de San Miguel,residential,False,True,23.48,"LINESTRING (-2.8697564 40.7586793, -2.8697969 40.7586541, -2.8698329 40.7586364, -2.8699496 40.7585292)",
254298197,Plaza Mayor,residential,False,False,24.605,"LINESTRING (-2.8702743 40.7591882, -2.8702972 40.759147, -2.8703862 40.7589838)",
254298197,Plaza Mayor,residential,False,True,28.467999999999996,"LINESTRING (-2.8702743 40.7591882, -2.8701842 40.7593389, -2.8702283 40.7593927, -2.8702614 40.7594034)",
254298198,,residential,False,True,57.257,"LINESTRING (-2.8702743 40.7591882, -2.8701605 40.7590202, -2.8699742 40.7588519, -2.8698639 40.7587859)",
254298195,Calle de San Miguel,residential,False,False,23.479999999999997,"LINESTRING (-2.8699496 40.7585292, -2.8698329 40.7586364, -2.8697969 40.7586541, -2.8697564 40.7586793)",
254298195,Calle de San Miguel,residential,False,True,47.027,"LINESTRING (-2.8699496 40.7585292, -2.8700067 40.75847, -2.8701532 40.7583292, -2.8702893 40.7581936)",
254298199,,residential,False,False,64.277,"LINESTRING (-2.8699496 40.7585292, -2.8700943 40.7586246, -2.8701496 40.7586649, -2.8701558 40.7586811, -2.8701722 40.7587245, -2.8701871 40.758785, -2.8703033 40.7589228, -2.8703862 40.7589838)",
254298198,,residential,False,True,14.916,"LINESTRING (-2.8698639 40.7587859, -2.8697564 40.7586793)",
254298198,,residential,False,False,57.257000000000005,"LINESTRING (-2.8698639 40.7587859, -2.8699742 40.7588519, -2.8701605 40.7590202, -2.8702743 40.7591882)",
254298200,Calle Sinagoga,residential,False,False,140.41200000000003,"LINESTRING (-2.8698639 40.7587859, -2.8698023 40.7588162, -2.8698018 40.7590847, -2.8697958 40.7592306, -2.8697677 40.7592693, -2.8697494 40.7592946, -2.8696386 40.7594472, -2.8695918 40.7595088, -2.8695171 40.7596069, -2.8694099 40.7597341, -2.8693241 40.7598397, -2.8692224 40.7598785)",
338282059,Avenida de la Constitución,secondary,False,True,20.605,"LINESTRING (-2.8692224 40.7598785, -2.8691983 40.7596941)",CM-2011
254298200,Calle Sinagoga,residential,False,True,140.412,"LINESTRING (-2.8692224 40.7598785, -2.8693241 40.7598397, -2.8694099 40.7597341, -2.8695171 40.7596069, -2.8695918 40.7595088, -2.8696386 40.7594472, -2.8697494 40.7592946, -2.8697677 40.7592693, -2.8697958 40.7592306, -2.8698018 40.7590847, -2.8698023 40.7588162, -2.8698639 40.7587859)",
338282059,Avenida de la Constitución,secondary,False,False,8.895999999999999,"LINESTRING (-2.8692224 40.7598785, -2.8692249 40.759898, -2.8692329 40.7599581)",CM-2011
