osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,tunnel
43734980,Calle Florentino La Puente,residential,False,False,75.964,"LINESTRING (-1.2451698 38.0313585, -1.2448895 38.030712)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,32.627,"LINESTRING (-1.2448895 38.030712, -1.2445367 38.0308062)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,47.173,"LINESTRING (-1.2448895 38.030712, -1.245398 38.0305722)",,,,
43734980,Calle Florentino La Puente,residential,False,False,65.187,"LINESTRING (-1.2448895 38.030712, -1.2446378 38.0301603)",,,,
43734980,Calle Florentino La Puente,residential,False,True,75.964,"LINESTRING (-1.2448895 38.030712, -1.2451698 38.0313585)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,56.626,"LINESTRING (-1.2445367 38.0308062, -1.2439284 38.0309787)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,32.627,"LINESTRING (-1.2445367 38.0308062, -1.2448895 38.030712)",,,,
43734982,Calle Capitán Cortés,residential,False,False,74.148,"LINESTRING (-1.2445367 38.0308062, -1.2448097 38.0314374)",,,,
43734982,Calle Capitán Cortés,residential,False,True,64.3,"LINESTRING (-1.2445367 38.0308062, -1.2443008 38.0302586)",,,,
530636554,Calle Hermanos Álvarez Quintero,residential,False,False,55.693,"LINESTRING (-1.2449773 38.0318364, -1.2451572 38.0323168)",,,,
530636554,Calle Hermanos Álvarez Quintero,residential,False,True,46.765,"LINESTRING (-1.2449773 38.0318364, -1.2448298 38.0314322)",,,,
530649665,Calle San Ignacio,residential,False,False,56.163,"LINESTRING (-1.2449773 38.0318364, -1.2443632 38.0319818)",,,,
530649665,Calle San Ignacio,residential,False,True,59.226,"LINESTRING (-1.2449773 38.0318364, -1.2456313 38.031701)",,,,
43734983,Calle Conde de Romanones,residential,False,False,50.094,"LINESTRING (-1.2456313 38.031701, -1.2458192 38.0321265)",,,,
43734983,Calle Conde de Romanones,residential,False,True,48.626,"LINESTRING (-1.2456313 38.031701, -1.2454536 38.0312867)",,,,
530649665,Calle San Ignacio,residential,False,False,59.226,"LINESTRING (-1.2456313 38.031701, -1.2449773 38.0318364)",,,,
530649665,Calle San Ignacio,residential,False,True,64.132,"LINESTRING (-1.2456313 38.031701, -1.2463354 38.0315427)",,,,
43734972,Calle Santa Rita,residential,False,False,59.915,"LINESTRING (-1.2434251 38.0298121, -1.2427817 38.0299951)",,,,
43734972,Calle Santa Rita,residential,False,True,37.546,"LINESTRING (-1.2434251 38.0298121, -1.2438267 38.029694)",,,,
43734989,Calle Antonio Machado,residential,False,True,72.18,"LINESTRING (-1.2434251 38.0298121, -1.2437048 38.0304227)",,,,
43734989,Calle Antonio Machado,residential,False,False,107.24,"LINESTRING (-1.2434251 38.0298121, -1.243054 38.0290314, -1.2429958 38.0289089)",,,,
43734960,Calle Salceda,residential,False,False,51.29,"LINESTRING (-1.2418317 38.0292455, -1.2423751 38.0290736)",,,,
43734973,Calle Nicolás de las Peñas,residential,False,True,181.215,"LINESTRING (-1.2418317 38.0292455, -1.2426279 38.0307497)",,,,
43734960,Calle Salceda,residential,False,True,80.488,"LINESTRING (-1.2418317 38.0292455, -1.2413553 38.029397, -1.2411185 38.0294754, -1.240981 38.0295192)",,,,
43734981,Calle Lorenzo Vicens,residential,False,False,73.099,"LINESTRING (-1.2441031 38.0303143, -1.2438267 38.029694)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,36.909,"LINESTRING (-1.2441031 38.0303143, -1.2437048 38.0304227)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,18.39,"LINESTRING (-1.2441031 38.0303143, -1.2443008 38.0302586)",,,,
43734972,Calle Santa Rita,residential,False,False,37.546,"LINESTRING (-1.2438267 38.029694, -1.2434251 38.0298121)",,,,
43734972,Calle Santa Rita,residential,False,True,48.152,"LINESTRING (-1.2438267 38.029694, -1.244342 38.0295431)",,,,
43734981,Calle Lorenzo Vicens,residential,False,False,98.449,"LINESTRING (-1.2438267 38.029694, -1.243442 38.0288621)",,,,
43734981,Calle Lorenzo Vicens,residential,False,True,73.099,"LINESTRING (-1.2438267 38.029694, -1.2441031 38.0303143)",,,,
530365249,Calle Antonio Machado,residential,False,True,64.744,"LINESTRING (-1.243688 38.0304281, -1.2439284 38.0309787)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,56.508,"LINESTRING (-1.243688 38.0304281, -1.243085 38.0306088)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,1.589,"LINESTRING (-1.243688 38.0304281, -1.2437048 38.0304227)",,,,
43734989,Calle Antonio Machado,residential,False,False,72.18,"LINESTRING (-1.2437048 38.0304227, -1.2434251 38.0298121)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,1.589,"LINESTRING (-1.2437048 38.0304227, -1.243688 38.0304281)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,36.909,"LINESTRING (-1.2437048 38.0304227, -1.2441031 38.0303143)",,,,
43734961,Calle Mula,residential,False,False,56.693,"LINESTRING (-1.2435541 38.0316588, -1.2441818 38.0315343)",,,,
43734984,Calle Sagunto,residential,False,True,54.663,"LINESTRING (-1.2435541 38.0316588, -1.2437577 38.0321235)",,,,
530365250,Calle Campo,residential,False,False,60.668,"LINESTRING (-1.2435541 38.0316588, -1.2433225 38.0311446)",,,,
43734961,Calle Mula,residential,False,True,169.074,"LINESTRING (-1.2435541 38.0316588, -1.2422786 38.0320212, -1.2419136 38.0321416, -1.2417423 38.0321818)",,,,
43734973,Calle Nicolás de las Peñas,residential,False,False,181.215,"LINESTRING (-1.2426279 38.0307497, -1.2418317 38.0292455)",,,,
530636549,Calle Maestro José Navarro,residential,False,True,42.992,"LINESTRING (-1.2426279 38.0307497, -1.243085 38.0306088)",,,,
530636549,Calle Maestro José Navarro,residential,False,False,110.322,"LINESTRING (-1.2426279 38.0307497, -1.242192 38.0308934, -1.2417685 38.0310347, -1.2416925 38.03106, -1.2414673 38.0311352)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,163.11,"LINESTRING (-1.2433225 38.0311446, -1.2415694 38.0316395)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,56.183,"LINESTRING (-1.2433225 38.0311446, -1.2439284 38.0309787)",,,,
530365250,Calle Campo,residential,False,False,63.105,"LINESTRING (-1.2433225 38.0311446, -1.243085 38.0306088)",,,,
530365250,Calle Campo,residential,False,True,60.668,"LINESTRING (-1.2433225 38.0311446, -1.2435541 38.0316588)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,163.11,"LINESTRING (-1.2415694 38.0316395, -1.2433225 38.0311446)",,,,
