osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
188809076,1,,Zachodnia,residential,50,False,True,92.005,"LINESTRING (19.8730795 51.0861803, 19.8731353 51.0861731, 19.8731427 51.0861722, 19.873505 51.08613, 19.8735636 51.0861263, 19.8736276 51.0861268, 19.8737608 51.086132, 19.8738198 51.0861317, 19.873899 51.0861265, 19.8742832 51.0860924, 19.8743835 51.0860838)",,,
577499460,2,742,Krakowska,secondary,50,False,False,222.07999999999998,"LINESTRING (19.8730795 51.0861803, 19.8730594 51.0860801, 19.873042 51.0859698, 19.8730316 51.0858603, 19.8730278 51.0857566, 19.8730309 51.0856521, 19.8730407 51.0855376, 19.8730602 51.0854095, 19.8730805 51.0853043, 19.8731143 51.0851721, 19.8733787 51.0842894, 19.8733989 51.0842043)",,,
"[1126166275, 1162440158]",2,742,Krakowska,secondary,50,False,True,78.136,"LINESTRING (19.8730795 51.0861803, 19.8731116 51.0863511, 19.8731496 51.0865261, 19.8731816 51.0866736, 19.8732174 51.0867871, 19.873246 51.0868748)",,,
188809079,1,,Stodolniana,residential,50,False,False,200.202,"LINESTRING (19.8762783 51.0837609, 19.8763429 51.0837375, 19.8763996 51.0837132, 19.8764833 51.0836731, 19.8766827 51.0835564, 19.8768418 51.0834599, 19.8769561 51.08339, 19.8770776 51.0833057, 19.8771859 51.0832313, 19.877461 51.0830726, 19.8777036 51.0829356, 19.8779911 51.0827497, 19.8781089 51.0826534, 19.8781548 51.0826003, 19.8782302 51.0825868, 19.8782954 51.0825812, 19.8783721 51.0825843)",,,
188809079,1,,Stodolniana,residential,50,False,True,152.008,"LINESTRING (19.8762783 51.0837609, 19.8761534 51.0837957, 19.8759631 51.0838476, 19.8758438 51.0838854, 19.875699 51.0839375, 19.8754263 51.084048, 19.8752479 51.0841136, 19.8750494 51.0841851, 19.8747967 51.0842762, 19.8747331 51.0843041, 19.8746628 51.0843427, 19.8745331 51.0844194, 19.8745004 51.0844327, 19.8744627 51.0844389, 19.8744095 51.0844403)",,,
"[577572441, 188809078]",1,,Południowa,residential,50,False,True,223.67000000000002,"LINESTRING (19.8762783 51.0837609, 19.8762223 51.083839, 19.8761824 51.0838826, 19.8761347 51.0839343, 19.8760975 51.0839896, 19.8760616 51.084066, 19.8760004 51.0841843, 19.8759185 51.0843121, 19.8758352 51.0844299, 19.8755524 51.0847884, 19.8755297 51.084823, 19.8755089 51.0848653, 19.8754949 51.0849135, 19.8754774 51.0850133, 19.8754253 51.0853615, 19.8754229 51.0854343, 19.8754247 51.0854876, 19.8754456 51.0856651)",,,
188809079,1,,Stodolniana,residential,50,False,True,200.20200000000006,"LINESTRING (19.8783721 51.0825843, 19.8782954 51.0825812, 19.8782302 51.0825868, 19.8781548 51.0826003, 19.8781089 51.0826534, 19.8779911 51.0827497, 19.8777036 51.0829356, 19.877461 51.0830726, 19.8771859 51.0832313, 19.8770776 51.0833057, 19.8769561 51.08339, 19.8768418 51.0834599, 19.8766827 51.0835564, 19.8764833 51.0836731, 19.8763996 51.0837132, 19.8763429 51.0837375, 19.8762783 51.0837609)",,,
188809080,,,,residential,,False,False,71.684,"LINESTRING (19.8783721 51.0825843, 19.8784373 51.0825911, 19.8784945 51.0826088, 19.8785793 51.0826442, 19.8792064 51.0829507)",,,
215290153,,,,residential,,False,True,39.879000000000005,"LINESTRING (19.8748129 51.0827396, 19.874639 51.0827611, 19.8745565 51.0827726, 19.8744572 51.0827811, 19.8743574 51.0827873, 19.8742493 51.0827943)",,,
577303866,,,Cmentarna,residential,50,False,True,49.763000000000005,"LINESTRING (19.8748129 51.0827396, 19.874594 51.0829821, 19.8744655 51.0831303)",,,
