osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,access,bridge
404592938,True,,Długa,living_street,,False,80.133,"LINESTRING (16.0929914 51.6649562, 16.094098 51.6647366)",,,,
96132974,True,,Kotlarska,living_street,,False,89.61699999999999,"LINESTRING (16.0929914 51.6649562, 16.0927466 51.6645231, 16.0925709 51.6642123, 16.0925579 51.6641966)",,,,
"[1184608936, 1106448496, 96139038]",False,2,Koszarowa,"['residential', 'living_street']",,False,91.52600000000001,"LINESTRING (16.087763 51.6631581, 16.0879751 51.6632199, 16.0880104 51.6632302, 16.088092 51.663254, 16.0888906 51.6634871, 16.0889628 51.6635097)",,,,
1180237672,True,3,Konstytucji 3 Maja,primary,50,False,45.754999999999995,"LINESTRING (16.087763 51.6631581, 16.0877107 51.6632288, 16.0875595 51.6633534, 16.0873956 51.6634992)",12,roundabout,,
599175031,False,,Nadbrzeżna,residential,,True,9.502,"LINESTRING (16.0915191 51.6671144, 16.09146 51.6671427, 16.091423 51.667159, 16.0914087 51.6671655)",,,no,
772934025,False,2,Brama Brzostowska,primary,50,True,161.391,"LINESTRING (16.0915191 51.6671144, 16.0913459 51.6669325, 16.0911748 51.6667662, 16.0910269 51.6666259, 16.0906656 51.6663005, 16.0904776 51.6661366, 16.0902096 51.6659125)",12,,,
"[856100204, 982598982]",True,,Nadodrzańska,living_street,,False,218.855,"LINESTRING (16.0915191 51.6671144, 16.0915989 51.6670813, 16.0916458 51.6670618, 16.0919685 51.6669325, 16.0926822 51.6666698, 16.0931933 51.6664903, 16.0935788 51.6663549, 16.0938244 51.6662576, 16.0942327 51.6660953)",,,,
93542646,False,,Stanisława Staszica,residential,,False,231.204,"LINESTRING (16.0958672 51.660962, 16.0959532 51.6609531, 16.0970122 51.6608448, 16.0971908 51.6610972, 16.0973561 51.6613309, 16.0974089 51.6614126, 16.0975524 51.6616176, 16.0977014 51.6618301, 16.0978426 51.6620318, 16.0979002 51.6620866)",,,,
733977203,False,,Piotra Skargi,residential,,False,170.271,"LINESTRING (16.0958672 51.660962, 16.0961725 51.6613995, 16.0967674 51.6622523, 16.096806 51.6623052, 16.0968461 51.6623677)",,,,
1180237675,False,,Stanisława Staszica,residential,30,True,79.72,"LINESTRING (16.0958672 51.660962, 16.0952685 51.6610272, 16.0949284 51.6610651, 16.0947293 51.6610876)",,,,
