osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge
264524621,False,,,Spółdzielcza,residential,,True,207.45399999999995,"LINESTRING (16.1773459 54.1924958, 16.1771557 54.1924126, 16.1755514 54.1917204, 16.1751562 54.1915386, 16.1749584 54.1914528, 16.174902 54.1914263, 16.1747955 54.1913762)",,,
"[24047462, 1040950327]",False,,,"['Podgrodzie', 'Niepodległości']",residential,,False,63.015,"LINESTRING (16.1773459 54.1924958, 16.1775261 54.1925477, 16.1777448 54.1925771, 16.178048 54.1925837, 16.1781428 54.1925842, 16.1782878 54.1925879)",,,
24048078,False,,,Księżnej Anastazji,residential,,False,95.248,"LINESTRING (16.1809586 54.1908331, 16.1809545 54.1908611, 16.1808487 54.1915768, 16.1808325 54.1916865)",,,
169053377,False,,,Rynek Staromiejski,residential,,True,94.234,"LINESTRING (16.1809586 54.1908331, 16.1810814 54.1907942, 16.1821937 54.1908234, 16.1823646 54.1908788)",,,
24048091,False,,,Dąbrówki,residential,,True,54.812,"LINESTRING (16.1790931 54.1908164, 16.179297 54.1907946, 16.1795162 54.1907793, 16.1796862 54.1907883, 16.179833 54.1908092, 16.1799255 54.1908127)",,,
"[172138124, 511974847]",True,,,Zawiszy Czarnego,residential,,False,95.789,"LINESTRING (16.1790931 54.1908164, 16.1790916 54.1905823, 16.1790915 54.1905598, 16.1791142 54.1903714, 16.1791229 54.1901973, 16.1791322 54.1900103, 16.1791349 54.1899879, 16.1791388 54.1899557)",,,
"[24047428, 223719407]",False,,,"['Zawiszy Czarnego', 'Kazimierza Wielkiego']",residential,,True,130.728,"LINESTRING (16.1790931 54.1908164, 16.1791856 54.1914378, 16.1792209 54.1915263, 16.1792996 54.1915773, 16.1794197 54.191593, 16.1799672 54.1915938)",,,
252256630,False,,,Bogusława II,residential,,True,86.897,"LINESTRING (16.1799672 54.1915938, 16.1799255 54.1908127)",,,
"[24047428, 223719407]",False,,,"['Zawiszy Czarnego', 'Kazimierza Wielkiego']",residential,,False,130.728,"LINESTRING (16.1799672 54.1915938, 16.1794197 54.191593, 16.1792996 54.1915773, 16.1792209 54.1915263, 16.1791856 54.1914378, 16.1790931 54.1908164)",,,
24047428,False,,,Zawiszy Czarnego,residential,,True,57.23,"LINESTRING (16.1799672 54.1915938, 16.1803961 54.1916398, 16.1808325 54.1916865)",,,
252256630,False,,,Bogusława II,residential,,False,140.495,"LINESTRING (16.1799672 54.1915938, 16.1799918 54.1923858, 16.1795782 54.1925799, 16.1795256 54.1926629, 16.1794824 54.192731)",,,
252256630,False,,,Bogusława II,residential,,False,86.897,"LINESTRING (16.1799255 54.1908127, 16.1799672 54.1915938)",,,
24048091,False,,,Dąbrówki,residential,,False,54.812,"LINESTRING (16.1799255 54.1908127, 16.179833 54.1908092, 16.1796862 54.1907883, 16.1795162 54.1907793, 16.179297 54.1907946, 16.1790931 54.1908164)",,,
24048100,False,,,Bogusława II,residential,,True,74.159,"LINESTRING (16.1799255 54.1908127, 16.1799232 54.1905799, 16.1799195 54.1902078, 16.1799217 54.1901458)",,,
24048111,True,,,Dąbrówki,residential,,False,67.254,"LINESTRING (16.1799255 54.1908127, 16.1805166 54.1908273, 16.1809586 54.1908331)",,,
24048100,False,,,Bogusława II,residential,,False,74.15899999999999,"LINESTRING (16.1799217 54.1901458, 16.1799195 54.1902078, 16.1799232 54.1905799, 16.1799255 54.1908127)",,,
24047402,False,,,Księżnej Anastazji,residential,,True,81.77799999999999,"LINESTRING (16.1808325 54.1916865, 16.1808067 54.19191, 16.1808166 54.1924214)",,,
24047428,False,,,Zawiszy Czarnego,residential,,False,57.23,"LINESTRING (16.1808325 54.1916865, 16.1803961 54.1916398, 16.1799672 54.1915938)",,,
24047428,False,,,Zawiszy Czarnego,residential,,True,87.679,"LINESTRING (16.1808325 54.1916865, 16.1820756 54.1918072, 16.1821618 54.1918164)",,,
24048078,False,,,Księżnej Anastazji,residential,,True,95.248,"LINESTRING (16.1808325 54.1916865, 16.1808487 54.1915768, 16.1809545 54.1908611, 16.1809586 54.1908331)",,,
24047402,False,,,Księżnej Anastazji,residential,,False,81.77799999999999,"LINESTRING (16.1808166 54.1924214, 16.1808067 54.19191, 16.1808325 54.1916865)",,,
24047939,True,,,Podgórna,residential,50,False,25.538,"LINESTRING (16.183988 54.1953286, 16.1842152 54.1952555, 16.1843468 54.1952431)",,,
