osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,bridge,maxspeed,junction,tunnel,width
"[24854481, 1203533468]",False,3,secondary,"[False, True]",86.482,"LINESTRING (9.1075275 45.4325759, 9.1078714 45.4328013, 9.1080053 45.4329014, 9.1080984 45.4329775, 9.1082564 45.4331155, 9.1082864 45.4331408)",SP59,Via Vittorio Emanuele Secondo,,50,,,
29979782,False,,secondary,False,239.421,"LINESTRING (9.1057555 45.4302953, 9.1055967 45.4302013, 9.1054441 45.4301245, 9.1053244 45.4300704, 9.1052006 45.4300241, 9.1048687 45.4299216, 9.1047461 45.4298811, 9.1043172 45.4297389, 9.1037594 45.4295599, 9.1030028 45.4293688)",SP59,Via Vittorio Emanuele Secondo,,50,,,
29979782,False,,secondary,True,116.57700000000001,"LINESTRING (9.1057555 45.4302953, 9.1059106 45.4304381, 9.105977 45.4305231, 9.1060154 45.4305722, 9.1061963 45.4308469, 9.1063225 45.4310386, 9.1064326 45.431204, 9.1064442 45.4312218)",SP59,Via Vittorio Emanuele Secondo,,50,,,
32870554,True,,unclassified,False,9.06,"LINESTRING (9.1029873 45.4287513, 9.1029031 45.4286952)",,Via Fratelli Di Dio,,,,,
217870553,True,,tertiary,False,40.546,"LINESTRING (9.1029873 45.4287513, 9.1029451 45.4288357, 9.1028154 45.4290954)",,Viale della Resistenza,,,,,
243644956,True,,residential,False,86.135,"LINESTRING (9.1029873 45.4287513, 9.1030731 45.4287721, 9.1040305 45.4290044)",,Via Ventiquattro Maggio,,,,,
214405150,False,,residential,False,77.333,"LINESTRING (9.1098499 45.4313041, 9.1094702 45.4319465)",,Via Camillo Benso Conte di Cavour,,,,,
214405150,False,,residential,True,66.704,"LINESTRING (9.1098499 45.4313041, 9.1101331 45.4307381)",,Via Camillo Benso Conte di Cavour,,,,,
178169802,True,,residential,False,77.70400000000001,"LINESTRING (9.1098499 45.4313041, 9.1101212 45.4314109, 9.1103385 45.4314842, 9.1107671 45.4315645)",,,,,,,
178169797,True,,residential,False,78.491,"LINESTRING (9.1117344 45.4318565, 9.1117702 45.4318073, 9.1121782 45.4312697, 9.1122075 45.4312336)",,Via Dante Alighieri,,,,,
214405150,False,,residential,True,77.333,"LINESTRING (9.1094702 45.4319465, 9.1098499 45.4313041)",,Via Camillo Benso Conte di Cavour,,,,,
"[214405150, 24834255]",False,,residential,False,138.57799999999997,"LINESTRING (9.1094702 45.4319465, 9.1092849 45.4322749, 9.109261 45.4323329, 9.1092563 45.4323595, 9.1092787 45.4323711, 9.109327 45.4323859, 9.1093652 45.432397, 9.1096021 45.4324575, 9.1097034 45.4324826, 9.1098628 45.4325148, 9.1103514 45.4325928)",,"['Via Camillo Benso Conte di Cavour', 'Via Alessandro Manzoni']",,,,,
214416971,True,,residential,False,106.20599999999999,"LINESTRING (9.1070403 45.430567, 9.1059469 45.4302785, 9.1057555 45.4302953)",,Via Venti Settembre,,,,,
243644957,True,,residential,False,37.533,"LINESTRING (9.1123573 45.4330404, 9.1120899 45.4330274, 9.1119889 45.4330112, 9.1119416 45.4329942, 9.1118928 45.4329746)",,Via Alessandro Manzoni,,,,,
244673347,False,,residential,False,34.114000000000004,"LINESTRING (9.1123573 45.4330404, 9.1125363 45.4330472, 9.1127913 45.4330744)",,Via Alessandro Manzoni,,,,,
164499689,True,,residential,False,53.886,"LINESTRING (9.115107 45.4324355, 9.1149603 45.432384, 9.1146469 45.4322488, 9.1145129 45.4321892)",,Via Vincenzo Monti,,,,,
1135214407,True,,residential,False,15.218,"LINESTRING (9.115107 45.4324355, 9.1151356 45.4324169, 9.11517 45.432404, 9.1152079 45.4323977, 9.1152469 45.4323983, 9.1152844 45.432406)",,Piazza della Libertà,,,roundabout,,
1135214407,True,,residential,False,19.580999999999996,"LINESTRING (9.1151376 45.4325911, 9.1151068 45.4325712, 9.1150848 45.4325462, 9.1150734 45.432518, 9.1150735 45.4324887, 9.115085 45.4324604, 9.115107 45.4324355)",,Piazza della Libertà,,,roundabout,,
"[1063802627, 32870558]",True,,residential,False,136.875,"LINESTRING (9.1080977 45.4286222, 9.1067585 45.4282786, 9.1066603 45.4282534, 9.1064381 45.4282363)",,Via Luigi Salma,,,,,
32870558,True,,residential,False,108.13799999999999,"LINESTRING (9.1094092 45.4289362, 9.1093453 45.4289219, 9.1080977 45.4286222)",,Via Luigi Salma,,,,,
162204458,True,,unclassified,False,94.313,"LINESTRING (9.1094092 45.4289362, 9.1093836 45.4289866, 9.1090299 45.4296948, 9.1090085 45.4297364)",,Via Giuseppe Garibaldi,,,,,
30964545,True,,residential,False,79.037,"LINESTRING (9.1060591 45.4311994, 9.106489 45.431843)",,Via Alzaia Trieste,,50,,,
24973126,True,,residential,False,80.194,"LINESTRING (9.1060591 45.4311994, 9.1060016 45.4312192, 9.1051858 45.4315005, 9.1051367 45.4315174)",,Via Filippo Corridoni,,,,,
30964545,True,,residential,False,92.715,"LINESTRING (9.106489 45.431843, 9.106807 45.4322748, 9.1070781 45.4325659)",,Via Alzaia Trieste,,50,,,
30964545,True,,residential,False,71.911,"LINESTRING (9.1070781 45.4325659, 9.1075967 45.4331005)",,Via Alzaia Trieste,,50,,,
"[30964545, 200295459, 200295460, 86826387, 86826388]",True,,residential,False,202.05599999999998,"LINESTRING (9.1075967 45.4331005, 9.1081918 45.4337537, 9.108408 45.4339785, 9.1085742 45.4341639, 9.1088475 45.4344276, 9.1089223 45.4344937, 9.1089875 45.4345545, 9.1089977 45.434561, 9.1090493 45.4346029)",,Via Alzaia Trieste,,50,,,
24854591,False,,residential,False,97.09,"LINESTRING (9.1037224 45.4319469, 9.103771 45.431888, 9.1043021 45.4312459, 9.1043464 45.4311915)",,Via Guglielmo Oberdan,,,,,
24854591,False,,residential,True,92.29299999999999,"LINESTRING (9.1037224 45.4319469, 9.1036875 45.4319891, 9.1032464 45.4325227, 9.1031325 45.4326663)",,Via Guglielmo Oberdan,,,,,
44459793,True,,residential,False,72.601,"LINESTRING (9.1037224 45.4319469, 9.1037695 45.4319662, 9.1044935 45.4322622, 9.1045263 45.4322756)",,Via Fabio Filzi,,,,,
24973127,True,,residential,False,54.32,"LINESTRING (9.1052779 45.4325817, 9.1056224 45.4321572)",,Via Cesare Battisti,,,,,
24973128,True,,residential,False,80.781,"LINESTRING (9.1056224 45.4321572, 9.105223 45.4315988, 9.105189 45.431561, 9.1051367 45.4315174)",,Via Nazario Sauro,,,,,
24973130,True,,residential,False,76.136,"LINESTRING (9.1056224 45.4321572, 9.1064373 45.4318662, 9.106489 45.431843)",,,,,,,
24973128,True,,residential,False,103.176,"LINESTRING (9.1063711 45.432922, 9.1056224 45.4321572)",,Via Nazario Sauro,,,,,
32869838,True,,residential,False,68.02799999999999,"LINESTRING (9.1063711 45.432922, 9.1067104 45.4327292, 9.1070428 45.4325796, 9.1070781 45.4325659)",,Via Francesco Merli,,,,,
32869838,True,,residential,False,57.358,"LINESTRING (9.1060906 45.4333988, 9.1063711 45.432922)",,Via Francesco Merli,,,,,
32863983,True,,residential,False,48.659000000000006,"LINESTRING (9.1060906 45.4333988, 9.1066207 45.4335485, 9.1066691 45.4335622)",,Via Guglielmo Marconi,,,,,
24854594,True,,residential,False,88.739,"LINESTRING (9.1066691 45.4335622, 9.106914 45.4334409, 9.1075472 45.4331251, 9.1075967 45.4331005)",,Via Generale Antonio Cantore,,,,,
32870044,True,,residential,False,74.504,"LINESTRING (9.1031325 45.4326663, 9.1040476 45.4328575)",,Via Guglielmo Marconi,,,,,
