osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
6586803,Sternmeerhof,residential,30,False,False,143.949,"LINESTRING (5.0528547 52.5093264, 5.0529931 52.5091022, 5.0531248 52.5089162, 5.0531284 52.5088499, 5.0530861 52.5088357, 5.0528574 52.508768, 5.0527075 52.5087544, 5.0526377 52.5088047, 5.05238 52.50922)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,75.232,"LINESTRING (5.0528547 52.5093264, 5.0532429 52.5094306, 5.0536535 52.5095408, 5.0538847 52.5095767)",,
6586807,Beemsterstraat,residential,30,False,True,95.24700000000001,"LINESTRING (5.0568342 52.5094199, 5.0572216 52.5095104, 5.0572857 52.5095025, 5.0573251 52.5094977, 5.0574198 52.509413, 5.0575191 52.5092691, 5.057698 52.5090098)",,
6586823,Beemsterstraat,residential,30,False,True,90.068,"LINESTRING (5.0568342 52.5094199, 5.056449 52.5093265, 5.0562288 52.5092731, 5.05601 52.50922, 5.0559968 52.5091849, 5.05598 52.50914, 5.0560959 52.5089658)",,
6586945,Purmerstraat,residential,30,False,False,100.929,"LINESTRING (5.0568342 52.5094199, 5.0566073 52.5097631, 5.0565318 52.5098675, 5.0562564 52.5102566)",,
6586864,Windmolen,unclassified,30,False,False,57.968,"LINESTRING (5.0606036 52.5094112, 5.0609785 52.5095184, 5.0610177 52.5095296, 5.0613789 52.5096328)",,
6586757,William Pontstraat,residential,30,False,True,64.20700000000001,"LINESTRING (5.05105 52.50946, 5.0512609 52.5090748, 5.0513657 52.5089959, 5.0514767 52.5089778)",,
6586845,Roelof Bootstraat,residential,30,False,False,412.849,"LINESTRING (5.05105 52.50946, 5.0514717 52.5095752, 5.051652 52.5096245, 5.0533062 52.5100655, 5.054749 52.5104585, 5.0555706 52.5106846, 5.055615 52.5106968, 5.056061 52.5107708, 5.0563276 52.5108101, 5.0566842 52.5108626)",,
"[6586850, 437318102]",William Pontstraat,residential,30,False,False,22.238,"LINESTRING (5.05105 52.50946, 5.0509561 52.5095951, 5.050922 52.5096442)",yes,
6586767,Schermerstraat,residential,30,False,False,63.873000000000005,"LINESTRING (5.0538847 52.5095767, 5.0540558 52.5092797, 5.0540715 52.5092568, 5.05422 52.50904)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,70.436,"LINESTRING (5.0538847 52.5095767, 5.0544337 52.5097241, 5.0548233 52.5098495)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,75.232,"LINESTRING (5.0538847 52.5095767, 5.0536535 52.5095408, 5.0532429 52.5094306, 5.0528547 52.5093264)",,
6587186,William Pontstraat,residential,30,False,False,90.349,"LINESTRING (5.050922 52.5096442, 5.0503529 52.5103792)",,
6586940,Roelof Bootstraat,residential,30,False,False,161.394,"LINESTRING (5.050922 52.5096442, 5.05158 52.5098359, 5.053067 52.5102785)",,
"[6586850, 437318102]",William Pontstraat,residential,30,False,True,22.238,"LINESTRING (5.050922 52.5096442, 5.0509561 52.5095951, 5.05105 52.50946)",yes,
6586662,Weidemolen,residential,30,False,True,38.396,"LINESTRING (5.0613789 52.5096328, 5.06153 52.5094598, 5.0616503 52.5093296)",,
