osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref
33834709,5400 South,residential,False,True,99.68400000000001,"LINESTRING (-112.0060746 40.6530611, -112.007176 40.6530689, -112.0072562 40.6530695)",,,
10151251,5615 South,residential,False,False,78.65299999999999,"LINESTRING (-111.9991922 40.6491605, -112.000039 40.6491605, -112.0001245 40.6491605)",2,25 mph,
10140489,Heath Avenue,residential,False,True,106.398,"LINESTRING (-112.0077846 40.6541437, -112.008564 40.654896)",,,
10140489,Heath Avenue,residential,False,False,130.511,"LINESTRING (-112.0077846 40.6541437, -112.0076637 40.6540205, -112.0075581 40.6539018, -112.0074497 40.6537643, -112.0073459 40.6535811, -112.0073103 40.6534606, -112.0072809 40.6533406, -112.0072562 40.6530695)",,,
10140035,Sarbo Street,residential,False,False,91.124,"LINESTRING (-112.004745 40.6549914, -112.0055948 40.6544855)",,,
"[10141512, 10140035]",Sarbo Street,residential,False,True,95.45100000000001,"LINESTRING (-112.004745 40.6549914, -112.0041363 40.6553893, -112.0040531 40.65563)",,,
10148899,4780 West,residential,False,True,162.792,"LINESTRING (-112.004745 40.6549914, -112.0049031 40.6552013, -112.0049886 40.6554086, -112.0050023 40.6564136)",,,
10140035,Sarbo Street,residential,False,True,91.124,"LINESTRING (-112.0055948 40.6544855, -112.004745 40.6549914)",,,
10143766,South Northwest Avenue,tertiary,False,False,76.296,"LINESTRING (-112.0055948 40.6544855, -112.0050516 40.6539369)",,,
"[684280451, 10143766]","['South Northwest Avenue', '4820 West']",tertiary,False,True,222.34199999999998,"LINESTRING (-112.0055948 40.6544855, -112.0058405 40.6547192, -112.0059205 40.6549868, -112.0059274 40.6551336, -112.0059245 40.6553905, -112.0059271 40.6556559, -112.0059328 40.6562762, -112.0059341 40.6564129)",2,,
10140489,Heath Avenue,residential,False,False,81.225,"LINESTRING (-112.0091874 40.6554527, -112.008564 40.654896)",,,
10140489,Heath Avenue,residential,False,True,30.184,"LINESTRING (-112.0091874 40.6554527, -112.0093918 40.6556755)",,,
