osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
17426827,State Street,unclassified,False,False,200.622,"LINESTRING (-87.5251283 41.6217877, -87.5248714 41.6216871, -87.5245407 41.6215577, -87.5235456 41.6211747, -87.5231323 41.6210156, -87.5230213 41.6209232)",,,
360448897,State Line Avenue,tertiary,False,True,131.601,"LINESTRING (-87.5251283 41.6217877, -87.525129 41.6216688, -87.5251301 41.621491, -87.5251305 41.6214646, -87.5251312 41.6213672, -87.5251316 41.6213084, -87.5251331 41.6210816, -87.5251351 41.6207817, -87.5251363 41.6206042)",,,
582837830,Forsythe Avenue,residential,True,False,195.982,"LINESTRING (-87.5275354 41.6209234, -87.5275301 41.6191609)",,,
237899577,Sibley Boulevard,secondary,False,True,100.49799999999999,"LINESTRING (-87.5275354 41.6209234, -87.5269398 41.6209218, -87.5263264 41.6209205)",,,
582837830,Forsythe Avenue,residential,True,False,202.754,"LINESTRING (-87.5275301 41.6191609, -87.5275246 41.6173375)",,,
367367203,Memorial Drive,residential,False,False,100.9,"LINESTRING (-87.5275301 41.6191609, -87.5269271 41.6191628, -87.5263163 41.6191647)",,,
582837830,Forsythe Avenue,residential,True,False,200.897,"LINESTRING (-87.5275246 41.6173375, -87.5275192 41.6155308)",,,
24096980,153rd Street,residential,False,True,99.19,"LINESTRING (-87.5275246 41.6173375, -87.5269139 41.617339, -87.5263314 41.6173405)",,,
24088267,Forsythe Avenue,residential,False,True,44.879,"LINESTRING (-87.5275281 41.6146817, -87.5275298 41.6150853)",,,
237899335,154th Place,residential,False,True,147.82,"LINESTRING (-87.5275281 41.6146817, -87.52575 41.6146752)",,,
24088267,Forsythe Avenue,residential,False,False,93.894,"LINESTRING (-87.5275281 41.6146817, -87.5275263 41.6142663, -87.5275245 41.6138373)",,,
360448897,State Line Avenue,tertiary,False,False,131.601,"LINESTRING (-87.5251363 41.6206042, -87.5251351 41.6207817, -87.5251331 41.6210816, -87.5251316 41.6213084, -87.5251312 41.6213672, -87.5251305 41.6214646, -87.5251301 41.621491, -87.525129 41.6216688, -87.5251283 41.6217877)",,,
367367201,State Line Avenue,tertiary,False,True,164.057,"LINESTRING (-87.5251363 41.6206042, -87.5251358 41.6202116, -87.5251354 41.6198407, -87.525135 41.6194978, -87.5251348 41.6191288)",,,
"[237899577, 435365107]",Sibley Boulevard,secondary,False,False,107.225,"LINESTRING (-87.5251363 41.6206042, -87.5254144 41.620736, -87.5256 41.62081, -87.5256357 41.6208242, -87.5257055 41.6208458, -87.5257913 41.6208724, -87.5259442 41.6209004, -87.5260582 41.6209145, -87.5261762 41.6209205, -87.5263264 41.6209205)",3,,
"[435365114, 435365109, 360448910]",Sibley Street,secondary,False,True,145.39,"LINESTRING (-87.5251363 41.6206042, -87.5246445 41.6204133, -87.5245489 41.6203762, -87.5243883 41.6203138, -87.5238563 41.6201073, -87.5235823 41.6200042)",3,,
17429893,Industrial Road,residential,False,True,84.331,"LINESTRING (-87.5207161 41.6213727, -87.5216023 41.6217419)",,,
17415746,Fayette Street,tertiary,False,True,39.256,"LINESTRING (-87.517112 41.6168157, -87.5175368 41.6169699)",,,
161493175,,residential,False,False,56.414,"LINESTRING (-87.5176811 41.6133046, -87.5178022 41.6138038)",,,
17426399,Enright Drive,residential,False,False,40.272999999999996,"LINESTRING (-87.5176811 41.6133046, -87.5174828 41.6133088, -87.5174185 41.6132998, -87.5172718 41.6132535, -87.5172112 41.6132461)",,,
161493175,,residential,False,True,56.414,"LINESTRING (-87.5178022 41.6138038, -87.5176811 41.6133046)",,,
161493152,Hyles Avenue,residential,False,True,89.96300000000001,"LINESTRING (-87.51654 41.6138772, -87.516695 41.6136983, -87.5167678 41.613626, -87.5168231 41.6135712, -87.5169665 41.6134529, -87.5171244 41.6133368, -87.5172112 41.6132461)",,,
161493176,,residential,True,False,43.725,"LINESTRING (-87.51654 41.6138772, -87.5164682 41.6138511, -87.516389 41.6138442, -87.5163111 41.6138571, -87.5162495 41.6138845, -87.5162015 41.6139243, -87.5161715 41.6139729, -87.5161621 41.614026)",,,roundabout
161493176,,residential,True,False,31.558000000000003,"LINESTRING (-87.5161621 41.614026, -87.5161755 41.6140819, -87.5162117 41.6141318, -87.516267 41.6141707, -87.5163358 41.6141946, -87.5164112 41.6142013)",,,roundabout
