osmid,highway,oneway,reversed,length,name,geometry,lanes,junction,bridge,maxspeed
234995341,residential,False,False,220.777,Београдска,"LINESTRING (21.0990315 44.1870755, 21.0996985 44.1868981, 21.099903 44.1868527, 21.0999807 44.1868357, 21.1000762 44.186826, 21.1003381 44.186826, 21.1004335 44.1868206, 21.1005408 44.186806, 21.1012779 44.1866349, 21.1013556 44.1866088, 21.1014232 44.1865779, 21.1014882 44.1865361, 21.1015432 44.1864895, 21.1015709 44.1864313)",,,,
234995349,residential,False,True,84.68299999999999,Максима Горког,"LINESTRING (21.0990315 44.1870755, 21.0989205 44.1868691, 21.0988799 44.1867506, 21.0988132 44.1865063, 21.0988131 44.1863369)",,,,
234995309,residential,False,False,167.15,Николе Тесле,"LINESTRING (21.101369 44.1879308, 21.1003147 44.187903, 21.0998576 44.1879027, 21.0992751 44.1879351)",2,,,50
835792941,residential,False,False,205.147,Солунска,"LINESTRING (21.101369 44.1879308, 21.1009155 44.1884511, 21.1005482 44.1888414, 21.0999231 44.1894558)",,,,
"[234984616, 835792941]",residential,False,True,192.427,"['Кнеза Милоша', 'Солунска']","LINESTRING (21.101369 44.1879308, 21.1017341 44.1875248, 21.101955 44.1873028, 21.1022025 44.1871376, 21.1022524 44.1870903, 21.1022773 44.1870444, 21.1023101 44.1869932, 21.1023236 44.1869255, 21.1023226 44.1868776, 21.1023095 44.1868274, 21.1022852 44.1867691, 21.1022481 44.1866801, 21.1022186 44.1865969, 21.1022124 44.1865169, 21.1022346 44.1864382)",,,,
234995349,residential,False,True,97.537,Максима Горког,"LINESTRING (21.0992751 44.1879351, 21.0990315 44.1870755)",,,,
1096367285,residential,False,False,119.307,Параћинска,"LINESTRING (21.0992751 44.1879351, 21.0989836 44.1889875)",,,,
234995309,residential,False,True,167.15,Николе Тесле,"LINESTRING (21.0992751 44.1879351, 21.0998576 44.1879027, 21.1003147 44.187903, 21.101369 44.1879308)",2,,,50
234995320,residential,False,False,19.118,Војводе Живојина Мишића,"LINESTRING (21.0989836 44.1889875, 21.0987555 44.1890405)",,,,
1096367285,residential,False,True,119.307,Параћинска,"LINESTRING (21.0989836 44.1889875, 21.0992751 44.1879351)",,,,
234995328,residential,False,True,95.321,Војводе Бојовића,"LINESTRING (21.0989836 44.1889875, 21.0991662 44.1890427, 21.0994515 44.1891343, 21.0996889 44.1892175, 21.0997932 44.189271, 21.0998549 44.1893251, 21.0998954 44.1893938, 21.0999231 44.1894558)",,,,
234995320,residential,False,True,19.118,Војводе Живојина Мишића,"LINESTRING (21.0987555 44.1890405, 21.0989836 44.1889875)",,,,
234995346,residential,False,False,51.527,Војводе Бојовића,"LINESTRING (21.1013483 44.1894445, 21.1013363 44.1895195, 21.1011712 44.1898889)",,,,
234995328,residential,False,False,95.32100000000001,Војводе Бојовића,"LINESTRING (21.0999231 44.1894558, 21.0998954 44.1893938, 21.0998549 44.1893251, 21.0997932 44.189271, 21.0996889 44.1892175, 21.0994515 44.1891343, 21.0991662 44.1890427, 21.0989836 44.1889875)",,,,
