osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction
35785348,False,,Радомира Јовановића Чочета,residential,,False,143.327,"LINESTRING (22.1027056 44.0765086, 22.1025558 44.0765818, 22.1024835 44.0766598, 22.1024177 44.0767619, 22.1023474 44.0768676, 22.1023223 44.0768993, 22.1022834 44.0769138, 22.1021669 44.0768968, 22.1018127 44.0768396, 22.1014597 44.0767816, 22.1012983 44.0767634, 22.1012648 44.0767687, 22.1012385 44.0767717)",
684402466,False,,,unclassified,,True,255.61099999999993,"LINESTRING (22.1039102 44.0757706, 22.1036528 44.0756023, 22.1034155 44.075455, 22.1029683 44.0751864, 22.1024282 44.0749564, 22.1019984 44.0749043, 22.101704 44.0749056, 22.101206 44.0749631, 22.1011632 44.074968, 22.1011148 44.0749613)",
36863661,False,,Албанске споменице,residential,,True,249.392,"LINESTRING (22.0955664 44.0769225, 22.0955966 44.0767292, 22.0956092 44.0766267, 22.0956489 44.0765344, 22.0956924 44.0764697, 22.0957354 44.0764282, 22.0958582 44.0763569, 22.0959143 44.0762467, 22.0963606 44.0749998, 22.0964308 44.074866, 22.0965125 44.0748405)",
36863660,False,,Димитрија Туцовића,residential,,True,541.188,"LINESTRING (22.0935315 44.0773206, 22.093625 44.0774182, 22.0938174 44.0775177, 22.0940936 44.0776011, 22.0942389 44.0776214, 22.0942652 44.077626, 22.0944733 44.0776257, 22.0945715 44.0776045, 22.0946384 44.07758, 22.0947876 44.077478, 22.0948859 44.077383, 22.0949611 44.0772827, 22.0950303 44.0770977, 22.0951219 44.0768445, 22.0951688 44.0767085, 22.0952057 44.0765502, 22.0952453 44.0763694, 22.0952626 44.0761856, 22.0952738 44.0760194, 22.0952989 44.0757006, 22.0953013 44.0755115, 22.0952931 44.0751188, 22.0952928 44.0747438, 22.0952969 44.0746041, 22.0953079 44.0744748, 22.0953278 44.0742437, 22.0953581 44.0739259, 22.0953798 44.0737296)",
36915468,False,,Тимочке буне,residential,,True,372.79300000000006,"LINESTRING (22.0935315 44.0773206, 22.0936094 44.0772734, 22.0937161 44.0772419, 22.093822 44.0772128, 22.0939128 44.0771963, 22.0939618 44.0771854, 22.0940034 44.0771712, 22.0940415 44.0771522, 22.0940754 44.0771273, 22.0941181 44.0770888, 22.0941525 44.0770531, 22.0942248 44.0769405, 22.0942946 44.0768256, 22.094342 44.0767178, 22.0943785 44.0765989, 22.0944039 44.0765363, 22.0944313 44.0764855, 22.0945159 44.0763449, 22.0945198 44.0763128, 22.0944989 44.0762792, 22.0944338 44.076237, 22.0943571 44.0761918, 22.0943443 44.0761598, 22.0943478 44.0761325, 22.0943663 44.0760825, 22.0943752 44.076037, 22.0943968 44.0758453, 22.0943995 44.0757975, 22.0944216 44.0753821, 22.0944305 44.0748161, 22.0944368 44.0743397)",
36862733,False,,Васе Пелагића,residential,,True,60.852000000000004,"LINESTRING (22.0938157 44.0754935, 22.0938119 44.0750373, 22.0938077 44.0749463)",
36915484,False,,Тимочка,residential,,False,59.985,"LINESTRING (22.0938157 44.0754935, 22.093758 44.0754794, 22.0936711 44.0754534, 22.0935736 44.0754156, 22.0935163 44.0753869, 22.0933298 44.0752921, 22.0931715 44.075221)",
36915484,False,,Тимочка,residential,,True,59.985,"LINESTRING (22.0931715 44.075221, 22.0933298 44.0752921, 22.0935163 44.0753869, 22.0935736 44.0754156, 22.0936711 44.0754534, 22.093758 44.0754794, 22.0938157 44.0754935)",
"[448149632, 449752605]",False,,Милана Васића Перице,residential,50,True,366.43300000000005,"LINESTRING (22.0988691 44.0793497, 22.0989587 44.0793125, 22.0991424 44.0792434, 22.1000951 44.0790957, 22.1002769 44.0790707, 22.1010111 44.0789776, 22.1013104 44.0788809, 22.1020106 44.078616, 22.1027563 44.0782954, 22.1030802 44.0781492)",
1139246257,True,,,unclassified,,False,24.862000000000002,"LINESTRING (22.0988691 44.0793497, 22.0988812 44.0793804, 22.0988801 44.0794124, 22.0988657 44.0794426, 22.0988395 44.0794684, 22.0988038 44.0794874, 22.0987618 44.079498, 22.0987174 44.0794991)",roundabout
140681443,False,,Ђорђа Вајферта,unclassified,50,False,149.415,"LINESTRING (22.0987095 44.079289, 22.0987717 44.0791215, 22.098835 44.0788656, 22.0988601 44.0787708, 22.0989238 44.0785248, 22.0989936 44.0783076, 22.0990831 44.0779729)",
140681447,True,,,unclassified,,False,15.475,"LINESTRING (22.0987095 44.079289, 22.0987482 44.0792879, 22.098786 44.0792941, 22.0988202 44.0793071, 22.0988486 44.0793261, 22.0988691 44.0793497)",roundabout
140681448,True,,,tertiary,30,False,36.966,"LINESTRING (22.0993297 44.0778097, 22.09935 44.0778486, 22.0993512 44.0778902, 22.0993331 44.0779296, 22.0992977 44.0779625, 22.0992492 44.0779851, 22.099193 44.0779949, 22.0991354 44.0779906, 22.0990831 44.0779729)",roundabout
144404363,False,2,Николе Пашића,tertiary,,True,171.04,"LINESTRING (22.0993297 44.0778097, 22.0998279 44.0774925, 22.1003177 44.0772154, 22.10064 44.0770276, 22.1009948 44.0768443)",
34562850,False,,Ђорђа Вајферта,residential,,True,72.693,"LINESTRING (22.0987174 44.0794991, 22.0987523 44.0796397, 22.098742 44.0798126, 22.0986888 44.0801483)",
1139246257,True,,,unclassified,,False,9.926,"LINESTRING (22.0987174 44.0794991, 22.0986773 44.0794915, 22.0986418 44.0794762, 22.0986135 44.0794545)",roundabout
140681445,False,,Шистекова,unclassified,,False,79.934,"LINESTRING (22.0986135 44.0794545, 22.0984237 44.0795185, 22.0976339 44.07955)",
140681447,True,,,unclassified,,False,23.62,"LINESTRING (22.0986135 44.0794545, 22.0985924 44.0794225, 22.0985871 44.0793873, 22.0985982 44.0793528, 22.0986245 44.0793229, 22.098663 44.0793008, 22.0987095 44.079289)",roundabout
140681443,False,,Ђорђа Вајферта,unclassified,50,True,149.41500000000002,"LINESTRING (22.0990831 44.0779729, 22.0989936 44.0783076, 22.0989238 44.0785248, 22.0988601 44.0787708, 22.098835 44.0788656, 22.0987717 44.0791215, 22.0987095 44.079289)",
140681448,True,,,tertiary,30,False,27.365000000000002,"LINESTRING (22.0990831 44.0779729, 22.0990424 44.0779442, 22.099017 44.0779074, 22.0990098 44.0778667, 22.0990217 44.0778266, 22.0990511 44.0777915, 22.099095 44.0777652)",roundabout
449752607,False,4,Моше Пијаде,tertiary,,True,31.318,"LINESTRING (22.099095 44.0777652, 22.098835 44.0775544)",
