osmid,name,highway,oneway,reversed,length,geometry,ref,junction
390499114,Rua da Cavada,residential,False,False,194.75999999999996,"LINESTRING (-8.4434399 40.6301314, -8.4433081 40.6302369, -8.4431702 40.6302968, -8.442979 40.6303716, -8.4427093 40.6305489, -8.4425298 40.6306748, -8.4421663 40.6309128, -8.441999 40.6310346, -8.4419525 40.6310882, -8.4419402 40.6311886, -8.4419684 40.6312937, -8.4419953 40.6313431)",,
154250300,Rua do Passal,tertiary,False,False,12.296,"LINESTRING (-8.4478451 40.6300864, -8.4478347 40.6301967)",,
154250300,Rua do Passal,tertiary,False,True,147.748,"LINESTRING (-8.4478451 40.6300864, -8.4478691 40.6298303, -8.4478661 40.6297312, -8.4478394 40.6296323, -8.4477861 40.6295131, -8.4477106 40.6293568, -8.4474189 40.6288212)",,
994108666,,residential,False,False,102.34700000000001,"LINESTRING (-8.4478451 40.6300864, -8.4483261 40.6301344, -8.4484802 40.6301362, -8.4486367 40.6301256, -8.4488188 40.6300919, -8.4490289 40.6300228)",,
994108666,,residential,False,True,102.34700000000001,"LINESTRING (-8.4490289 40.6300228, -8.4488188 40.6300919, -8.4486367 40.6301256, -8.4484802 40.6301362, -8.4483261 40.6301344, -8.4478451 40.6300864)",,
154250300,Rua do Passal,tertiary,False,True,5.295,"LINESTRING (-8.4474189 40.6288212, -8.4473949 40.6287772)",,
994108667,Rua da Codiceira de Baixo,residential,False,False,33.861,"LINESTRING (-8.4474189 40.6288212, -8.4477818 40.6286913)",,
154250300,Rua do Passal,tertiary,False,False,147.748,"LINESTRING (-8.4474189 40.6288212, -8.4477106 40.6293568, -8.4477861 40.6295131, -8.4478394 40.6296323, -8.4478661 40.6297312, -8.4478691 40.6298303, -8.4478451 40.6300864)",,
994108667,Rua da Codiceira de Baixo,residential,False,True,33.861,"LINESTRING (-8.4477818 40.6286913, -8.4474189 40.6288212)",,
994108668,,residential,False,False,37.102,"LINESTRING (-8.4477818 40.6286913, -8.4479583 40.6289969)",,
994108667,Rua da Codiceira de Baixo,residential,False,False,53.161,"LINESTRING (-8.4477818 40.6286913, -8.4478203 40.6286776, -8.4478495 40.6286639, -8.4478671 40.6286439, -8.4478713 40.6286143, -8.4478269 40.6282499)",,
994108668,,residential,False,True,37.102,"LINESTRING (-8.4479583 40.6289969, -8.4477818 40.6286913)",,
994108667,Rua da Codiceira de Baixo,residential,False,True,53.161,"LINESTRING (-8.4478269 40.6282499, -8.4478713 40.6286143, -8.4478671 40.6286439, -8.4478495 40.6286639, -8.4478203 40.6286776, -8.4477818 40.6286913)",,
"[994108669, 1182108054]","['Rua da Codiceira', 'Travessa da Codiceira']",residential,False,True,132.82,"LINESTRING (-8.4462979 40.6287393, -8.4463954 40.6288245, -8.4465518 40.6290815, -8.4466163 40.6291206, -8.4467506 40.6291541, -8.4468242 40.6291513, -8.4468543 40.6291372, -8.4473949 40.6287772)",,
