osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
87346176,,residential,4.5,False,False,145.379,"LINESTRING (-25.520107 37.8221444, -25.5195645 37.8219514, -25.519126 37.8217901, -25.5190733 37.8217594, -25.5189339 37.8216408, -25.5188772 37.8215926, -25.518719 37.8214687)",,,,,
"[87555841, 87555836, 543339524]",,primary,,False,False,30.293,"LINESTRING (-25.520107 37.8221444, -25.5200147 37.8221812, -25.5198486 37.8222399, -25.5197936 37.8222579)",,ER 1-1ª,50,yes,
87354367,,residential,,False,False,112.158,"LINESTRING (-25.515597 37.8182938, -25.5143202 37.8183023)",,,,,
87354358,Rua do Rato,residential,,False,True,86.063,"LINESTRING (-25.515597 37.8182938, -25.5156613 37.818387, -25.5158204 37.8190429)",,,,,
584535470,Rua Das Freiras,residential,,True,False,142.127,"LINESTRING (-25.5170485 37.8209081, -25.5169381 37.8196329)",,,,,
584535471,Rua Das Freiras,residential,,False,False,14.124,"LINESTRING (-25.5170485 37.8209081, -25.5170615 37.8210347)",,,,,
87354358,Rua do Rato,residential,,False,False,272.7,"LINESTRING (-25.5170485 37.8209081, -25.516549 37.8209388, -25.5164793 37.8209412, -25.5164261 37.8209261, -25.5163963 37.8208916, -25.5163835 37.8208244, -25.516326 37.8205402, -25.5162877 37.820388, -25.5162292 37.8202543, -25.5161248 37.8200668, -25.5159918 37.8198246, -25.5159503 37.8197002, -25.5158204 37.8190429)",,,,,
87354368,Rua Nova,residential,,True,False,30.484,"LINESTRING (-25.5169381 37.8196329, -25.5172843 37.819652)",,,,,
87354367,,residential,,False,True,112.158,"LINESTRING (-25.5143202 37.8183023, -25.515597 37.8182938)",,,,,
87346176,,residential,4.5,False,True,145.379,"LINESTRING (-25.518719 37.8214687, -25.5188772 37.8215926, -25.5189339 37.8216408, -25.5190733 37.8217594, -25.519126 37.8217901, -25.5195645 37.8219514, -25.520107 37.8221444)",,,,,
87368172,,residential,,False,False,63.54900000000001,"LINESTRING (-25.5175179 37.8225058, -25.5173804 37.8224548, -25.5172701 37.8224049, -25.5171691 37.822343, -25.5170916 37.8222655, -25.5170426 37.8221971, -25.5170046 37.8221308)",,,,,
87368172,,residential,,False,True,122.451,"LINESTRING (-25.5175179 37.8225058, -25.518239 37.8227144, -25.5183759 37.8227637, -25.518424 37.822786, -25.5184709 37.822823, -25.5186841 37.8230459)",,,,,
169002502,,residential,,False,False,78.14,"LINESTRING (-25.5175179 37.8225058, -25.5174379 37.8226256, -25.5173332 37.8227543, -25.5172636 37.8228286, -25.517217 37.8228784, -25.5170606 37.8231071)",,,,,
584535474,Rua João d'Horta,residential,,True,False,19.633,"LINESTRING (-25.5194298 37.824297, -25.5193821 37.8241245)",,,,,
87368176,Rua João d'Horta,residential,,True,False,40.495,"LINESTRING (-25.5193821 37.8241245, -25.5192942 37.823767)",,,,,
584535473,Rua Sousa e Silva,secondary,,True,False,49.62,"LINESTRING (-25.5193821 37.8241245, -25.5199077 37.8239609)",1,,50,,
584535474,Rua João d'Horta,residential,,True,False,149.47,"LINESTRING (-25.5197598 37.8256157, -25.5194298 37.824297)",,,,,
169002502,,residential,,False,True,78.13999999999999,"LINESTRING (-25.5170606 37.8231071, -25.517217 37.8228784, -25.5172636 37.8228286, -25.5173332 37.8227543, -25.5174379 37.8226256, -25.5175179 37.8225058)",,,,,
235514220,Rua Frei Agostinho De Mont'Alverne,residential,,True,False,134.95,"LINESTRING (-25.5170606 37.8231071, -25.5167922 37.8229936, -25.5165089 37.8228784, -25.5162085 37.8227687, -25.5158974 37.8226415, -25.5157043 37.8225398)",,,,,
584535908,Rua de Santa Luzia,residential,,False,True,13.322,"LINESTRING (-25.5190302 37.8263021, -25.5190517 37.8261835)",,,,,
87368181,Rua de Santa Luzia,residential,,False,False,30.171,"LINESTRING (-25.5190409 37.8259123, -25.5190517 37.8261835)",,,,,
87368181,Rua de Santa Luzia,residential,,False,True,19.237,"LINESTRING (-25.5190409 37.8259123, -25.5189876 37.8257445)",,,,,
