osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed
780057089,False,,,residential,True,204.93800000000002,"LINESTRING (111.9029316 -8.0688113, 111.9029195 -8.0695011, 111.9029128 -8.0697, 111.9029091 -8.0697441, 111.9028437 -8.0701743, 111.9027798 -8.0706449)",
97027865,False,,,residential,False,49.017,"LINESTRING (111.9027798 -8.0706449, 111.9032246 -8.0706643)",
97027865,False,,,residential,True,49.233,"LINESTRING (111.9027798 -8.0706449, 111.9023329 -8.0706288)",
780057089,False,,,residential,False,204.93800000000002,"LINESTRING (111.9027798 -8.0706449, 111.9028437 -8.0701743, 111.9029091 -8.0697441, 111.9029128 -8.0697, 111.9029195 -8.0695011, 111.9029316 -8.0688113)",
43392507,False,,Jalan P.Diponegoro,secondary,False,71.336,"LINESTRING (111.9017224 -8.0715769, 111.9018089 -8.0722127)",
43392507,False,,Jalan P.Diponegoro,secondary,True,109.513,"LINESTRING (111.9017224 -8.0715769, 111.9016029 -8.0711013, 111.9015294 -8.0706119)",
682340968,False,,,residential,False,210.503,"LINESTRING (111.9017224 -8.0715769, 111.902377 -8.0716157, 111.9027257 -8.0716502, 111.9029792 -8.0717193, 111.9031307 -8.0717644, 111.9033614 -8.0718202, 111.9036016 -8.0718781)",
799788690,False,,,residential,False,31.128,"LINESTRING (111.898461 -8.0748761, 111.8984114 -8.0751517)",
799788689,False,,,residential,False,124.77499999999999,"LINESTRING (111.898461 -8.0748761, 111.8988549 -8.0749311, 111.898869 -8.074936, 111.8988799 -8.0749457, 111.8988856 -8.0749573, 111.8988871 -8.0749688, 111.8988479 -8.0751882, 111.8988429 -8.0752005, 111.8988323 -8.0752116, 111.8988177 -8.0752167, 111.8988005 -8.0752172, 111.8984114 -8.0751517)",
799788690,False,,,residential,True,18.831,"LINESTRING (111.898461 -8.0748761, 111.8984865 -8.0747374, 111.8984917 -8.0747095)",
96322098,False,,,residential,True,25.92,"LINESTRING (111.8983786 -8.0758531, 111.8981437 -8.0758374)",
96322098,False,,,residential,False,91.85300000000002,"LINESTRING (111.8983786 -8.0758531, 111.8986323 -8.0758717, 111.8986615 -8.0758783, 111.8986873 -8.0758893, 111.8987061 -8.0759042, 111.8987205 -8.0759208, 111.8988512 -8.0761386, 111.898865 -8.0761588, 111.8988811 -8.0761747, 111.8989081 -8.0761901, 111.8990457 -8.0762219)",
799788690,False,,,residential,True,78.188,"LINESTRING (111.8983786 -8.0758531, 111.8983859 -8.0753409, 111.8983959 -8.0752539, 111.8984114 -8.0751517)",
799788690,False,,,residential,True,31.128,"LINESTRING (111.8984114 -8.0751517, 111.898461 -8.0748761)",
799788689,False,,,residential,True,124.77499999999999,"LINESTRING (111.8984114 -8.0751517, 111.8988005 -8.0752172, 111.8988177 -8.0752167, 111.8988323 -8.0752116, 111.8988429 -8.0752005, 111.8988479 -8.0751882, 111.8988871 -8.0749688, 111.8988856 -8.0749573, 111.8988799 -8.0749457, 111.898869 -8.074936, 111.8988549 -8.0749311, 111.898461 -8.0748761)",
