osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
1049179977,False,tertiary,False,244.47000000000003,"LINESTRING (114.5954738 -3.3154608, 114.5953973 -3.3152576, 114.5953421 -3.3151108, 114.5953046 -3.3150358, 114.5952589 -3.3149903, 114.5951946 -3.3149501, 114.5948911 -3.3148642, 114.5944592 -3.3147839, 114.5936236 -3.3146363)",Jalan Ade Irma Suryani Nasution,,,
286620456,False,tertiary,False,73.74199999999999,"LINESTRING (114.5898636 -3.3218941, 114.5898414 -3.3219396, 114.5896892 -3.3222517, 114.5895729 -3.3224904)",Jalan Haryono MT,2,,
286620456,False,tertiary,True,110.653,"LINESTRING (114.5898636 -3.3218941, 114.5899022 -3.3218173, 114.5903135 -3.3210061)",Jalan Haryono MT,2,,
"[1049777673, 1049777674, 702592843]",False,residential,False,224.138,"LINESTRING (114.5898636 -3.3218941, 114.5902871 -3.3220618, 114.5908054 -3.3222407, 114.5908456 -3.3222541, 114.5910253 -3.3223148, 114.5917626 -3.322578)",Jalan Simpang Lambung Mangkurat,,yes,
298521495,False,tertiary,False,20.509999999999998,"LINESTRING (114.5890084 -3.3158508, 114.5890318 -3.3159287, 114.5890804 -3.3160197)",Jalan Pulau Laut,,,
298521495,False,tertiary,True,132.75,"LINESTRING (114.5890084 -3.3158508, 114.5889432 -3.3156332, 114.5888556 -3.315341, 114.5887649 -3.3150605, 114.5887097 -3.3149409, 114.5886252 -3.3148167, 114.5885655 -3.3147559)",Jalan Pulau Laut,,,
577918038,False,residential,True,43.239,"LINESTRING (114.5890084 -3.3158508, 114.5888938 -3.3158981, 114.5886592 -3.3160222)",,,,
577918038,False,residential,False,43.239,"LINESTRING (114.5886592 -3.3160222, 114.5888938 -3.3158981, 114.5890084 -3.3158508)",,,,
298521495,False,tertiary,True,34.192,"LINESTRING (114.5885655 -3.3147559, 114.5883423 -3.314544)",Jalan Pulau Laut,,,
298521495,False,tertiary,False,132.75,"LINESTRING (114.5885655 -3.3147559, 114.5886252 -3.3148167, 114.5887097 -3.3149409, 114.5887649 -3.3150605, 114.5888556 -3.315341, 114.5889432 -3.3156332, 114.5890084 -3.3158508)",Jalan Pulau Laut,,,
"[1047785224, 1047785225, 577918039]",False,residential,True,61.476,"LINESTRING (114.5885655 -3.3147559, 114.5883687 -3.3149067, 114.5883289 -3.314939, 114.5881318 -3.3150996)",,,yes,
"[1047785224, 1047785225, 577918039]",False,residential,False,61.476,"LINESTRING (114.5881318 -3.3150996, 114.5883289 -3.314939, 114.5883687 -3.3149067, 114.5885655 -3.3147559)",,,yes,
298521495,False,tertiary,False,34.192,"LINESTRING (114.5883423 -3.314544, 114.5885655 -3.3147559)",Jalan Pulau Laut,,,
298521495,False,tertiary,True,30.305,"LINESTRING (114.5883423 -3.314544, 114.588235 -3.3144231, 114.5881549 -3.3143461)",Jalan Pulau Laut,,,
1049179977,False,tertiary,False,28.024,"LINESTRING (114.5955605 -3.3156975, 114.5954738 -3.3154608)",Jalan Ade Irma Suryani Nasution,,,
1049179977,False,tertiary,True,70.74099999999999,"LINESTRING (114.5955605 -3.3156975, 114.5955884 -3.3157747, 114.5956937 -3.3160813, 114.5957102 -3.3161305, 114.5957631 -3.3163006)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,False,34.316,"LINESTRING (114.5956342 -3.3194722, 114.5956367 -3.3194056, 114.5956311 -3.3191637)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,True,49.791000000000004,"LINESTRING (114.5956342 -3.3194722, 114.5956284 -3.3196307, 114.5956237 -3.3197593, 114.5956156 -3.3198289, 114.5955994 -3.3199089, 114.5955971 -3.3199174)",Jalan Ade Irma Suryani Nasution,,,
578686004,False,residential,True,103.78999999999999,"LINESTRING (114.5956342 -3.3194722, 114.5950871 -3.3195053, 114.5947004 -3.3195167)",,,,
578686004,False,residential,False,103.78999999999999,"LINESTRING (114.5947004 -3.3195167, 114.5950871 -3.3195053, 114.5956342 -3.3194722)",,,,
297206850,False,tertiary,True,22.568,"LINESTRING (114.5956264 -3.3189608, 114.5956311 -3.3191637)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,False,90.204,"LINESTRING (114.5956264 -3.3189608, 114.5956151 -3.3185582, 114.5956129 -3.3184802, 114.5956036 -3.3181499)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,False,5.05,"LINESTRING (114.5956036 -3.3181499, 114.5956023 -3.3181045)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,True,90.204,"LINESTRING (114.5956036 -3.3181499, 114.5956129 -3.3184802, 114.5956151 -3.3185582, 114.5956264 -3.3189608)",Jalan Ade Irma Suryani Nasution,,,
578686006,False,residential,False,123.41799999999999,"LINESTRING (114.5956036 -3.3181499, 114.5960661 -3.3181886, 114.5961789 -3.3182193, 114.5964181 -3.31829, 114.5964222 -3.318294, 114.5964271 -3.318303, 114.596429 -3.318317, 114.5963997 -3.318566)",,,,
578686007,False,residential,True,145.345,"LINESTRING (114.596844 -3.3179619, 114.596655 -3.3178947, 114.5961959 -3.3177136, 114.5956126 -3.3175189)",,,,
297206850,False,tertiary,True,65.126,"LINESTRING (114.5956126 -3.3175189, 114.5956023 -3.3181045)",Jalan Ade Irma Suryani Nasution,,,
