osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,width
"[32854266, 1193400575]",2,Námestie Svätej Trojice,residential,50,False,False,112.72399999999999,,"LINESTRING (17.5765238 47.8911628, 17.5763439 47.8913102, 17.5761822 47.8913999, 17.575474 47.8915111, 17.5751857 47.8915355)",,,
792825567,2,Námestie Svätej Trojice,residential,50,False,True,13.767,,"LINESTRING (17.5766945 47.89121, 17.5765238 47.8911628)",,,
337320208,,Námestie Svätej Trojice,secondary,50,False,False,98.904,506,"LINESTRING (17.5766945 47.89121, 17.5766865 47.8914915, 17.5766623 47.8920992)",,,
1093578325,,Hlavná,secondary,50,False,True,20.633000000000003,506,"LINESTRING (17.5766945 47.89121, 17.576718 47.8911179, 17.5767561 47.8910294)",,,
172945546,,Cintorinská,residential,,False,True,112.595,,"LINESTRING (17.5731442 47.8918538, 17.5744947 47.8920857, 17.5746024 47.8921147)",,,
1093578307,,,residential,,False,True,70.45,,"LINESTRING (17.5731442 47.8918538, 17.5730895 47.8918893, 17.5724655 47.8922946)",,,
1093578307,,,residential,,False,False,70.45,,"LINESTRING (17.5724655 47.8922946, 17.5730895 47.8918893, 17.5731442 47.8918538)",,,
95636297,,Zdravotnícka,residential,,False,False,245.503,,"LINESTRING (17.5721839 47.8929753, 17.5726257 47.8932927, 17.5735552 47.8927487, 17.5740159 47.8924731, 17.5742412 47.8923351, 17.5744544 47.8921949, 17.5746024 47.8921147)",,,
560062313,,,unclassified,,False,False,103.886,,"LINESTRING (17.5823813 47.896789, 17.5819701 47.8971018, 17.581378 47.8967701)",,,2
560062314,,,unclassified,,False,False,85.408,,"LINESTRING (17.5826515 47.8965835, 17.5830602 47.8962725, 17.5831675 47.8962743, 17.5834356 47.8960575)",,,2
337320208,,Námestie Svätej Trojice,secondary,50,False,True,98.904,506,"LINESTRING (17.5766623 47.8920992, 17.5766865 47.8914915, 17.5766945 47.89121)",,,
632369825,1,Námestie Svätej Trojice,secondary,50,True,False,27.295,506,"LINESTRING (17.5766623 47.8920992, 17.5766644 47.8922085, 17.5766284 47.8923425)",,,
