osmid,lanes,ref,highway,oneway,reversed,length,name,geometry
567957100,,,residential,False,False,39.774,Pasaje La Marina,"LINESTRING (-79.0122604 -8.1718671, -79.0124448 -8.1718296, -79.0126164 -8.1718522)"
933911473,,,tertiary,False,False,63.151,Jirón Salaverry,"LINESTRING (-79.0074973 -8.1720239, -79.0073868 -8.1714666)"
1187905987,,,residential,False,False,136.241,Jirón Diego Ferré,"LINESTRING (-79.0074973 -8.1720239, -79.0062931 -8.1723075)"
1187910193,,,residential,False,True,112.522,Jirón Salaverry,"LINESTRING (-79.0074973 -8.1720239, -79.0076962 -8.1730165)"
368990265,,,residential,False,True,92.002,Jirón Leoncio Prado,"LINESTRING (-79.0111103 -8.1707396, -79.011942 -8.170657)"
1270220311,2,LI-1102,secondary,False,False,46.813,Avenida La Marina,"LINESTRING (-79.0111103 -8.1707396, -79.0112111 -8.1711486)"
1270220311,2,LI-1102,secondary,False,True,9.353,Avenida La Marina,"LINESTRING (-79.0111103 -8.1707396, -79.0110905 -8.1706578)"
94606300,,,residential,False,False,67.006,Jirón José Galvez,"LINESTRING (-79.0096048 -8.1692051, -79.0090164 -8.1693597)"
94606300,,,residential,False,True,56.294,Jirón José Galvez,"LINESTRING (-79.0096048 -8.1692051, -79.010099 -8.1690747)"
94630218,,,residential,False,False,49.824,Calle Comandante Moore,"LINESTRING (-79.0096048 -8.1692051, -79.0094828 -8.1687736)"
94630218,,,residential,False,True,70.387,Calle Comandante Moore,"LINESTRING (-79.0096048 -8.1692051, -79.0097803 -8.1698138)"
933911468,,,residential,False,True,56.345,Calle Sepulveda,"LINESTRING (-79.0105111 -8.1723617, -79.0100133 -8.1724799)"
94630218,,,residential,False,False,112.218,Calle Comandante Moore,"LINESTRING (-79.0105111 -8.1723617, -79.0103765 -8.1718852, -79.010234 -8.1713905)"
933911468,,,residential,False,False,107.05799999999999,Calle Sepulveda,"LINESTRING (-79.0105111 -8.1723617, -79.011156 -8.1721655, -79.0114503 -8.1721192)"
94616781,,,residential,False,False,124.34,Jirón Francisco Bolognesi,"LINESTRING (-79.0090827 -8.1711381, -79.0088223 -8.17005)"
933911462,,,tertiary,True,False,60.979,Jirón Leoncio Prado,"LINESTRING (-79.0090827 -8.1711381, -79.0096212 -8.1710092)"
933911463,,,residential,False,True,56.809,Jirón Francisco Bolognesi,"LINESTRING (-79.0090827 -8.1711381, -79.0092014 -8.1716353)"
94606300,,,residential,False,True,54.859,Jirón José Galvez,"LINESTRING (-79.0081967 -8.1695751, -79.0086784 -8.1694484)"
567956085,,,residential,False,False,60.5,Jirón Miguiel Grau,"LINESTRING (-79.0081967 -8.1695751, -79.008072 -8.1690452)"
567956085,,,residential,False,True,66.632,Jirón Miguiel Grau,"LINESTRING (-79.0081967 -8.1695751, -79.0083341 -8.1701587)"
