osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width
252579181,False,2,улица Ленина,residential,True,135.594,"LINESTRING (29.4867007 46.8215668, 29.4860029 46.8217925, 29.4852003 46.8220522, 29.4850896 46.822088)",50,
252579181,False,2,улица Ленина,residential,False,135.594,"LINESTRING (29.4850896 46.822088, 29.4852003 46.8220522, 29.4860029 46.8217925, 29.4867007 46.8215668)",50,
252579181,False,2,улица Ленина,residential,True,137.844,"LINESTRING (29.4850896 46.822088, 29.4849603 46.8221299, 29.4835358 46.8225678, 29.483438 46.8225974)",50,
276790978,True,2,улица Котовского,primary,False,154.652,"LINESTRING (29.4850896 46.822088, 29.4851306 46.8221685, 29.4852375 46.8223784, 29.4853804 46.8226591, 29.4854945 46.822883, 29.4854992 46.8228923, 29.4857047 46.8232956, 29.4857646 46.8233998)",70,
"[447634961, 252579181]",False,2,улица Ленина,residential,False,110.242,"LINESTRING (29.4821913 46.823064, 29.4833865 46.8226762, 29.483438 46.8225974)",50,
132957182,True,,улица Сергея Лазо,tertiary,False,26.209,"LINESTRING (29.4837817 46.8240068, 29.4839385 46.8239585, 29.4840972 46.8239122)",60,
"[492733881, 680056527]",False,,улица Сергея Лазо,tertiary,False,107.341,"LINESTRING (29.4837817 46.8240068, 29.4833491 46.8241408, 29.4828438 46.824291, 29.4824906 46.8243959)",60,
41851869,False,,улица Кирова,residential,True,6.25,"LINESTRING (29.4757712 46.8226497, 29.4757945 46.8227036)",,
1076586882,False,,,residential,False,26.066,"LINESTRING (29.4827277 46.8183513, 29.4828315 46.8185747)",,
1076586882,False,,,residential,True,36.155,"LINESTRING (29.4830094 46.8188762, 29.4828315 46.8185747)",,
1076586882,False,,,residential,False,36.155,"LINESTRING (29.4828315 46.8185747, 29.4830094 46.8188762)",,
1076586882,False,,,residential,True,26.066,"LINESTRING (29.4828315 46.8185747, 29.4827277 46.8183513)",,
1076586883,False,,,residential,False,37.65,"LINESTRING (29.4828315 46.8185747, 29.4832985 46.8184628)",,
38633107,True,2,улица Котовского,primary,False,49.088,"LINESTRING (29.4832985 46.8184628, 29.4834926 46.8188838)",70,
1076586883,False,,,residential,True,37.65,"LINESTRING (29.4832985 46.8184628, 29.4828315 46.8185747)",,
1076586881,False,,Комсомольская улица,residential,False,43.834,"LINESTRING (29.4861939 46.8182619, 29.4867429 46.8181425)",,
1076586881,False,,Комсомольская улица,residential,True,82.357,"LINESTRING (29.4861939 46.8182619, 29.4851624 46.8184862)",,
