osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,width
816881082,,residential,False,True,78.432,1,,"LINESTRING (-72.1100837 7.0006704, -72.1105709 7.0011839)",3
483966328,Calle 5,residential,False,False,141.823,,,"LINESTRING (-72.1105709 7.0011839, -72.109574 7.0019887)",
816881082,,residential,False,False,78.432,1,,"LINESTRING (-72.1105709 7.0011839, -72.1100837 7.0006704)",3
483966328,Calle 5,residential,False,True,34.271,,,"LINESTRING (-72.1105709 7.0011839, -72.1107253 7.0010532, -72.1107907 7.0009684)",
833897958,,residential,False,True,7.423,,,"LINESTRING (-72.1063754 7.0044793, -72.1063142 7.004507)",
833897958,,residential,False,False,7.423,,,"LINESTRING (-72.1063142 7.004507, -72.1063754 7.0044793)",
537477802,,residential,False,True,150.361,,,"LINESTRING (-72.1063142 7.004507, -72.1061769 7.0042643, -72.1060826 7.0039819, -72.1059347 7.0038167, -72.1056246 7.0033544)",
"[833897957, 833897958]",,residential,False,True,381.05999999999995,,,"LINESTRING (-72.1063142 7.004507, -72.1059232 7.0047666, -72.1056153 7.0049071, -72.1052437 7.0050616, -72.105003 7.0050757, -72.1048792 7.0049703, -72.1048402 7.0047841, -72.1049606 7.0045488, -72.1051552 7.0042361, -72.1054242 7.0036425, -72.1056246 7.0033544)",
833911350,,residential,False,False,79.327,,,"LINESTRING (-72.1072521 7.0048667, -72.1067401 7.004366)",
833911354,Carrera 10,residential,False,False,37.321,,,"LINESTRING (-72.1120991 6.9983627, -72.1117968 6.9982123)",
833911355,Carrera 5,residential,False,False,52.994,,,"LINESTRING (-72.1098905 7.0023471, -72.109574 7.0019887)",
483966290,Carrera 5A,residential,False,True,45.496,,,"LINESTRING (-72.1081322 6.9990469, -72.1083873 6.9993683)",
483966313,Carrera 2,residential,False,False,45.018,,,"LINESTRING (-72.1076433 7.0041132, -72.1073695 7.0038131)",
483966288,Carrera 8,residential,False,False,37.183,,,"LINESTRING (-72.1100518 6.9987766, -72.1097627 6.9986049)",
483966288,Carrera 8,residential,False,True,39.993,,,"LINESTRING (-72.1100518 6.9987766, -72.1103628 6.9989612)",
872820403,,residential,False,False,37.892,,,"LINESTRING (-72.1100518 6.9987766, -72.109886 6.999075)",
872820403,,residential,False,True,37.892,,,"LINESTRING (-72.109886 6.999075, -72.1100518 6.9987766)",
872820404,,residential,False,False,38.65,,,"LINESTRING (-72.1095951 6.9989101, -72.1097627 6.9986049)",
483966288,Carrera 8,residential,False,False,25.872,,,"LINESTRING (-72.1097627 6.9986049, -72.1095615 6.9984855)",
483966288,Carrera 8,residential,False,True,37.183,,,"LINESTRING (-72.1097627 6.9986049, -72.1100518 6.9987766)",
872820404,,residential,False,True,38.65,,,"LINESTRING (-72.1097627 6.9986049, -72.1095951 6.9989101)",
