osmid,oneway,name,highway,reversed,length,lanes,maxspeed,bridge,geometry,junction
738973257,False,,residential,False,29.724,,,,"LINESTRING (-105.3862052 20.7511896, -105.3859523 20.7513142)",
738973257,False,,residential,True,35.686,,,,"LINESTRING (-105.3862052 20.7511896, -105.3863262 20.7510247, -105.3863844 20.7509167)",
1058657980,False,Calle Río Lerma,residential,True,95.376,,,,"LINESTRING (-105.3862052 20.7511896, -105.3863216 20.7512076, -105.3864773 20.7512806, -105.3869323 20.7516814)",
1058657982,False,Calle Loma Linda,residential,False,48.141,,,,"LINESTRING (-105.3869323 20.7516814, -105.3866139 20.7519957)",
1058657980,False,Calle Río Lerma,residential,False,95.376,,,,"LINESTRING (-105.3869323 20.7516814, -105.3864773 20.7512806, -105.3863216 20.7512076, -105.3862052 20.7511896)",
376844653,False,,residential,False,209.67,,,,"LINESTRING (-105.386123 20.751625, -105.3862517 20.751854, -105.3863794 20.7521196, -105.3863924 20.7522491, -105.3863896 20.7523617, -105.3866895 20.7531792, -105.3867395 20.7534031)",
376844655,False,Calle Chula Vista,residential,False,66.482,,,,"LINESTRING (-105.386123 20.751625, -105.3862157 20.7516556, -105.386319 20.7517206, -105.3866139 20.7519957)",
376844655,False,Calle Chula Vista,residential,True,38.855000000000004,,,,"LINESTRING (-105.386123 20.751625, -105.3860432 20.7514852, -105.3859523 20.7513142)",
245393969,False,Calle Arroyo Seco,residential,True,41.567,,,,"LINESTRING (-105.3859192 20.7532997, -105.3859293 20.7536734)",
245393969,False,Calle Arroyo Seco,residential,False,99.21100000000001,,,,"LINESTRING (-105.3859192 20.7532997, -105.3860045 20.7529215, -105.386109 20.7525436, -105.3861469 20.7524338)",
917249569,False,,residential,False,97.259,,,,"LINESTRING (-105.3859192 20.7532997, -105.3855331 20.7534013, -105.3854714 20.7533819, -105.3854312 20.7533449, -105.3853279 20.7529712)",
245393969,False,Calle Arroyo Seco,residential,False,41.567,,,,"LINESTRING (-105.3859293 20.7536734, -105.3859192 20.7532997)",
376844656,False,,residential,False,68.40700000000001,,,,"LINESTRING (-105.3859293 20.7536734, -105.3860213 20.7538438, -105.3860917 20.7539902, -105.386099 20.7542539)",
917249567,False,,residential,True,85.643,,,,"LINESTRING (-105.386099 20.7542539, -105.3868957 20.7540585)",
376844656,False,,residential,True,68.407,,,,"LINESTRING (-105.386099 20.7542539, -105.3860917 20.7539902, -105.3860213 20.7538438, -105.3859293 20.7536734)",
245393959,False,Calle Atún,residential,True,62.706,,,,"LINESTRING (-105.3801289 20.7530772, -105.3798653 20.75257)",
377261200,False,Calle Camarón,residential,True,79.4,,,,"LINESTRING (-105.3801289 20.7530772, -105.3805394 20.7524751)",
245393959,False,Calle Atún,residential,False,96.02,,,,"LINESTRING (-105.3801289 20.7530772, -105.3801442 20.7531067, -105.3804715 20.7537639, -105.3805166 20.7538609)",
377261200,False,Calle Camarón,residential,False,190.202,,,,"LINESTRING (-105.3801289 20.7530772, -105.3800418 20.7531264, -105.3799178 20.7531556, -105.3796966 20.7531885, -105.3791443 20.7532564, -105.3789689 20.7532708, -105.378685 20.753295, -105.3783284 20.7533174)",
377261200,False,Calle Camarón,residential,True,190.20199999999997,,,,"LINESTRING (-105.3783284 20.7533174, -105.378685 20.753295, -105.3789689 20.7532708, -105.3791443 20.7532564, -105.3796966 20.7531885, -105.3799178 20.7531556, -105.3800418 20.7531264, -105.3801289 20.7530772)",
377261201,False,,residential,False,66.058,,,,"LINESTRING (-105.3783284 20.7533174, -105.3783327 20.7534026, -105.3782862 20.7535823, -105.3782796 20.7537302, -105.3783203 20.7539019)",
245393959,False,Calle Atún,residential,False,9.678,,,,"LINESTRING (-105.3805166 20.7538609, -105.3805608 20.7539375)",
245393959,False,Calle Atún,residential,True,96.02,,,,"LINESTRING (-105.3805166 20.7538609, -105.3804715 20.7537639, -105.3801442 20.7531067, -105.3801289 20.7530772)",
377261204,False,,residential,False,44.075,,,,"LINESTRING (-105.3805166 20.7538609, -105.380386 20.7538606, -105.3802414 20.7538643, -105.3800928 20.753867)",
"[377261202, 377261204]",False,,residential,False,135.628,,,,"LINESTRING (-105.3800928 20.753867, -105.3798291 20.7538737, -105.3796819 20.7538733, -105.3795356 20.7538367, -105.3793808 20.7538298, -105.3791681 20.7538402, -105.3789377 20.7538794, -105.3787991 20.7538963)",
377261204,False,,residential,True,44.075,,,,"LINESTRING (-105.3800928 20.753867, -105.3802414 20.7538643, -105.380386 20.7538606, -105.3805166 20.7538609)",
917262444,False,,residential,True,97.144,,,,"LINESTRING (-105.3800928 20.753867, -105.3801218 20.7539669, -105.380111 20.7540396, -105.3800695 20.7541136, -105.3800748 20.7543155, -105.3800584 20.7543642, -105.3800239 20.7543795, -105.3796778 20.7544024)",
917253508,False,,residential,False,60.679,,,,"LINESTRING (-105.3787991 20.7538963, -105.3788008 20.754442)",
377261202,False,,residential,False,49.794000000000004,,,,"LINESTRING (-105.3787991 20.7538963, -105.3784249 20.7539032, -105.3783203 20.7539019)",
"[377261202, 377261204]",False,,residential,True,135.628,,,,"LINESTRING (-105.3787991 20.7538963, -105.3789377 20.7538794, -105.3791681 20.7538402, -105.3793808 20.7538298, -105.3795356 20.7538367, -105.3796819 20.7538733, -105.3798291 20.7538737, -105.3800928 20.753867)",
377261201,False,,residential,True,66.058,,,,"LINESTRING (-105.3783203 20.7539019, -105.3782796 20.7537302, -105.3782862 20.7535823, -105.3783327 20.7534026, -105.3783284 20.7533174)",
377261202,False,,residential,True,49.794000000000004,,,,"LINESTRING (-105.3783203 20.7539019, -105.3784249 20.7539032, -105.3787991 20.7538963)",
245255143,False,Calle Dorado,residential,True,98.29899999999999,,,,"LINESTRING (-105.3803471 20.75108, -105.3804083 20.7511403, -105.3805663 20.751318, -105.3806986 20.7514669, -105.3808252 20.7516166, -105.3809441 20.7517649)",
245393963,False,Calle Tiburón,residential,False,177.722,,,,"LINESTRING (-105.3803471 20.75108, -105.3803699 20.7510198, -105.3804262 20.7509483, -105.3805268 20.7508505, -105.3809448 20.7505826, -105.3810521 20.7505036, -105.3811622 20.7504233, -105.3815331 20.7499612)",
245393963,False,Calle Tiburón,residential,True,87.82600000000001,,,,"LINESTRING (-105.3803471 20.75108, -105.3803216 20.7511352, -105.380276 20.7512229, -105.3801955 20.7513784, -105.3800919 20.7515872, -105.379983 20.7517926)",
245255144,False,Calle Coral,residential,True,82.25399999999999,,,,"LINESTRING (-105.3834957 20.7509382, -105.3834303 20.7509596, -105.3833718 20.7510217, -105.3830551 20.7515345)",
389369289,True,,residential,False,18.276,,,,"LINESTRING (-105.3834957 20.7509382, -105.3835147 20.7509753, -105.3835476 20.7510025, -105.3835892 20.7510158, -105.383633 20.751013)",roundabout
389369289,True,,residential,False,2.831,,,,"LINESTRING (-105.3835601 20.7508165, -105.3835365 20.7508292)",roundabout
389369290,False,Calle Coral,residential,False,95.38499999999999,,,,"LINESTRING (-105.3835601 20.7508165, -105.3835644 20.750735, -105.3835949 20.750675, -105.3838458 20.7502954, -105.3839963 20.7500726)",
389369289,True,,residential,False,28.035999999999998,,,,"LINESTRING (-105.3837037 20.7509585, -105.3837145 20.7509239, -105.3837121 20.750888, -105.3836967 20.750855, -105.3836703 20.7508288, -105.3836359 20.7508126, -105.3835976 20.7508083, -105.3835601 20.7508165)",roundabout
245255147,False,Calle Róbalo,residential,False,92.238,,,,"LINESTRING (-105.3846234 20.7507046, -105.3850879 20.7499979)",
245255147,False,Calle Róbalo,residential,True,89.978,,,,"LINESTRING (-105.3846234 20.7507046, -105.3841504 20.7513822)",
245393964,False,Calle Marlín,residential,False,95.868,,,,"LINESTRING (-105.3846234 20.7507046, -105.3839963 20.7500726)",
245393964,False,Calle Marlín,residential,True,68.099,,,,"LINESTRING (-105.3846234 20.7507046, -105.3850874 20.7511368)",
1058657983,False,,residential,True,43.763,,,,"LINESTRING (-105.3855443 20.751027, -105.385728 20.7513811)",
"[245393965, 1058657983]",False,Calle Guachinango,residential,False,134.765,,,,"LINESTRING (-105.3855443 20.751027, -105.3855483 20.7509289, -105.3855776 20.7507021, -105.3855831 20.7505132, -105.3855617 20.7504631, -105.3854342 20.7503389, -105.3850879 20.7499979)",
1058680723,False,,residential,False,51.123000000000005,,,,"LINESTRING (-105.3855443 20.751027, -105.3852502 20.7511602, -105.3851831 20.751154, -105.3850874 20.7511368)",
245393964,False,Calle Marlín,residential,False,17.863,,,,"LINESTRING (-105.3851489 20.7512868, -105.3850874 20.7511368)",
738973255,True,Carretera a Punta de Mita,tertiary,False,92.999,,,,"LINESTRING (-105.3851489 20.7512868, -105.3846608 20.7514877, -105.3844586 20.7515793, -105.3843389 20.7516405)",
