osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed
169908942,True,,Calle 2 Poniente,residential,False,68.62,"LINESTRING (-97.808902 19.2279768, -97.8082547 19.2278915)",,
170229593,False,,Camino Nacional Norte,residential,False,54.231,"LINESTRING (-97.808902 19.2279768, -97.8092259 19.2275969)",,
170229593,False,,Camino Nacional Norte,residential,True,34.528,"LINESTRING (-97.808902 19.2279768, -97.80871 19.2282289)",,
378890905,False,,Calle 2 Poniente,residential,True,116.242,"LINESTRING (-97.808902 19.2279768, -97.8097567 19.2286413)",,
169908942,True,,Calle 2 Poniente,residential,False,19.898,"LINESTRING (-97.8061209 19.2276855, -97.8059335 19.2276588)",,
169909103,False,,Calle 5 Norte,residential,False,44.552,"LINESTRING (-97.8061209 19.2276855, -97.8061707 19.2272876)",,
169909103,False,,Calle 5 Norte,residential,True,42.805,"LINESTRING (-97.8061209 19.2276855, -97.806068 19.2280672)",,
169909123,True,,Calle 2 Oriente,residential,False,38.231,"LINESTRING (-97.8029767 19.2273197, -97.8026151 19.2272792)",,
858325371,True,,Calle 2 Norte,residential,False,114.6,"LINESTRING (-97.8029767 19.2273197, -97.8031002 19.2262957)",,
169909103,False,,Calle 5 Norte,residential,False,66.256,"LINESTRING (-97.805986 19.228658, -97.806068 19.2280672)",,
169977016,False,,Calle 4 Poniente,residential,False,115.64,"LINESTRING (-97.805986 19.228658, -97.8048928 19.2285312)",,
169977016,False,,Calle 4 Poniente,residential,True,110.883,"LINESTRING (-97.805986 19.228658, -97.8070337 19.2287836)",,
776316207,False,,Calle Héroe de Nacozari,residential,True,19.177,"LINESTRING (-97.8028109 19.2283258, -97.8026515 19.2282416)",,
858325371,True,,Calle 2 Norte,residential,False,34.264,"LINESTRING (-97.8028109 19.2283258, -97.8028574 19.2280208)",,
169977058,False,,Calle 4 Oriente,residential,True,111.697,"LINESTRING (-97.8028109 19.2283258, -97.8028664 19.2283224, -97.802977 19.2283226, -97.8038687 19.22842)",,
169977016,False,,Calle 4 Poniente,residential,False,110.883,"LINESTRING (-97.8070337 19.2287836, -97.805986 19.228658)",,
169977016,False,,Calle 4 Poniente,residential,True,120.013,"LINESTRING (-97.8070337 19.2287836, -97.8081694 19.228906)",,
170229685,True,,Calle 7 Norte,residential,False,112.518,"LINESTRING (-97.8070337 19.2287836, -97.8071531 19.227778)",,
169908663,False,2,Calle 3 Norte,secondary,False,66.442,"LINESTRING (-97.8048928 19.2285312, -97.8049936 19.2279413)",,
169977016,False,,Calle 4 Poniente,residential,False,108.231,"LINESTRING (-97.8048928 19.2285312, -97.8038687 19.22842)",,
169977016,False,,Calle 4 Poniente,residential,True,115.64,"LINESTRING (-97.8048928 19.2285312, -97.805986 19.228658)",,
169977016,False,,Calle 4 Poniente,residential,False,120.013,"LINESTRING (-97.8081694 19.228906, -97.8070337 19.2287836)",,
170229593,False,,Camino Nacional Norte,residential,False,4.167,"LINESTRING (-97.8081694 19.228906, -97.8081944 19.2288769)",,
169977016,False,,Calle 4 Poniente,residential,True,108.231,"LINESTRING (-97.8038687 19.22842, -97.8048928 19.2285312)",,
169977058,False,,Calle 4 Oriente,residential,False,111.69699999999999,"LINESTRING (-97.8038687 19.22842, -97.802977 19.2283226, -97.8028664 19.2283224, -97.8028109 19.2283258)",,
170229242,False,,Calle 4 Sur,residential,False,124.656,"LINESTRING (-97.8014913 19.2261319, -97.8016621 19.2250225)",,
903546936,False,,Calle 4 Norte,residential,True,112.805,"LINESTRING (-97.8014913 19.2261319, -97.8013778 19.2271407)",,
169905901,True,3,Avenida Progreso,residential,False,169.903,"LINESTRING (-97.8014913 19.2261319, -97.8018091 19.2261642, -97.8031002 19.2262957)",,
170229316,False,,Calle Francisco Sarabia,residential,False,32.342,"LINESTRING (-97.8021892 19.2288056, -97.8021561 19.2287406, -97.8022002 19.2286879, -97.8022243 19.2286591, -97.8022465 19.2286339, -97.8023326 19.2286225)",,
776313057,False,,Avenida Ferrocarril,residential,False,87.211,"LINESTRING (-97.8021892 19.2288056, -97.8018433 19.2285503, -97.8015131 19.2283515)",,
776325092,False,,Andador del Ferrocaril,residential,True,113.767,"LINESTRING (-97.8074096 19.2259435, -97.807925 19.226104, -97.808457 19.226196)",,
858329719,False,2,Avenida 16 de Septiembre,residential,False,15.945,"LINESTRING (-97.8072878 19.2268057, -97.8074386 19.2268227)",,
858329719,False,2,Avenida 16 de Septiembre,residential,True,109.082,"LINESTRING (-97.8072878 19.2268057, -97.8062552 19.2266974)",,
858329720,True,,Calle 7 Sur,residential,False,96.722,"LINESTRING (-97.8072878 19.2268057, -97.8074096 19.2259435)",,
170231060,True,,Calle 9 Norte,residential,False,108.013,"LINESTRING (-97.8083715 19.2269264, -97.8082547 19.2278915)",,
858329719,False,2,Avenida 16 de Septiembre,residential,False,39.623,"LINESTRING (-97.8083715 19.2269264, -97.8087485 19.2269425)",,
858329719,False,2,Avenida 16 de Septiembre,residential,True,21.836,"LINESTRING (-97.8083715 19.2269264, -97.8081648 19.2269047)",,
169908730,False,,Calle 5 Sur,residential,False,75.514,"LINESTRING (-97.8062552 19.2266974, -97.8063398 19.226023)",,
169909103,False,,Calle 5 Norte,residential,True,66.224,"LINESTRING (-97.8062552 19.2266974, -97.8061707 19.2272876)",,
858329719,False,2,Avenida 16 de Septiembre,residential,False,109.082,"LINESTRING (-97.8062552 19.2266974, -97.8072878 19.2268057)",,
776346578,False,2,Calle 11 Poniente,residential,True,77.319,"LINESTRING (-97.8078506 19.2221774, -97.8085822 19.2222567)",,
378892055,False,,Avenida Zaragoza,residential,True,66.612,"LINESTRING (-97.8078506 19.2221774, -97.8078944 19.2221022, -97.8083788 19.2218694)",,
776346578,False,2,Calle 11 Poniente,residential,False,40.181,"LINESTRING (-97.8078506 19.2221774, -97.8078051 19.2221739, -97.8074692 19.2221477)",,
169907509,False,2,Calle 9 Poniente,residential,True,73.374,"LINESTRING (-97.8056358 19.2229424, -97.8063288 19.2230275)",,
379073218,False,2,Calle 3 Sur,secondary,False,106.177,"LINESTRING (-97.8056358 19.2229424, -97.8057801 19.2219973)",,
379073218,False,2,Calle 3 Sur,secondary,True,25.658,"LINESTRING (-97.8056358 19.2229424, -97.8056018 19.2231709)",,
169907509,False,2,Calle 9 Poniente,residential,False,110.295,"LINESTRING (-97.8056358 19.2229424, -97.8051408 19.2228753, -97.804596 19.2228014)",,
169907471,False,2,Calle 7 Poniente,residential,False,26.745,"LINESTRING (-97.8055219 19.2239496, -97.8052776 19.2238815)",,
169907471,False,2,Calle 7 Poniente,residential,True,112.273,"LINESTRING (-97.8055219 19.2239496, -97.80658 19.2240955)",,
