osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,maxspeed,width,tunnel,access
142959272,True,,M 30,,tertiary,False,11.349,"LINESTRING (4.6239482 45.5285873, 4.6239552 45.5285623, 4.6239725 45.5285398, 4.6239985 45.5285219, 4.6240309 45.5285103)",roundabout,,,,
234753761,False,,,Chemin Durozeil,unclassified,True,291.86899999999997,"LINESTRING (4.6239482 45.5285873, 4.6238672 45.5285949, 4.6238122 45.5286189, 4.6237881 45.5286697, 4.6237666 45.5287523, 4.6237559 45.5289158, 4.6237773 45.5289929, 4.6238012 45.529068, 4.6238296 45.5291462, 4.6238122 45.5291859, 4.6237329 45.5291935, 4.6236602 45.5291561, 4.6235775 45.5290671, 4.6233388 45.5285203, 4.6232804 45.5284514, 4.6232526 45.5284308, 4.6232142 45.5284169, 4.6231819 45.5284216, 4.623147 45.5284442, 4.6231148 45.5284855, 4.6230612 45.528602, 4.6229271 45.5289534, 4.6228922 45.5289797, 4.622852 45.528991, 4.6228037 45.5289797, 4.6227795 45.5289327, 4.6227608 45.5288068, 4.622742 45.5287035, 4.6227172 45.528673)",,,,,
272219376,False,2,M 88,Cours du 11 Novembre,secondary,False,42.964,"LINESTRING (4.612493 45.5268149, 4.6127535 45.5269949, 4.6127787 45.527014, 4.6128916 45.5270816)",,,,,
142952908,True,1,,Rue Claude Drivon,tertiary,False,107.642,"LINESTRING (4.6134772 45.5282504, 4.6130291 45.5279041, 4.6125597 45.5275266)",,,,,
588064560,False,,,Rue du Professeur Roux,residential,True,43.193,"LINESTRING (4.6134772 45.5282504, 4.6134172 45.5283159, 4.6132625 45.528607)",,,,,
1041735951,False,,,Rue de l'Hôtel de Ville,residential,False,3.83,"LINESTRING (4.6194089 45.5294117, 4.6193845 45.5294416)",,,,,
154519205,False,,,Square Marcel Paul,residential,False,159.28500000000003,"LINESTRING (4.6194089 45.5294117, 4.6194798 45.5294383, 4.6198569 45.5295798, 4.6208012 45.5299342, 4.6208522 45.5299662, 4.6208656 45.5300131, 4.6208361 45.5300676, 4.6207242 45.5302206)",,,,,
1041735951,False,,,Rue de l'Hôtel de Ville,residential,True,32.724000000000004,"LINESTRING (4.6194089 45.5294117, 4.6194541 45.5293547, 4.6194675 45.5293379, 4.6195467 45.5292378, 4.6196099 45.5291533)",,,,,
280330538,True,1,,Rue Jean Jaurès,tertiary,False,76.532,"LINESTRING (4.6188289 45.5301893, 4.617964 45.5298628)",,50,,,
154519194,True,,M 88,,secondary,False,4.212,"LINESTRING (4.6151927 45.528257, 4.6152066 45.5282749, 4.6152068 45.5282924)",roundabout,,,,
154519196,False,2,M 88,Quai Fleurdelix,secondary,False,34.056,"LINESTRING (4.615765 45.5285316, 4.61608 45.528595, 4.6161858 45.5286146)",,50,,,
154519203,True,1,M 88,Cours de Verdun,secondary,False,52.166,"LINESTRING (4.615765 45.5285316, 4.6156299 45.528525, 4.615536 45.5284986, 4.6153724 45.5284329, 4.6152242 45.5283803, 4.6151929 45.5283695, 4.6151539 45.5283561)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,False,85.667,"LINESTRING (4.6217185 45.5305468, 4.6214932 45.5304791, 4.6211258 45.5303739, 4.6208146 45.5302612, 4.6207242 45.5302206)",,,,,
154519193,False,,,Avenue Maréchal Juin,residential,True,23.752,"LINESTRING (4.6217185 45.5305468, 4.6218568 45.5305861, 4.621997 45.5306335)",,,,,
154519206,False,,,Rue du Bief de la Pomme,residential,False,46.6,"LINESTRING (4.6217185 45.5305468, 4.6219331 45.5302893, 4.6219681 45.5302484, 4.6220043 45.5301797)",,,,,
154519194,True,,M 88,,secondary,False,7.305999999999999,"LINESTRING (4.6148265 45.5282027, 4.6148574 45.5281698, 4.6148856 45.5281524)",roundabout,,,,
154519199,True,1,M 88,Cours du 11 Novembre,secondary,False,151.73200000000003,"LINESTRING (4.6148265 45.5282027, 4.6147965 45.5281834, 4.6147578 45.5281639, 4.614439 45.5280082, 4.6142727 45.527918, 4.614042 45.5277902, 4.6139839 45.5277546, 4.6138918 45.5276982, 4.6137841 45.5276316, 4.6136907 45.527576, 4.6135002 45.5274539, 4.6133304 45.5273327)",,,,,
154519194,True,,M 88,,secondary,False,25.63,"LINESTRING (4.6149064 45.5281473, 4.6149614 45.5281571, 4.6151585 45.528237, 4.6151927 45.528257)",roundabout,,,,
