osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction,ref,bridge,lanes,width
"[8599840, 7742082, 6229292, 208111600, 168968275, 168968276]",False,"['Rue du Touch', 'Allée des Platanes']",tertiary,30,True,496.8020000000001,"LINESTRING (1.3508517 43.5808902, 1.3507548 43.5809744, 1.3506185 43.5811155, 1.3505345 43.581248, 1.3504934 43.5813373, 1.3503702 43.5815975, 1.3503206 43.581682, 1.3502864 43.5817403, 1.3502391 43.5818032, 1.3502108 43.5818388, 1.350159 43.5818918, 1.3500798 43.5819596, 1.3498668 43.5820906, 1.3497651 43.5821612, 1.3497057 43.58222, 1.3496222 43.5822987, 1.3492668 43.5827065, 1.3492073 43.5827674, 1.3491629 43.5828138, 1.349052 43.5828893, 1.3482606 43.5831945, 1.3481368 43.5832491, 1.3480065 43.5833238, 1.3479099 43.5833947, 1.347812 43.5834831, 1.3477805 43.5835127, 1.3477069 43.5835755, 1.3469747 43.5841445, 1.3469535 43.5841609, 1.3469158 43.584192)",,M 63w,yes,2,
30270632,False,Rue d'Anjou,residential,30,False,48.510000000000005,"LINESTRING (1.3424253 43.5853441, 1.342465 43.5853761, 1.3425047 43.585408, 1.342641 43.5855203, 1.3427514 43.5856113, 1.3427715 43.5856329, 1.3428054 43.5856805)",,,,,
"[857770248, 948424265]",False,Boulevard Eugène Montel,secondary,30,False,162.9,"LINESTRING (1.3424253 43.5853441, 1.3422975 43.5854239, 1.3417344 43.5857679, 1.3415863 43.585856, 1.3412949 43.5860292, 1.3411215 43.5861367, 1.3409409 43.5862472, 1.3409142 43.5862612, 1.340873 43.5862829)",,,,"['2', '3']",
857770248,False,Boulevard Eugène Montel,secondary,30,True,28.9,"LINESTRING (1.3424253 43.5853441, 1.3425556 43.5852592, 1.3426927 43.5851708)",,,,3,
30270632,False,Rue d'Anjou,residential,30,False,47.214,"LINESTRING (1.3430221 43.5856826, 1.3431336 43.5857028, 1.3433502 43.5857854, 1.3434481 43.585831, 1.3435245 43.5858884)",,,,,
30270632,False,Rue d'Anjou,residential,30,True,17.609,"LINESTRING (1.3430221 43.5856826, 1.342917 43.5856712, 1.3428717 43.5856744, 1.3428054 43.5856805)",,,,,
33859452,False,Impasse d'Artois,residential,,False,64.517,"LINESTRING (1.3430221 43.5856826, 1.3430156 43.5856518, 1.3430203 43.5856309, 1.3430391 43.5855921, 1.3430659 43.585543, 1.3431115 43.5854872, 1.3434099 43.5853079, 1.3434213 43.58522)",,,,,
30270640,False,Place d'Artois,residential,30,False,71.559,"LINESTRING (1.3440227 43.5855921, 1.3440449 43.5855391, 1.3440429 43.5854736, 1.3441204 43.5854267, 1.3443091 43.5855892, 1.3442092 43.5856455, 1.3441575 43.585627, 1.3440227 43.5855921)",,,,,
30270640,False,Place d'Artois,residential,30,True,71.559,"LINESTRING (1.3440227 43.5855921, 1.3441575 43.585627, 1.3442092 43.5856455, 1.3443091 43.5855892, 1.3441204 43.5854267, 1.3440429 43.5854736, 1.3440449 43.5855391, 1.3440227 43.5855921)",,,,,
30270640,False,Place d'Artois,residential,30,True,51.928,"LINESTRING (1.3440227 43.5855921, 1.3436315 43.5858255, 1.343552 43.5858743, 1.3435245 43.5858884)",,,,,
