osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access
"[836526710, 139669295]",False,2,Avenue du 11 Novembre 1918,tertiary,50,False,340.82200000000006,"LINESTRING (4.7955931 45.7359819, 4.7956487 45.7360974, 4.7957527 45.7363132, 4.7958029 45.7364296, 4.7958209 45.7364683, 4.7959028 45.7366634, 4.795946 45.7367702, 4.7964334 45.7379746, 4.7966948 45.7386205, 4.7967926 45.7388662, 4.7968161 45.7389253)",
2079194,True,,Chemin du Plan du Loup,residential,,False,116.35500000000002,"LINESTRING (4.7956728 45.7350007, 4.7959001 45.7350077, 4.7960646 45.7350633, 4.7961572 45.735159, 4.7965025 45.7357568)",destination
2079222,False,,Allée de la Roseraie,residential,,False,95.724,"LINESTRING (4.7956728 45.7350007, 4.7955474 45.7345968, 4.7953788 45.7343764, 4.7953257 45.7342779, 4.7953255 45.7341854)",
240168596,False,2,Rue Châtelain,tertiary,50,False,230.26399999999998,"LINESTRING (4.7965025 45.7357568, 4.7968969 45.7356814, 4.7972845 45.7356243, 4.7981849 45.7355185, 4.7992464 45.735389, 4.799351 45.7353643, 4.7993902 45.7353319)",
240168596,False,2,Rue Châtelain,tertiary,50,True,74.886,"LINESTRING (4.7965025 45.7357568, 4.7962966 45.7358078, 4.7957877 45.7359337, 4.7955931 45.7359819)",
2079129,False,,Rue du Verger,residential,,True,315.055,"LINESTRING (4.7977777 45.733986, 4.7975265 45.7341137, 4.7962957 45.7343934, 4.7962055 45.7343659, 4.7960294 45.7341328, 4.7960239 45.7341006, 4.7960606 45.734071, 4.7962765 45.7339812, 4.796298 45.7339206, 4.7960204 45.7335301, 4.7960024 45.7335057, 4.796762 45.7332082)",
144869687,False,,Chemin de Montray,tertiary,,True,117.21199999999999,"LINESTRING (4.7977777 45.733986, 4.7976364 45.7338553, 4.7974956 45.7337397, 4.7972649 45.7335613, 4.7972019 45.7335259, 4.7969991 45.7333809, 4.7968091 45.7332451, 4.796762 45.7332082)",
144869687,False,,Chemin de Montray,tertiary,,False,196.53500000000003,"LINESTRING (4.7977777 45.733986, 4.7985929 45.7346125, 4.7990377 45.7349842, 4.7993423 45.7352388, 4.7993959 45.7352919, 4.7993902 45.7353319)",
2079129,False,,Rue du Verger,residential,,False,315.05500000000006,"LINESTRING (4.796762 45.7332082, 4.7960024 45.7335057, 4.7960204 45.7335301, 4.796298 45.7339206, 4.7962765 45.7339812, 4.7960606 45.734071, 4.7960239 45.7341006, 4.7960294 45.7341328, 4.7962055 45.7343659, 4.7962957 45.7343934, 4.7975265 45.7341137, 4.7977777 45.733986)",
144869687,False,,Chemin de Montray,tertiary,,False,117.21200000000002,"LINESTRING (4.796762 45.7332082, 4.7968091 45.7332451, 4.7969991 45.7333809, 4.7972019 45.7335259, 4.7972649 45.7335613, 4.7974956 45.7337397, 4.7976364 45.7338553, 4.7977777 45.733986)",
144869687,False,,Chemin de Montray,tertiary,,True,90.19399999999999,"LINESTRING (4.796762 45.7332082, 4.7966207 45.7330937, 4.7965256 45.7330167, 4.7962585 45.7328039, 4.7960035 45.7325937)",
2079222,False,,Allée de la Roseraie,residential,,True,93.405,"LINESTRING (4.7955882 45.7335798, 4.7956691 45.7336809, 4.7958411 45.7339148, 4.7954303 45.7340738, 4.7953255 45.7341854)",
4485003,False,,Allée de la Roseraie,residential,,False,57.772000000000006,"LINESTRING (4.7946626 45.7343666, 4.7951931 45.7341604, 4.7953255 45.7341854)",
2079222,False,,Allée de la Roseraie,residential,,False,93.405,"LINESTRING (4.7953255 45.7341854, 4.7954303 45.7340738, 4.7958411 45.7339148, 4.7956691 45.7336809, 4.7955882 45.7335798)",
2079222,False,,Allée de la Roseraie,residential,,True,95.72399999999999,"LINESTRING (4.7953255 45.7341854, 4.7953257 45.7342779, 4.7953788 45.7343764, 4.7955474 45.7345968, 4.7956728 45.7350007)",
4485003,False,,Allée de la Roseraie,residential,,True,57.772000000000006,"LINESTRING (4.7953255 45.7341854, 4.7951931 45.7341604, 4.7946626 45.7343666)",
2079162,False,,Rue Claude Monet,residential,,True,296.02599999999995,"LINESTRING (4.7946835 45.7337892, 4.7944956 45.7338848, 4.7941469 45.733984, 4.7940468 45.7339708, 4.7939268 45.7338137, 4.7939381 45.733669, 4.7942116 45.7333352, 4.795829 45.732708, 4.7960035 45.7325937)",
2079162,False,,Rue Claude Monet,residential,,False,296.02600000000007,"LINESTRING (4.7960035 45.7325937, 4.795829 45.732708, 4.7942116 45.7333352, 4.7939381 45.733669, 4.7939268 45.7338137, 4.7940468 45.7339708, 4.7941469 45.733984, 4.7944956 45.7338848, 4.7946835 45.7337892)",
144869687,False,,Chemin de Montray,tertiary,,False,90.194,"LINESTRING (4.7960035 45.7325937, 4.7962585 45.7328039, 4.7965256 45.7330167, 4.7966207 45.7330937, 4.796762 45.7332082)",
5105818,False,,Rue Deshay,unclassified,,False,29.019,"LINESTRING (4.7993902 45.7353319, 4.7994806 45.7353709, 4.7995509 45.7354252, 4.799622 45.7355274)",
144869687,False,,Chemin de Montray,tertiary,,True,196.535,"LINESTRING (4.7993902 45.7353319, 4.7993959 45.7352919, 4.7993423 45.7352388, 4.7990377 45.7349842, 4.7985929 45.7346125, 4.7977777 45.733986)",
