osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction
25764937,,,Rue de la Comète,residential,True,False,19.98,"LINESTRING (2.2846191 48.9123591, 2.2846938 48.9123882, 2.284719 48.912398, 2.2848543 48.9124507)",30,
863261880,,D 909,Avenue d'Argenteuil,secondary,False,False,29.78,"LINESTRING (2.2846191 48.9123591, 2.2844714 48.9125518, 2.2844324 48.9125971)",50,
863261882,2,D 909,Avenue d'Argenteuil,secondary,False,True,32.099999999999994,"LINESTRING (2.2846191 48.9123591, 2.2846327 48.9123407, 2.284655 48.9123105, 2.2846684 48.9122917, 2.2846922 48.9122585, 2.2848071 48.9120982)",50,
436695882,,,Rue de Colombes,residential,True,False,85.693,"LINESTRING (2.2856861 48.9121744, 2.2861781 48.9120184, 2.2866896 48.9119612, 2.2867946 48.9119461)",30,
56071039,,,Rue Mauriceau,residential,False,False,36.117999999999995,"LINESTRING (2.2867946 48.9119461, 2.2868517 48.9119717, 2.2869652 48.9120227, 2.2872005 48.9121314)",,
337853045,,D 909,Avenue d'Argenteuil,secondary,False,True,79.801,"LINESTRING (2.2835485 48.9138341, 2.2840078 48.913183)",50,
337853045,,D 909,Avenue d'Argenteuil,secondary,False,False,86.50399999999999,"LINESTRING (2.2835485 48.9138341, 2.2835122 48.9139037, 2.2831745 48.9145722)",50,
19794356,,,Rue Jean Dussourd,residential,True,False,12.518,"LINESTRING (2.2915165 48.9070656, 2.2915374 48.9070571, 2.2915656 48.90705, 2.2916071 48.9070447, 2.2916447 48.9070456, 2.2916636 48.9070475, 2.2916807 48.9070499)",30,
24670518,2,D 7,Quai du Docteur Dervaux,primary,True,False,69.44,"LINESTRING (2.2915165 48.9070656, 2.291394 48.9069937, 2.2907869 48.9066657)",50,
25764125,,,Rue Malakoff,residential,True,False,65.423,"LINESTRING (2.286254 48.9149679, 2.2861829 48.914939, 2.2854965 48.9146543)",30,
"[791668352, 791668345, 791668351]",,,Rue du Révérend Père Christian Gilbert,residential,True,False,166.823,"LINESTRING (2.286254 48.9149679, 2.2863204 48.9149012, 2.2865174 48.9147033, 2.2866804 48.9145499, 2.2874516 48.9138816, 2.2875116 48.9138289, 2.2875424 48.9138025, 2.287595 48.9137545)",30,
"[791668356, 791668357, 791668358]",,,Rue du Révérend Père Christian Gilbert,residential,True,False,363.96999999999997,"LINESTRING (2.2880698 48.9134068, 2.2881312 48.9133556, 2.2883223 48.9132016, 2.2884366 48.9130963, 2.2891943 48.9123532, 2.2893968 48.9121545, 2.2896319 48.9119258, 2.2898893 48.9116792, 2.2902849 48.9112773, 2.2903673 48.9111972, 2.2907319 48.9108518, 2.2908025 48.910783, 2.29082 48.9107656, 2.2908654 48.9107004)",30,
25765436,,,Rue Buffon,residential,True,False,131.74599999999998,"LINESTRING (2.287595 48.9137545, 2.2875947 48.9136939, 2.2876018 48.9136705, 2.2877155 48.913437, 2.2878081 48.9132291, 2.2878358 48.913091, 2.2878285 48.913044, 2.2876965 48.912723, 2.287666 48.9126925, 2.2876221 48.9126697, 2.2875638 48.9126438)",30,
"[791668348, 791668349, 791668350]",,,Rue de la Comète,residential,True,False,78.36099999999999,"LINESTRING (2.287595 48.9137545, 2.2877118 48.9138051, 2.2878859 48.9138698, 2.2885206 48.91411)",30,
"[791668352, 791668353, 791668354, 791668355, 791668356]",,,Rue du Révérend Père Christian Gilbert,residential,True,False,52.199,"LINESTRING (2.287595 48.9137545, 2.2876668 48.9137238, 2.2876879 48.9137086, 2.2877929 48.9136227, 2.2879015 48.9135376, 2.2880043 48.9134593, 2.2880698 48.9134068)",30,
25764116,,,Rue des Parisiens,residential,True,False,106.35300000000001,"LINESTRING (2.2844943 48.9142361, 2.2844638 48.9142753, 2.2838532 48.9150553, 2.2838365 48.9150888)",30,
25764125,,,Rue Malakoff,residential,True,False,82.322,"LINESTRING (2.2844943 48.9142361, 2.2844388 48.9142122, 2.2841014 48.9140671, 2.2836503 48.9138731, 2.2835485 48.9138341)",30,
25764125,,,Rue Malakoff,residential,True,False,86.753,"LINESTRING (2.2854965 48.9146543, 2.285429 48.914626, 2.2849837 48.9144402, 2.2844943 48.9142361)",30,
"[25764937, 791668347, 791668348]",,,Rue de la Comète,residential,True,False,73.089,"LINESTRING (2.2867813 48.9133734, 2.2868425 48.9134013, 2.287357 48.9136337, 2.2874891 48.9136925, 2.287595 48.9137545)",30,
620823211,,,Rue Hector Gonsalphe Fontaine,residential,True,False,94.42,"LINESTRING (2.2867813 48.9133734, 2.286732 48.9134157, 2.2860989 48.9140451, 2.2860642 48.9140796)",30,
25875353,,,Place de l'Hôtel de Ville,residential,True,False,84.018,"LINESTRING (2.2898455 48.910467, 2.2897615 48.9105288, 2.2891925 48.911088)",30,
119551419,2,D 9,Rue Pierre Brossolette,secondary,False,True,78.92999999999999,"LINESTRING (2.2898455 48.910467, 2.2899471 48.9104891, 2.2907589 48.9106781, 2.2907841 48.9106839, 2.2908654 48.9107004)",50,
1270637215,2,D 9,Place de l'Hôtel de Ville,secondary,False,False,42.331,"LINESTRING (2.2898455 48.910467, 2.2897196 48.9104385, 2.2895634 48.9104016, 2.2893014 48.9103365)",50,
"[791668408, 791668409, 166705301]",,,Rue de la Comète,residential,True,False,24.585,"LINESTRING (2.2889314 48.9142649, 2.2890032 48.9142942, 2.289146 48.9143521, 2.2892188 48.9143798)",30,
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,8.763,"LINESTRING (2.2919938 48.9134694, 2.2919751 48.9134308, 2.2919794 48.9133926)",,roundabout
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,11.318,"LINESTRING (2.2923053 48.913451, 2.2922846 48.9134816, 2.2922427 48.9135103, 2.2922011 48.9135184)",,roundabout
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,16.95,"LINESTRING (2.2920694 48.9133238, 2.2921222 48.9133253, 2.292222 48.9133403, 2.2922781 48.9133747)",,roundabout
"[791668372, 25765068, 791668373]",,,Rue Diderot,residential,True,False,167.89800000000002,"LINESTRING (2.2920694 48.9133238, 2.2920106 48.9132512, 2.2912093 48.9121118, 2.2911361 48.912014, 2.29109 48.9119582)",,
"[25764995, 791668393, 791668394, 791668395, 791668396]",,,Rue Rabelais,residential,True,False,132.07,"LINESTRING (2.2902253 48.9131083, 2.2902809 48.9131228, 2.2904224 48.9131467, 2.2917292 48.9133541, 2.2918505 48.9133733, 2.2919794 48.9133926)",,
117393612,,,Rue de la Concorde,residential,True,False,70.351,"LINESTRING (2.2902253 48.9131083, 2.2901874 48.9131561, 2.2901308 48.9132291, 2.2899078 48.9135125, 2.2897855 48.9136711)",30,
117393612,,,Rue de la Concorde,residential,True,False,31.699,"LINESTRING (2.2897855 48.9136711, 2.2896381 48.9138615, 2.2895857 48.9139241)",30,
166705301,,,Rue de la Comète,residential,True,False,8.746,"LINESTRING (2.2892188 48.9143798, 2.2893214 48.9144203)",30,
117393623,,,Rue de la Concorde,residential,True,False,13.171,"LINESTRING (2.2892188 48.9143798, 2.2892505 48.9143401, 2.2892895 48.9142962, 2.2892972 48.914293, 2.2893063 48.9142909, 2.2893222 48.9142911)",,
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,16.611,"LINESTRING (2.2922011 48.9135184, 2.2921551 48.9135189, 2.2920375 48.9134944, 2.2919938 48.9134694)",,roundabout
25765059,,,Rue Diderot,residential,True,False,138.4,"LINESTRING (2.2922011 48.9135184, 2.2922481 48.9135804, 2.2928891 48.9145368, 2.2929827 48.9146517)",30,
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,9.053,"LINESTRING (2.2922781 48.9133747, 2.2923089 48.9134128, 2.2923053 48.913451)",,roundabout
25765085,,,Rue Jean-Jacques Rousseau,residential,True,False,128.489,"LINESTRING (2.2922781 48.9133747, 2.2923855 48.9133387, 2.2936625 48.9129149, 2.2937541 48.9128858, 2.2938452 48.912851)",30,
25764974,,,Place Jean-Jacques Rousseau,residential,True,False,10.564,"LINESTRING (2.2919794 48.9133926, 2.2919938 48.9133638, 2.2920301 48.9133377, 2.2920694 48.9133238)",,roundabout
"[25764992, 791668385, 791668386, 791668397, 791668398]",,,Rue Jean-Jacques Rousseau,residential,True,False,112.486,"LINESTRING (2.2906189 48.9139241, 2.2907228 48.9138926, 2.290873 48.9138424, 2.2917112 48.9135603, 2.2918423 48.9135176, 2.2919938 48.9134694)",,
"[791668389, 791668390, 791668391, 791668392, 25765063]",,,Rue Montaigne,residential,True,False,67.144,"LINESTRING (2.2906189 48.9139241, 2.2905042 48.9138893, 2.2903762 48.9138473, 2.2900037 48.913731, 2.2898615 48.9136866, 2.2897855 48.9136711)",,
117343757,,,Rue Jean-Jacques Rousseau,residential,True,False,21.826999999999998,"LINESTRING (2.2950848 48.9124408, 2.2952893 48.9123758, 2.2953584 48.9123637)",,
117343770,,,,unclassified,True,False,13.932999999999998,"LINESTRING (2.2950848 48.9124408, 2.2951294 48.9124494, 2.2951673 48.9124641, 2.2951958 48.9124873, 2.2952197 48.9125197)",,
884171865,,,Rue de Prony,residential,True,False,3.663,"LINESTRING (2.2952197 48.9125197, 2.2951938 48.9125479)",30,
"[791668387, 791668388, 25765063]",,,Rue Montaigne,residential,True,False,190.76399999999998,"LINESTRING (2.2929827 48.9146517, 2.292771 48.9145809, 2.2922417 48.9144187, 2.2909669 48.914025, 2.2908248 48.9139821, 2.2907306 48.9139551, 2.2906189 48.9139241)",,
25766277,,,Rue Montesquieu,residential,True,False,51.418,"LINESTRING (2.2937093 48.914089, 2.2935355 48.9136797, 2.2935202 48.9136436)",,
884171864,,,Rue de Prony,residential,True,False,82.263,"LINESTRING (2.2937093 48.914089, 2.2930301 48.9145922, 2.2929827 48.9146517)",30,
117393612,,,Rue de la Concorde,residential,True,False,142.678,"LINESTRING (2.29109 48.9119582, 2.2906168 48.9125568, 2.2902253 48.9131083)",30,
25765075,,,Rue Rabelais,residential,True,False,91.329,"LINESTRING (2.2935202 48.9136436, 2.2934685 48.9136353, 2.2923918 48.9134633, 2.2923053 48.913451)",30,
25766277,,,Rue Montesquieu,residential,True,False,91.281,"LINESTRING (2.2935202 48.9136436, 2.293793 48.9129683, 2.2938452 48.912851)",,
