osmid,oneway,ref,name,highway,junction,reversed,length,geometry,maxspeed,lanes,bridge
413142343,False,,شریعتی ۵,residential,,True,122.59700000000001,"LINESTRING (52.6437749 36.7016794, 52.6430882 36.7019547, 52.6426159 36.7022609)",,,
53380057,True,,خیابان فلسطین,secondary,,False,120.72,"LINESTRING (52.6449537 36.7017759, 52.6458323 36.702602)",,,
378220712,False,,شریعتی ۷,residential,,True,104.432,"LINESTRING (52.6449537 36.7017759, 52.644031 36.7023545)",,,
413142349,False,,,residential,,False,109.845,"LINESTRING (52.6427449 36.7053491, 52.6428415 36.7051556, 52.6428522 36.7048846, 52.6427907 36.7043787)",,,
413142343,False,,شریعتی ۵,residential,,False,122.59700000000001,"LINESTRING (52.6426159 36.7022609, 52.6430882 36.7019547, 52.6437749 36.7016794)",,,
1270818083,True,,شریعتی,primary,,False,81.723,"LINESTRING (52.6426159 36.7022609, 52.6427638 36.7024173, 52.6431814 36.7028393)",50,,
1270818085,False,,,primary_link,,True,5.777,"LINESTRING (52.6431814 36.7028393, 52.6431285 36.7028693)",,,
378220712,False,,شریعتی ۷,residential,,False,92.987,"LINESTRING (52.6431814 36.7028393, 52.6435277 36.7026521, 52.644031 36.7023545)",,,
427229542,True,,شریعتی,primary,,False,44.293,"LINESTRING (52.6431814 36.7028393, 52.643372 36.7030394, 52.6434773 36.7031592)",50,,
429698654,True,,امام خمینی ۳,residential,,False,54.267,"LINESTRING (52.6502468 36.6971202, 52.6496495 36.6972141)",20,,
429703927,True,,بلوار امام خمینی,primary,,False,83.281,"LINESTRING (52.6504024 36.6964382, 52.6503282 36.6971848)",,,
627560150,True,,امام خمینی ۴,residential,,False,48.119,"LINESTRING (52.6504024 36.6964382, 52.6509381 36.6964908)",,,
53380105,True,18,بلوار شریفی,primary,,False,34.199000000000005,"LINESTRING (52.650693 36.6981463, 52.6505396 36.6982214, 52.6504661 36.6982574, 52.650364 36.6983044)",60,2,
