osmid,highway,oneway,reversed,length,geometry,name,junction
396736769,residential,False,False,165.189,"LINESTRING (48.343202 31.8730982, 48.3435795 31.873717, 48.3436086 31.8738044, 48.3436033 31.8739098, 48.3437115 31.8741923, 48.343759 31.8743425, 48.3437949 31.8744789)",حافظ,
396736769,residential,False,True,84.861,"LINESTRING (48.343202 31.8730982, 48.3430594 31.8729054, 48.3427902 31.8725265, 48.3427456 31.8724416)",حافظ,
396736748,residential,False,True,122.769,"LINESTRING (48.3401739 31.8732226, 48.339016 31.8737247)",,
396736772,residential,False,True,81.691,"LINESTRING (48.3401739 31.8732226, 48.3397211 31.8725966)",امام خمینی,
396736772,residential,False,False,142.77700000000002,"LINESTRING (48.3401739 31.8732226, 48.3402027 31.8732624, 48.3406321 31.8739885, 48.3408248 31.8743805)",امام خمینی,
"[708424997, 396736838]",residential,False,False,202.928,"LINESTRING (48.3368564 31.8733602, 48.3360063 31.8738242, 48.3357951 31.8739453, 48.3357344 31.8740619, 48.3357385 31.8742589, 48.3357475 31.8746847)",,
396736758,residential,False,True,53.862,"LINESTRING (48.3389393 31.8735444, 48.3383835 31.8736533)",,
396736847,residential,False,True,21.317,"LINESTRING (48.3389393 31.8735444, 48.339016 31.8737247)",آزادی,
396736847,residential,False,False,141.103,"LINESTRING (48.3389393 31.8735444, 48.338876 31.8731745, 48.3389446 31.8730131, 48.3388256 31.8722966)",آزادی,
396736758,residential,False,False,53.862,"LINESTRING (48.3383835 31.8736533, 48.3389393 31.8735444)",,
396736832,residential,False,True,63.28,"LINESTRING (48.3383835 31.8736533, 48.3384813 31.8742163)",,
396736832,residential,False,False,84.61099999999999,"LINESTRING (48.3383835 31.8736533, 48.3383413 31.8734694, 48.3382647 31.8731914, 48.338167 31.8731421, 48.3381 31.8729592)",,
396736748,residential,False,False,122.769,"LINESTRING (48.339016 31.8737247, 48.3401739 31.8732226)",,
396736847,residential,False,False,21.317,"LINESTRING (48.339016 31.8737247, 48.3389393 31.8735444)",آزادی,
396736847,residential,False,True,44.356,"LINESTRING (48.339016 31.8737247, 48.3390423 31.8737866, 48.3391449 31.8741081)",آزادی,
396736718,residential,False,True,63.807,"LINESTRING (48.3391449 31.8741081, 48.3384813 31.8742163)",,
396736847,residential,False,False,44.356,"LINESTRING (48.3391449 31.8741081, 48.3390423 31.8737866, 48.339016 31.8737247)",آزادی,
396736847,residential,False,True,69.638,"LINESTRING (48.3391449 31.8741081, 48.3392218 31.8743493, 48.3393037 31.8747192)",آزادی,
396736718,residential,False,False,63.807,"LINESTRING (48.3384813 31.8742163, 48.3391449 31.8741081)",,
396736718,residential,False,True,42.142,"LINESTRING (48.3384813 31.8742163, 48.338043 31.8742877)",,
396736832,residential,False,False,63.28,"LINESTRING (48.3384813 31.8742163, 48.3383835 31.8736533)",,
396736716,residential,False,True,140.449,"LINESTRING (48.338043 31.8742877, 48.3376973 31.8730592)",مدرس,
396736718,residential,False,False,42.142,"LINESTRING (48.338043 31.8742877, 48.3384813 31.8742163)",,
396736716,residential,False,False,100.23599999999999,"LINESTRING (48.338043 31.8742877, 48.3381037 31.8748236, 48.3381853 31.87518)",مدرس,
396736718,residential,False,True,141.04,"LINESTRING (48.338043 31.8742877, 48.3373764 31.8744112, 48.3373737 31.8745098, 48.3373288 31.8745973, 48.3371916 31.8746219, 48.3370807 31.8748215, 48.3369843 31.8749533)",,
396736772,residential,False,False,22.704,"LINESTRING (48.3408248 31.8743805, 48.3409175 31.8745689)",امام خمینی,
396736772,residential,False,True,142.777,"LINESTRING (48.3408248 31.8743805, 48.3406321 31.8739885, 48.3402027 31.8732624, 48.3401739 31.8732226)",امام خمینی,
1106293461,residential,False,True,148.60899999999998,"LINESTRING (48.3408248 31.8743805, 48.3399953 31.8745376, 48.3393037 31.8747192)",ابوذر,
396736703,residential,False,True,113.11699999999999,"LINESTRING (48.3437949 31.8744789, 48.3428988 31.8745343, 48.3425997 31.8745465)",سعدی,
396736769,residential,False,False,51.952,"LINESTRING (48.3437949 31.8744789, 48.3438317 31.8745624, 48.3439624 31.8749238)",حافظ,
396736769,residential,False,True,165.189,"LINESTRING (48.3437949 31.8744789, 48.343759 31.8743425, 48.3437115 31.8741923, 48.3436033 31.8739098, 48.3436086 31.8738044, 48.3435795 31.873717, 48.343202 31.8730982)",حافظ,
396736703,residential,False,False,113.11699999999999,"LINESTRING (48.3425997 31.8745465, 48.3428988 31.8745343, 48.3437949 31.8744789)",سعدی,
396736703,residential,False,True,145.813,"LINESTRING (48.3425997 31.8745465, 48.3416401 31.8746194, 48.3413116 31.8745687, 48.3410652 31.874556)",سعدی,
396736809,residential,False,True,262.024,"LINESTRING (48.3425997 31.8745465, 48.3424918 31.8742231, 48.3422775 31.8738136, 48.3421748 31.8730748, 48.3418637 31.8722898)",ایثار,
396736703,residential,False,True,14.021,"LINESTRING (48.3410652 31.874556, 48.3409175 31.8745689)",سعدی,
396736703,residential,False,False,145.813,"LINESTRING (48.3410652 31.874556, 48.3413116 31.8745687, 48.3416401 31.8746194, 48.3425997 31.8745465)",سعدی,
396736835,residential,False,True,234.094,"LINESTRING (48.3410652 31.874556, 48.3411996 31.8740836, 48.3413863 31.8738141, 48.3414535 31.8736683, 48.3414535 31.8735414, 48.3413079 31.873199, 48.3410017 31.8725934)",نهضت,
396736703,residential,False,False,14.021,"LINESTRING (48.3409175 31.8745689, 48.3410652 31.874556)",سعدی,
396736772,residential,False,False,35.366,"LINESTRING (48.3409175 31.8745689, 48.3410618 31.8748624)",امام خمینی,
396736772,residential,False,True,22.704,"LINESTRING (48.3409175 31.8745689, 48.3408248 31.8743805)",امام خمینی,
396736709,residential,False,True,308.855,"LINESTRING (48.3344561 31.87468, 48.3341287 31.875162, 48.3334529 31.8755902, 48.3334449 31.8756507, 48.335143 31.8757308)",,
"[1106292185, 396736811]",residential,False,False,387.15399999999994,"LINESTRING (48.3344561 31.87468, 48.3346118 31.8744625, 48.3346752 31.8743347, 48.3350078 31.8741038, 48.3353753 31.8737458, 48.3357603 31.873438, 48.3362718 31.8730702, 48.3368841 31.872731, 48.336977 31.8726927, 48.33753 31.8724647)",باهنر,
