osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes
982810547,Route Chehou Said,secondary,50,False,False,33.226,"LINESTRING (45.0597281 -12.7234141, 45.0597375 -12.7233554, 45.0597395 -12.7232985, 45.0597334 -12.7232495, 45.0597106 -12.7231822, 45.05968 -12.7231276)",D 1,,
"[533176424, 317632443, 533176423]",Rue Mayassa Boina,residential,,False,False,247.94099999999997,"LINESTRING (45.05968 -12.7231276, 45.0597629 -12.7230965, 45.0598198 -12.7230487, 45.0598688 -12.7229861, 45.0599157 -12.722899, 45.0599848 -12.722757, 45.0600252 -12.722674, 45.0601009 -12.7225117, 45.0601499 -12.722435, 45.060214 -12.7223465, 45.0602896 -12.7222614, 45.06041 -12.7221321, 45.0604475 -12.7220836, 45.0604856 -12.7220288, 45.0605073 -12.7219733, 45.0605101 -12.7219311, 45.0605008 -12.7218847, 45.0604871 -12.7218453, 45.060459 -12.7218186, 45.0604237 -12.7217982, 45.060379 -12.7217828, 45.0603358 -12.7217743, 45.0602731 -12.7217652, 45.0601924 -12.7217624, 45.0599935 -12.7217681, 45.0598904 -12.721768, 45.0598302 -12.721762)",,,
982810547,Route Chehou Said,secondary,50,False,False,66.39999999999999,"LINESTRING (45.05968 -12.7231276, 45.0596242 -12.7230912, 45.0595591 -12.7230722, 45.0595 -12.7230677, 45.0594103 -12.7230722, 45.0593043 -12.7230846, 45.059218 -12.7230949, 45.0591729 -12.7231003, 45.0590844 -12.7231082)",D 1,,
982810547,Route Chehou Said,secondary,50,False,True,33.226,"LINESTRING (45.05968 -12.7231276, 45.0597106 -12.7231822, 45.0597334 -12.7232495, 45.0597395 -12.7232985, 45.0597375 -12.7233554, 45.0597281 -12.7234141)",D 1,,
425339783,Impasse Siaka Saîd-Baou,residential,,False,False,70.574,"LINESTRING (45.0586686 -12.7214475, 45.0586237 -12.7214756, 45.0584245 -12.7215332, 45.0583535 -12.7215469, 45.0582945 -12.7215567, 45.0582153 -12.7215534, 45.0581436 -12.7215404, 45.0580933 -12.7215201, 45.0580752 -12.721505, 45.0580665 -12.7214802)",,,
533176419,Rue Mayassa Boina,residential,,False,False,130.851,"LINESTRING (45.0586686 -12.7214475, 45.0591143 -12.7215908, 45.0598302 -12.721762)",,,
"[358418011, 533176419]",Rue Mayassa Boina,residential,,False,True,122.738,"LINESTRING (45.0586686 -12.7214475, 45.0585915 -12.7214089, 45.0584708 -12.7213422, 45.0584165 -12.721299, 45.058389 -12.7212715, 45.0583749 -12.721248, 45.0583744 -12.7212073, 45.0583906 -12.7211719, 45.0584184 -12.7211455, 45.0584647 -12.7211214, 45.058535 -12.7211041, 45.0586238 -12.7210958, 45.0587605 -12.7210838, 45.058871 -12.7210672, 45.0590049 -12.7210249, 45.059018 -12.7210164, 45.0590251 -12.7210033, 45.059028 -12.7209903)",,,
"[533176419, 358418011]",Rue Mayassa Boina,residential,,False,False,122.73800000000001,"LINESTRING (45.059028 -12.7209903, 45.0590251 -12.7210033, 45.059018 -12.7210164, 45.0590049 -12.7210249, 45.058871 -12.7210672, 45.0587605 -12.7210838, 45.0586238 -12.7210958, 45.058535 -12.7211041, 45.0584647 -12.7211214, 45.0584184 -12.7211455, 45.0583906 -12.7211719, 45.0583744 -12.7212073, 45.0583749 -12.721248, 45.058389 -12.7212715, 45.0584165 -12.721299, 45.0584708 -12.7213422, 45.0585915 -12.7214089, 45.0586686 -12.7214475)",,,
520567456,Rue Be Sodrou,residential,,False,False,132.352,"LINESTRING (45.059028 -12.7209903, 45.0591528 -12.7210243, 45.0594974 -12.7210661, 45.0595464 -12.7210648, 45.0595933 -12.7210537, 45.0596376 -12.7210393, 45.0596739 -12.7210069, 45.0597147 -12.7209661, 45.0597447 -12.7208933, 45.0597583 -12.7208078, 45.0597503 -12.7206828, 45.0597288 -12.7204945)",,,
533176422,Rue Be Sodrou,residential,,False,True,92.894,"LINESTRING (45.059028 -12.7209903, 45.0590203 -12.7209641, 45.0589985 -12.7209347, 45.0589489 -12.7209039, 45.0589057 -12.720883, 45.0588708 -12.7208729, 45.0588255 -12.7208701, 45.0586237 -12.7208608, 45.0585673 -12.7208508, 45.0585111 -12.7208274, 45.0584802 -12.7207921, 45.0584621 -12.7207601, 45.0584568 -12.7207254, 45.0584621 -12.7206423, 45.0584709 -12.7206011, 45.0584902 -12.7205756)",,,
