osmid,name,highway,oneway,reversed,length,bridge,geometry,junction,maxspeed
137309456,Avenida de la Constitución,residential,False,False,29.872,,"LINESTRING (-5.0269306 42.3704781, -5.0268645 42.3704632, -5.0265794 42.3704086)",,
27022459,Avenida Fernando de Castro,residential,False,False,41.888,,"LINESTRING (-5.026438 42.3694065, -5.0269462 42.3694371)",,
27022459,Avenida Fernando de Castro,residential,False,True,65.819,,"LINESTRING (-5.026438 42.3694065, -5.0256404 42.3693506)",,
712337304,,residential,False,False,15.179,,"LINESTRING (-5.026438 42.3694065, -5.0264604 42.369271)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,41.839,,"LINESTRING (-5.0264604 42.369271, -5.0269669 42.3693103)",,
712337304,,residential,False,True,15.179,,"LINESTRING (-5.0264604 42.369271, -5.026438 42.3694065)",,
27021933,Avenida Fernando de Castro,tertiary,False,False,60.288,,"LINESTRING (-5.0264604 42.369271, -5.0261869 42.3692521, -5.0257305 42.369215)",,
27021933,Avenida Fernando de Castro,tertiary,False,True,5.563,,"LINESTRING (-5.025663 42.369211, -5.0257305 42.369215)",,
27022463,,residential,False,True,15.633,,"LINESTRING (-5.025663 42.369211, -5.0256404 42.3693506)",,
24747567,Avenida de la Constitución,residential,False,True,16.593,,"LINESTRING (-5.0286579 42.3712586, -5.0287289 42.3713983)",,
27022465,Calle Regina Franco,residential,False,False,9.155,,"LINESTRING (-5.0286579 42.3712586, -5.028766 42.3712786)",,
24747567,Avenida de la Constitución,residential,False,False,108.74600000000001,,"LINESTRING (-5.0286579 42.3712586, -5.0284002 42.3711031, -5.027888 42.3707532, -5.0276704 42.3706078)",,
"[27022465, 82788687]","['Calle Regina Franco', 'Calle el Rastro']",residential,False,False,179.981,,"LINESTRING (-5.0296229 42.3714039, -5.0299636 42.3714553, -5.0306636 42.3715231, -5.0307135 42.3713527, -5.030813 42.3710901, -5.0307572 42.3709546, -5.0306666 42.3707333, -5.0306587 42.3707139)",,
27022465,Calle Regina Franco,residential,False,True,71.777,,"LINESTRING (-5.0296229 42.3714039, -5.0294874 42.3713858, -5.0288958 42.3713026, -5.028766 42.3712786)",,
239452907,Plaza de Santiago,residential,False,False,49.343999999999994,,"LINESTRING (-5.0296229 42.3714039, -5.0296414 42.3713128, -5.0296108 42.3711689, -5.0295821 42.3711027, -5.0295728 42.3709664)",,
221714282,Calle Antonio Nicolás,residential,True,False,90.66900000000001,,"LINESTRING (-5.0295561 42.3707495, -5.0301673 42.3707332, -5.0306587 42.3707139)",,
239452907,Plaza de Santiago,residential,False,True,24.157,,"LINESTRING (-5.0295561 42.3707495, -5.0295574 42.3707669, -5.0295728 42.3709664)",,
265715257,Calle Legio VII,residential,False,False,47.584,,"LINESTRING (-5.0295561 42.3707495, -5.029555 42.3707257, -5.0295506 42.3706296, -5.0295502 42.370514, -5.0295425 42.3703844, -5.0295396 42.3703218)",,
239452908,Calle Legio VII,residential,True,False,49.577000000000005,,"LINESTRING (-5.0295396 42.3703218, -5.02956 42.3702763, -5.029586 42.3702469, -5.0296283 42.3702133, -5.0297163 42.3701772, -5.0298758 42.3701387, -5.0300249 42.3700948)",,
265715257,Calle Legio VII,residential,False,True,47.584,,"LINESTRING (-5.0295396 42.3703218, -5.0295425 42.3703844, -5.0295502 42.370514, -5.0295506 42.3706296, -5.029555 42.3707257, -5.0295561 42.3707495)",,
82788686,Calle la Vega,residential,False,False,9.499,,"LINESTRING (-5.0300249 42.3700948, -5.0301396 42.370084)",,
82788686,Calle la Vega,residential,False,True,51.824,,"LINESTRING (-5.0300249 42.3700948, -5.0297572 42.3700777, -5.0293954 42.3700892)",,
27022620,Calle Legio VII,residential,True,False,28.448,,"LINESTRING (-5.0293954 42.3700892, -5.0295396 42.3703218)",,
82788686,Calle la Vega,residential,False,False,51.824,,"LINESTRING (-5.0293954 42.3700892, -5.0297572 42.3700777, -5.0300249 42.3700948)",,
82788686,Calle la Vega,residential,False,True,116.264,,"LINESTRING (-5.0293954 42.3700892, -5.0289468 42.3701085, -5.0281987 42.370143, -5.0281168 42.3701328, -5.0280462 42.3701106, -5.0280059 42.3700813)",,
74208352,Calle de la Morería,residential,True,False,14.886,,"LINESTRING (-5.0312657 42.3726138, -5.03135 42.3724953)",,
27022621,Calle tras Alhóndiga,residential,True,False,40.513000000000005,,"LINESTRING (-5.0312657 42.3726138, -5.031065 42.3725061, -5.0308251 42.372469)",,
