osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,maxspeed
23806007,Aleja Zachodnia,residential,False,False,24.691,"LINESTRING (16.676922 54.3652933, 16.676885 54.3650723)",,,,
23806021,Plac Wolności,residential,True,False,77.06700000000001,"LINESTRING (16.6758509 54.3590404, 16.6757853 54.3590038, 16.6755895 54.3590041, 16.6755484 54.3590409, 16.6755605 54.3594896, 16.6755614 54.359523)",,,,
289379687,Plac Wolności,residential,False,True,53.998999999999995,"LINESTRING (16.6758509 54.3590404, 16.6758474 54.3591344, 16.6758626 54.3595259)",,,,
1243425253,Szarych Szeregów,residential,False,False,42.540000000000006,"LINESTRING (16.6758509 54.3590404, 16.6759101 54.3590396, 16.6764222 54.3589243, 16.6764673 54.3589142)",,,,
200840967,,residential,False,True,7.449,"LINESTRING (16.6776397 54.3608468, 16.6777012 54.3609034)",,,,
675506512,Mikołaja Kopernika,tertiary,False,False,55.285000000000004,"LINESTRING (16.6776397 54.3608468, 16.6779214 54.3607468, 16.6779347 54.3607414, 16.6783032 54.3605975, 16.6783574 54.3605781)",,,,
675506512,Mikołaja Kopernika,tertiary,False,True,70.508,"LINESTRING (16.6776397 54.3608468, 16.6774289 54.3609253, 16.6768679 54.3611341, 16.676724 54.3611894)",,,,
151590968,,residential,False,True,5.529,"LINESTRING (16.6769258 54.3612943, 16.6768537 54.3613209)",,,,
200840967,,residential,False,False,7.449,"LINESTRING (16.6777012 54.3609034, 16.6776397 54.3608468)",,,,
151590968,,residential,False,False,5.529,"LINESTRING (16.6768537 54.3613209, 16.6769258 54.3612943)",,,,
23806024,Powstańców Warszawskich,residential,False,False,16.865000000000002,"LINESTRING (16.6768537 54.3613209, 16.6767903 54.3612553, 16.676724 54.3611894)",,,,
23806024,Powstańców Warszawskich,residential,False,True,68.875,"LINESTRING (16.6768537 54.3613209, 16.6773357 54.3616759, 16.6775132 54.3618067)",,,,
178325180,Szarych Szeregów,residential,False,False,128.79999999999998,"LINESTRING (16.6764673 54.3589142, 16.67643 54.3588759, 16.6760286 54.3584609, 16.675854 54.3583606, 16.6756935 54.3583382, 16.6755357 54.3583379, 16.6751335 54.3583353, 16.6750367 54.3583809)",,,,
289379686,,residential,False,False,112.353,"LINESTRING (16.6764673 54.3589142, 16.6769773 54.358816, 16.6771095 54.3587883, 16.6768334 54.3584321, 16.6771006 54.3582971, 16.6771248 54.3582849)",,,,20
1243425253,Szarych Szeregów,residential,False,True,42.540000000000006,"LINESTRING (16.6764673 54.3589142, 16.6764222 54.3589243, 16.6759101 54.3590396, 16.6758509 54.3590404)",,,,
"[743654442, 23806036]",Basztowa,residential,True,False,145.94299999999998,"LINESTRING (16.6797155 54.3613859, 16.6800632 54.3614702, 16.680334 54.3615364, 16.680468 54.3615647, 16.6805215 54.3615754, 16.6806264 54.3615981, 16.68114 54.3617095, 16.681329 54.3617547, 16.6817918 54.3618915)",,,,
200769849,,residential,False,False,106.465,"LINESTRING (16.6797155 54.3613859, 16.6796864 54.361474, 16.6798171 54.3622845, 16.6798192 54.3622975, 16.6798398 54.3623363)",,,,
23806046,Tadeusza Kościuszki,residential,False,False,42.017,"LINESTRING (16.6798398 54.3623363, 16.6792308 54.3624662)",,,,
23806046,Tadeusza Kościuszki,residential,False,True,65.107,"LINESTRING (16.6798398 54.3623363, 16.6806711 54.3621602, 16.6807104 54.3621353, 16.6807649 54.3621177)",,,,
200769849,,residential,False,True,106.465,"LINESTRING (16.6798398 54.3623363, 16.6798192 54.3622975, 16.6798171 54.3622845, 16.6796864 54.361474, 16.6797155 54.3613859)",,,,
