osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
206511782,False,,,living_street,,True,38.91,"LINESTRING (18.9419534 50.3791623, 18.9423529 50.3791399, 18.9425 50.3791316)",
448955732,False,,,living_street,,False,27.219,"LINESTRING (18.9440481 50.3785272, 18.9440629 50.3787718)",
1089025506,False,2,Generała Jerzego Ziętka,tertiary,,False,27.139000000000003,"LINESTRING (18.9440481 50.3785272, 18.9438181 50.378542, 18.9437915 50.3785437, 18.9436673 50.3785516)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,True,63.403,"LINESTRING (18.9368597 50.3799296, 18.9377508 50.3798825)",
495359611,False,,Marszałka Józefa Piłsudskiego,residential,,False,149.35999999999999,"LINESTRING (18.9368597 50.3799296, 18.9349268 50.3800316, 18.9347605 50.3800404)",
544162647,False,,,living_street,,False,50.94200000000001,"LINESTRING (18.9368597 50.3799296, 18.9368347 50.3797614, 18.9368259 50.3796914, 18.9368117 50.3796271, 18.9367763 50.3796057, 18.9366454 50.3795617, 18.936608 50.379546)",
544162647,False,,,living_street,,True,15.923,"LINESTRING (18.9364204 50.3794673, 18.936608 50.379546)",
544162650,False,,,living_street,,False,67.53999999999999,"LINESTRING (18.9364204 50.3794673, 18.9363669 50.3794703, 18.9355891 50.3791831)",
544162647,False,,,living_street,,False,15.923,"LINESTRING (18.936608 50.379546, 18.9364204 50.3794673)",
544162647,False,,,living_street,,True,50.942,"LINESTRING (18.936608 50.379546, 18.9366454 50.3795617, 18.9367763 50.3796057, 18.9368117 50.3796271, 18.9368259 50.3796914, 18.9368347 50.3797614, 18.9368597 50.3799296)",
544162654,False,,,living_street,,False,63.494,"LINESTRING (18.936608 50.379546, 18.9364366 50.3797287, 18.9363764 50.3797828, 18.9363339 50.3798043, 18.9362561 50.3798122, 18.9361853 50.3798122, 18.9361251 50.3798009, 18.9359641 50.3797354)",
544162654,False,,,living_street,,True,63.494,"LINESTRING (18.9359641 50.3797354, 18.9361251 50.3798009, 18.9361853 50.3798122, 18.9362561 50.3798122, 18.9363339 50.3798043, 18.9363764 50.3797828, 18.9364366 50.3797287, 18.936608 50.379546)",
1169936469,False,,,living_street,,True,25.976,"LINESTRING (18.9440718 50.379416, 18.9440737 50.3791824)",
