osmid,oneway,highway,reversed,length,maxspeed,geometry,name
552452179,False,residential,False,48.689,30,"LINESTRING (51.9605678 27.8715866, 51.9607346 27.8711743)",
552452179,False,residential,True,93.591,30,"LINESTRING (51.9605678 27.8715866, 51.960073 27.8723057)",
552513097,False,residential,True,81.683,30,"LINESTRING (51.9605678 27.8715866, 51.9598048 27.8712956)",
552513097,False,residential,False,80.69800000000001,30,"LINESTRING (51.9605678 27.8715866, 51.9607203 27.8717235, 51.9612592 27.8719639)",
552452185,False,residential,True,98.366,30,"LINESTRING (51.9585389 27.8761006, 51.9580906 27.8768915)",
552453772,False,residential,False,73.823,30,"LINESTRING (51.9585389 27.8761006, 51.9589736 27.8755592)",
552595360,False,residential,False,115.483,30,"LINESTRING (51.9585389 27.8761006, 51.9595503 27.8766291)",تعاون
552595360,False,residential,True,78.98,30,"LINESTRING (51.9585389 27.8761006, 51.9578502 27.8757347)",تعاون
552452173,False,residential,False,54.31,30,"LINESTRING (51.9568401 27.8779432, 51.9569813 27.877471)",
552452180,False,tertiary,False,13.319,,"LINESTRING (51.9568401 27.8779432, 51.9569729 27.877967)",مهاجر
552452180,False,tertiary,True,40.188,,"LINESTRING (51.9568401 27.8779432, 51.9564394 27.8778713)",مهاجر
193310016,True,secondary,False,129.513,,"LINESTRING (51.9565543 27.876711, 51.9564394 27.8778713)",
552452183,False,residential,False,71.528,30,"LINESTRING (51.9565543 27.876711, 51.9572054 27.8769983)",
552452168,False,residential,False,75.901,30,"LINESTRING (51.9573828 27.8766186, 51.9580906 27.8768915)",
552452168,False,residential,True,49.533,30,"LINESTRING (51.9573828 27.8766186, 51.9569261 27.8764303)",
552452173,False,residential,False,108.493,30,"LINESTRING (51.9573828 27.8766186, 51.9578502 27.8757347)",
552452173,False,residential,True,45.68,30,"LINESTRING (51.9573828 27.8766186, 51.9572054 27.8769983)",
552452164,False,residential,False,47.664,30,"LINESTRING (51.9576365 27.8709663, 51.9580693 27.8711596)",
193310016,True,secondary,False,85.262,,"LINESTRING (51.9576365 27.8709663, 51.9574688 27.871195, 51.9572272 27.8716407)",
193310016,True,secondary,False,64.594,,"LINESTRING (51.9564394 27.8778713, 51.9563876 27.8784504)",
552452180,False,tertiary,False,40.188,,"LINESTRING (51.9564394 27.8778713, 51.9568401 27.8779432)",مهاجر
552452178,False,residential,False,78.26,30,"LINESTRING (51.9585428 27.874204, 51.9579153 27.8737708)",
552452178,False,residential,True,137.842,30,"LINESTRING (51.9585428 27.874204, 51.9596616 27.8749514)",
552452179,False,residential,False,44.613,30,"LINESTRING (51.9585428 27.874204, 51.9588595 27.8739166)",
552452179,False,residential,True,41.08,30,"LINESTRING (51.9585428 27.874204, 51.9583083 27.8745098)",
552452179,False,residential,False,51.963,30,"LINESTRING (51.9588595 27.8739166, 51.9592268 27.8735805)",
552452179,False,residential,True,44.613,30,"LINESTRING (51.9588595 27.8739166, 51.9585428 27.874204)",
552452182,False,residential,False,139.94,30,"LINESTRING (51.9588595 27.8739166, 51.9600525 27.8746034)",مادر
552452182,False,residential,True,86.533,30,"LINESTRING (51.9588595 27.8739166, 51.9581695 27.8734333)",مادر
552452172,False,residential,False,22.942,30,"LINESTRING (51.9584763 27.8780381, 51.9586707 27.8781523)",
552452180,False,tertiary,False,27.525,,"LINESTRING (51.9584763 27.8780381, 51.9586283 27.8778302)",مهاجر
552452180,False,tertiary,True,8.131,,"LINESTRING (51.9584763 27.8780381, 51.9584252 27.8780956)",مهاجر
552452168,False,residential,True,103.546,30,"LINESTRING (51.9590327 27.8773082, 51.9580906 27.8768915)",
552452180,False,tertiary,False,14.145,,"LINESTRING (51.9590327 27.8773082, 51.9591131 27.8772027)",مهاجر
552452180,False,tertiary,True,26.979,,"LINESTRING (51.9590327 27.8773082, 51.9588793 27.8775094)",مهاجر
552452167,False,residential,False,124.95,30,"LINESTRING (51.9580286 27.8748076, 51.9589736 27.8755592)",معلم
