osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,ref,tunnel
244676068,Venstraat,residential,30,False,False,16.268,"LINESTRING (4.5020568 51.250554, 4.5022691 51.2504928)",,,,
23541082,Peter Benoitstraat,residential,30,False,False,155.94,"LINESTRING (4.5020568 51.250554, 4.5017816 51.2501454, 4.5016902 51.2500428, 4.5016232 51.2498941, 4.5015901 51.2497382, 4.501577 51.2496547, 4.5015621 51.2494265, 4.5015615 51.2493778, 4.5015655 51.2492722, 4.5015646 51.2492091)",,,,
"[244676068, 244676069]",Venstraat,residential,30,False,True,93.33100000000002,"LINESTRING (4.5020568 51.250554, 4.5016493 51.2506655, 4.5012888 51.2507665, 4.5011824 51.2507954, 4.5011227 51.2508041, 4.5009937 51.250823, 4.500917 51.2508355, 4.5008059 51.2508456)",,,,
244676068,Venstraat,residential,30,False,False,68.928,"LINESTRING (4.502994 51.2502964, 4.5039042 51.2500521)",,,,
244676068,Venstraat,residential,30,False,True,54.976,"LINESTRING (4.502994 51.2502964, 4.5022691 51.2504928)",,,,
244676068,Venstraat,residential,30,False,True,68.928,"LINESTRING (4.5039042 51.2500521, 4.502994 51.2502964)",,,,
23541127,Leo Van Hullebuschstraat,residential,30,True,False,104.233,"LINESTRING (4.5039042 51.2500521, 4.5036797 51.249764, 4.5034674 51.2494559, 4.5034007 51.2493549, 4.5033561 51.2492907, 4.5033032 51.2491942)",,,,
23541079,Markt,residential,50,False,False,50.409,"LINESTRING (4.4979886 51.2517059, 4.4977755 51.2516644, 4.497515 51.2516137, 4.497297 51.2515712)",,,,
"[30073738, 1212697853, 1212697854]",,residential,,True,False,24.976,"LINESTRING (4.4979886 51.2517059, 4.4979792 51.2517584, 4.4979776 51.2517959, 4.4979758 51.2518398, 4.4979537 51.2519291)",,,,building_passage
23541079,Markt,residential,50,False,True,50.409000000000006,"LINESTRING (4.497297 51.2515712, 4.497515 51.2516137, 4.4977755 51.2516644, 4.4979886 51.2517059)",,,,
30073742,Markt,residential,50,True,False,73.431,"LINESTRING (4.497297 51.2515712, 4.4975491 51.2510648, 4.4975592 51.2510445, 4.4976416 51.2509488)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,False,56.122,"LINESTRING (4.5033032 51.2491942, 4.5024972 51.2492088)",,,,
30073887,Leo Van Hullebuschstraat,residential,50,False,False,213.416,"LINESTRING (4.5033032 51.2491942, 4.5033643 51.2482715, 4.5033617 51.2472757)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,False,64.91,"LINESTRING (4.5024972 51.2492088, 4.5015646 51.2492091)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,True,56.122,"LINESTRING (4.5024972 51.2492088, 4.5033032 51.2491942)",,,,
23541126,Guido Gezellestraat,residential,30,True,False,127.03200000000001,"LINESTRING (4.5024972 51.2492088, 4.5025077 51.2492601, 4.5025378 51.2494784, 4.5025704 51.2496058, 4.5026076 51.249735, 4.5026609 51.2498155, 4.5027097 51.249886, 4.502994 51.2502964)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,False,62.952,"LINESTRING (4.5015646 51.2492091, 4.5006602 51.2492159)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,True,64.91,"LINESTRING (4.5015646 51.2492091, 4.5024972 51.2492088)",,,,
23541082,Peter Benoitstraat,residential,30,False,True,155.94,"LINESTRING (4.5015646 51.2492091, 4.5015655 51.2492722, 4.5015615 51.2493778, 4.5015621 51.2494265, 4.501577 51.2496547, 4.5015901 51.2497382, 4.5016232 51.2498941, 4.5016902 51.2500428, 4.5017816 51.2501454, 4.5020568 51.250554)",,,,
475913318,Hendrik Consciencestraat,tertiary,50,False,True,62.952,"LINESTRING (4.5006602 51.2492159, 4.5015646 51.2492091)",,,,
"[23541081, 244676067]",Rubensstraat,residential,30,False,True,182.984,"LINESTRING (4.5006602 51.2492159, 4.5006578 51.2492926, 4.5006569 51.2493177, 4.5006473 51.2493938, 4.5006466 51.2494276, 4.5006352 51.2495211, 4.5006166 51.2497229, 4.5005973 51.2498713, 4.5005962 51.250087, 4.5005925 51.2501321, 4.5005924 51.2501787, 4.5006295 51.2503125, 4.5006908 51.2504877, 4.5007978 51.2507573, 4.5008059 51.2508456)",,,,
459182345,Hendrik Consciencestraat,tertiary,50,False,False,114.571,"LINESTRING (4.5006602 51.2492159, 4.5005219 51.2492211, 4.5001969 51.2492351, 4.4998906 51.249236, 4.4991922 51.2492488, 4.4990154 51.2492492)",,,,
"[1080720168, 85240974]",Verbertstraat,tertiary,50,True,False,89.557,"LINESTRING (4.4984583 51.2473847, 4.498391 51.2474529, 4.498124 51.2477219, 4.4979704 51.2478833, 4.4979066 51.2479922, 4.4978998 51.2480054, 4.4978551 51.2480918)",,1,,
23541128,Jozef Van Craenstraat,residential,30,False,True,167.196,"LINESTRING (4.5009619 51.2473416, 4.5033617 51.2472757)",,,,
326729284,Jozef Van Craenstraat,residential,30,True,False,174.336,"LINESTRING (4.5009619 51.2473416, 4.5001671 51.2473629, 4.4999067 51.2473671, 4.4994284 51.2473732, 4.4988895 51.2473783, 4.4985553 51.2473837, 4.4984583 51.2473847)",,,,
23541128,Jozef Van Craenstraat,residential,30,False,False,167.196,"LINESTRING (4.5033617 51.2472757, 4.5009619 51.2473416)",,,,
30073887,Leo Van Hullebuschstraat,residential,50,False,True,213.416,"LINESTRING (4.5033617 51.2472757, 4.5033643 51.2482715, 4.5033032 51.2491942)",,,,
26794378,Verbertstraat,tertiary,50,False,False,126.04899999999999,"LINESTRING (4.4977875 51.2498316, 4.497799 51.2502361, 4.4977789 51.2504997, 4.4977572 51.250717, 4.4977195 51.2508694, 4.4976416 51.2509488)",,,,
26794378,Verbertstraat,tertiary,50,False,True,43.117000000000004,"LINESTRING (4.4977875 51.2498316, 4.4978048 51.2495905, 4.497817 51.2495618, 4.4978407 51.2495093, 4.4978885 51.2494548)",,,,
87906979,Sint-Cordulaplein,living_street,20,False,True,63.605999999999995,"LINESTRING (4.4977875 51.2498316, 4.4978379 51.2498328, 4.4979249 51.2498602, 4.4986906 51.2498749)",,,,
147546917,Vuurkruisenlaan,residential,30,True,False,68.663,"LINESTRING (4.4975883 51.2476587, 4.4966038 51.2476979)",,,,
150889283,Victor Adriaenssensstraat,tertiary,50,False,False,16.555,"LINESTRING (4.4975883 51.2476587, 4.4975804 51.2475099)",,,,
"[1080720170, 150889283]",Victor Adriaenssensstraat,tertiary,50,False,True,42.971000000000004,"LINESTRING (4.4975883 51.2476587, 4.4976218 51.2479719, 4.4976331 51.2480441)",,,,
26794372,,tertiary,50,True,False,18.314,"LINESTRING (4.4945359 51.2503477, 4.4945241 51.2503156, 4.4945282 51.2502828, 4.494548 51.2502522, 4.4945816 51.2502269, 4.4946258 51.250209)",roundabout,,,
"[422556632, 422556633]",Churchilllaan,tertiary,50,False,False,50.334999999999994,"LINESTRING (4.4945359 51.2503477, 4.4944699 51.2503502, 4.4944137 51.2503479, 4.4942577 51.2503426, 4.4939717 51.2503334, 4.4938141 51.2503251)",,,,
15563239,Verbertstraat,tertiary,50,True,False,6.986000000000001,"LINESTRING (4.4978132 51.2493261, 4.4978356 51.249298, 4.4978698 51.249275)",roundabout,,,
"[88652154, 1080720171]",Jozef Hendrickxstraat,residential,30,True,False,60.918000000000006,"LINESTRING (4.4978132 51.2493261, 4.497741 51.2493031, 4.497666 51.2492815, 4.4974616 51.2492814, 4.4969565 51.2493108)",,,,
26794390,Verbertstraat,tertiary,50,False,True,98.261,"LINESTRING (4.4978698 51.249275, 4.4977856 51.2491726, 4.4977887 51.2488897, 4.4977868 51.2488033, 4.4977633 51.2484462, 4.4977627 51.2484044)",,,,
321745282,Verbertstraat,tertiary,50,True,False,20.963,"LINESTRING (4.4978698 51.249275, 4.4979225 51.2492567, 4.4979819 51.2492505, 4.4980412 51.2492573, 4.4980933 51.2492762, 4.4981323 51.2493049)",roundabout,,,
84582922,Verbertstraat,tertiary,50,True,False,35.36,"LINESTRING (4.4978551 51.2480918, 4.4978335 51.2481744, 4.4978096 51.2482668, 4.4977627 51.2484044)",,1,,
23541077,Zamenhoflaan,residential,30,False,False,14.983,"LINESTRING (4.4979537 51.2519291, 4.498144 51.2519921)",,,,
23541077,Zamenhoflaan,residential,30,False,True,46.669,"LINESTRING (4.4979537 51.2519291, 4.4977266 51.2519624, 4.4975978 51.2520035, 4.4974624 51.2520724, 4.4974143 51.25214)",,,,
23541077,Zamenhoflaan,residential,30,False,True,14.983,"LINESTRING (4.498144 51.2519921, 4.4979537 51.2519291)",,,,
23541077,Zamenhoflaan,residential,30,False,False,121.82900000000001,"LINESTRING (4.498144 51.2519921, 4.4982353 51.2520424, 4.4983427 51.2521096, 4.4990894 51.2525628, 4.4993965 51.2527573)",,,,
89417563,Binnenweg,residential,30,True,False,233.49,"LINESTRING (4.498144 51.2519921, 4.4984107 51.2518304, 4.4985301 51.251758, 4.4990569 51.2520463, 4.4995143 51.2523242, 4.5005769 51.2529691)",,,,
459182345,Hendrik Consciencestraat,tertiary,50,False,True,18.528,"LINESTRING (4.4987492 51.2492497, 4.4990154 51.2492492)",,,,
"[1099926801, 186622670]",Sint-Cordulaplein,living_street,20,False,True,69.657,"LINESTRING (4.4987492 51.2492497, 4.4987487 51.2492995, 4.4987147 51.2495716, 4.4987085 51.249621, 4.4986906 51.2498749)",,,,
459182345,Hendrik Consciencestraat,tertiary,50,False,False,44.007999999999996,"LINESTRING (4.4987492 51.2492497, 4.4985737 51.24925, 4.4983032 51.2492591, 4.4981323 51.2493049)",,,,
87906979,Sint-Cordulaplein,living_street,20,False,False,63.605999999999995,"LINESTRING (4.4986906 51.2498749, 4.4979249 51.2498602, 4.4978379 51.2498328, 4.4977875 51.2498316)",,,,
"[1099926801, 186622670]",Sint-Cordulaplein,living_street,20,False,False,69.657,"LINESTRING (4.4986906 51.2498749, 4.4987085 51.249621, 4.4987147 51.2495716, 4.4987487 51.2492995, 4.4987492 51.2492497)",,,,
