osmid,highway,oneway,reversed,length,name,geometry,lanes
231070007,residential,False,False,37.735,,"LINESTRING (45.3191345 34.6296617, 45.3188495 34.6294164)",
231070007,residential,False,True,50.202,,"LINESTRING (45.3191345 34.6296617, 45.3195137 34.629988)",
231087345,residential,False,True,140.13,,"LINESTRING (45.3191345 34.6296617, 45.3180302 34.6305349)",
231069990,residential,False,False,51.373,,"LINESTRING (45.3186504 34.6275842, 45.3182587 34.6272532)",
231069990,residential,False,True,52.73,,"LINESTRING (45.3186504 34.6275842, 45.3190525 34.6279239)",
231087339,residential,False,True,127.717,,"LINESTRING (45.3186504 34.6275842, 45.3176771 34.6284075)",
231069990,residential,False,False,60.899,,"LINESTRING (45.3182587 34.6272532, 45.3177944 34.6268608)",
231069990,residential,False,True,51.373,,"LINESTRING (45.3182587 34.6272532, 45.3186504 34.6275842)",
231087337,residential,False,True,133.3,,"LINESTRING (45.3182587 34.6272532, 45.3172276 34.6281001)",
231069984,residential,False,False,26.414,,"LINESTRING (45.3152061 34.6323558, 45.3154029 34.6325296)",
231069984,residential,False,True,50.73,,"LINESTRING (45.3152061 34.6323558, 45.314828 34.6320221)",
231089010,residential,False,False,55.746,,"LINESTRING (45.3152061 34.6323558, 45.3156533 34.6320153)",
230945754,secondary,False,False,22.938,شەقامی سەرسەنگ,"LINESTRING (45.32037 34.6300217, 45.3205508 34.6298788)",2
230945754,secondary,False,True,54.044,شەقامی سەرسەنگ,"LINESTRING (45.32037 34.6300217, 45.3199439 34.6303583)",2
231088996,residential,False,True,39.588,,"LINESTRING (45.32037 34.6300217, 45.3200752 34.6297611)",
231088981,residential,False,False,50.973,,"LINESTRING (45.3160372 34.6323475, 45.3156533 34.6320153)",
231089007,residential,False,False,49.902,,"LINESTRING (45.3160372 34.6323475, 45.3164462 34.6320506)",
231088981,residential,False,True,88.03999999999999,,"LINESTRING (45.3160372 34.6323475, 45.3160918 34.6323925, 45.3167166 34.6329082)",
