osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes
89514568,True,Vårbogatan,residential,40,False,142.083,"LINESTRING (13.0740212 55.6352608, 13.0731247 55.635029, 13.0730515 55.6350279, 13.0730046 55.635048, 13.0725066 55.6356303)",,,
28582092,False,Norrevångsgatan,residential,40,True,113.833,"LINESTRING (13.077802 55.63755, 13.0774651 55.6377382, 13.0784121 55.6382731)",,,
89514567,False,Pilgatan,residential,40,True,84.075,"LINESTRING (13.0807402 55.637905, 13.0795988 55.6375092)",,,
38388992,False,Kvarngatan,residential,40,False,85.739,"LINESTRING (13.0725066 55.6356303, 13.0727675 55.6357813, 13.0729523 55.6358502, 13.0737014 55.6359529)",,,
38388992,False,Kvarngatan,residential,40,True,216.555,"LINESTRING (13.0725066 55.6356303, 13.0719793 55.6353318, 13.0711587 55.6348373, 13.0701553 55.6342056)",,,
23451034,False,Vallgatan,residential,40,False,64.744,"LINESTRING (13.0759895 55.6351259, 13.0758611 55.6353261, 13.0756495 55.6356756)",,,
165787906,True,Lundavägen,secondary,40,False,14.238000000000001,"LINESTRING (13.0836464 55.6377525, 13.0836731 55.6377676, 13.0836922 55.637786, 13.0837025 55.6378066, 13.0837034 55.6378279, 13.0836948 55.6378487, 13.0836773 55.6378676)",M 852,roundabout,
1160861190,False,Svenshögsvägen,tertiary,40,True,37.643,"LINESTRING (13.0836464 55.6377525, 13.0837121 55.6376995, 13.0838669 55.6375793, 13.0839564 55.6374647)",,,
165787906,True,Lundavägen,secondary,40,False,15.030999999999999,"LINESTRING (13.0834333 55.6377697, 13.0834608 55.6377534, 13.083495 55.6377417, 13.0835334 55.6377356, 13.0835733 55.6377354, 13.0836119 55.6377412, 13.0836464 55.6377525)",M 852,roundabout,
1116234585,False,Lundavägen,secondary,40,False,223.25400000000002,"LINESTRING (13.0834333 55.6377697, 13.0832819 55.6377082, 13.0827427 55.6375028, 13.081314 55.6369205, 13.0808537 55.6367307, 13.0807154 55.6366664, 13.0805594 55.6365882)",M 852,,
165787906,True,Lundavägen,secondary,40,False,15.232,"LINESTRING (13.0836773 55.6378676, 13.0836434 55.6378872, 13.0836002 55.6378997, 13.0835522 55.6379037, 13.0835044 55.6378988, 13.0834619 55.6378856)",M 852,roundabout,
172952826,False,Elisetorpsvägen,residential,40,True,41.918,"LINESTRING (13.0835918 55.6333157, 13.0835165 55.6336249, 13.0835001 55.6336891)",,,
366503031,False,Elisetorpsvägen,residential,40,True,40.541000000000004,"LINESTRING (13.0835918 55.6333157, 13.0837766 55.6333277, 13.083831 55.6333309, 13.0840471 55.6333689, 13.0841966 55.6334243)",,,
366503031,False,Elisetorpsvägen,residential,40,False,40.541000000000004,"LINESTRING (13.0841966 55.6334243, 13.0840471 55.6333689, 13.083831 55.6333309, 13.0837766 55.6333277, 13.0835918 55.6333157)",,,
27646936,False,Dalbyvägen,tertiary,40,True,4.756,"LINESTRING (13.0835001 55.6336891, 13.0835749 55.6336959)",,,2
172952826,False,Elisetorpsvägen,residential,40,False,41.918,"LINESTRING (13.0835001 55.6336891, 13.0835165 55.6336249, 13.0835918 55.6333157)",,,
27646936,False,Dalbyvägen,tertiary,40,False,50.016,"LINESTRING (13.0843617 55.6337671, 13.084074 55.6337403, 13.0835749 55.6336959)",,,2
28582096,False,Svenshögsvägen,tertiary,40,False,170.99,"LINESTRING (13.0843617 55.6337671, 13.0843401 55.6339149, 13.0843368 55.6339451, 13.0843033 55.6341954, 13.084284 55.6344063, 13.0842656 55.6346076, 13.08424 55.6347913, 13.084169 55.6353009)",,,
172952833,False,Vinkelvägen,residential,40,True,70.559,"LINESTRING (13.0808505 55.6351445, 13.0816898 55.6352113, 13.0818309 55.6352403, 13.0819471 55.6352684)",,,
28582089,False,Ringvägen,unclassified,40,True,117.258,"LINESTRING (13.0819471 55.6352684, 13.0809923 55.6361748)",,,
28582089,False,Ringvägen,unclassified,40,False,137.511,"LINESTRING (13.0819471 55.6352684, 13.0827651 55.6344938, 13.083072 55.6342072)",,,
172952833,False,Vinkelvägen,residential,40,False,70.559,"LINESTRING (13.0819471 55.6352684, 13.0818309 55.6352403, 13.0816898 55.6352113, 13.0808505 55.6351445)",,,
