osmid,oneway,name,highway,reversed,length,lanes,geometry,ref,maxspeed
648543322,True,Avenida Presidente Perón,secondary,False,40.547,,"LINESTRING (-58.0083697 -35.5797082, -58.0083023 -35.5800687)",,
1199222979,True,Juárez,residential,False,119.214,,"LINESTRING (-58.0173118 -35.5769995, -58.017502 -35.5759386)",,
208418327,False,Arenales,residential,True,82.244,,"LINESTRING (-58.0173118 -35.5769995, -58.0166136 -35.5769194, -58.0164113 -35.5768963)",,
179135479,True,Lincoln,residential,False,104.188,,"LINESTRING (-58.015325 -35.577718, -58.0154833 -35.5767899)",,40
191286707,False,,residential,False,16.265,,"LINESTRING (-58.015325 -35.577718, -58.0152979 -35.5778626)",,
208418333,True,Avenida Lastra,secondary,False,83.934,1,"LINESTRING (-58.015325 -35.577718, -58.0162447 -35.5778192)",,
322133700,True,Muñiz,residential,False,35.514,,"LINESTRING (-58.0163022 -35.5823189, -58.0163584 -35.5820028)",,
322023539,False,Avenida Costanera España,secondary,False,78.507,2,"LINESTRING (-58.0163022 -35.5823189, -58.0160809 -35.5823202, -58.0158488 -35.5823321, -58.0154361 -35.5823613)",027-14,40
179135481,False,,residential,True,95.799,,"LINESTRING (-58.0185459 -35.5751805, -58.0184117 -35.5760351)",,
776674763,False,Remedios de Escalada,residential,False,83.113,,"LINESTRING (-58.0185459 -35.5751805, -58.0176368 -35.5750712)",,
776674763,False,Remedios de Escalada,residential,True,55.077,,"LINESTRING (-58.0185459 -35.5751805, -58.0191487 -35.5752509)",,
179135487,False,,residential,False,15.082,,"LINESTRING (-58.0171598 -35.5779198, -58.0171499 -35.5780552)",,
208418333,True,Avenida Lastra,secondary,False,137.967,1,"LINESTRING (-58.0171598 -35.5779198, -58.0178479 -35.5779935, -58.0186723 -35.5780818)",,
1199222979,True,Juárez,residential,False,103.309,,"LINESTRING (-58.0171598 -35.5779198, -58.0171612 -35.5778507, -58.0173118 -35.5769995)",,
179135512,False,La Rioja,residential,True,76.846,,"LINESTRING (-58.0163584 -35.5820028, -58.0155148 -35.5819198)",,
322133700,True,Muñiz,residential,False,72.573,,"LINESTRING (-58.0163584 -35.5820028, -58.0164778 -35.5813574)",,
179135510,False,,residential,False,16.695,,"LINESTRING (-58.0118297 -35.5773336, -58.0118025 -35.5774821)",,
208418333,True,Avenida Lastra,secondary,False,60.534,1,"LINESTRING (-58.0118297 -35.5773336, -58.012493 -35.5774066)",,
322023539,False,Avenida Costanera España,secondary,True,81.564,2,"LINESTRING (-58.0135188 -35.5828415, -58.0137784 -35.5827398, -58.0140708 -35.5826396, -58.0143445 -35.5825469)",027-14,40
