osmid,oneway,lanes,name,highway,reversed,length,geometry
249810922,False,,3a Avenida,residential,True,4.993,"LINESTRING (-89.8261495 16.8066647, -89.8261527 16.8067095)"
249810922,False,,3a Avenida,residential,False,87.81400000000001,"LINESTRING (-89.8261495 16.8066647, -89.8260815 16.805943, -89.8260583 16.8058818)"
250789087,False,,7a Calle,residential,True,78.048,"LINESTRING (-89.8279314 16.8044144, -89.8273134 16.8040367)"
250794131,False,,2a Avenida,residential,True,64.728,"LINESTRING (-89.8279314 16.8044144, -89.8276028 16.8049042)"
253202591,False,,8a Calle A,residential,False,72.93,"LINESTRING (-89.8228855 16.8051553, -89.8222028 16.8052105)"
253203845,False,,6a Avenida,residential,False,31.93,"LINESTRING (-89.8228855 16.8051553, -89.8229387 16.8054379)"
253203845,False,,6a Avenida,residential,True,101.978,"LINESTRING (-89.8228855 16.8051553, -89.8227024 16.8042551)"
253202592,False,,8a Calle,residential,False,70.945,"LINESTRING (-89.8227024 16.8042551, -89.822039 16.8043164)"
253203845,False,,6a Avenida,residential,False,101.978,"LINESTRING (-89.8227024 16.8042551, -89.8228855 16.8051553)"
253202592,False,,8a Calle,residential,False,70.49,"LINESTRING (-89.822039 16.8043164, -89.8213803 16.8043816)"
253202592,False,,8a Calle,residential,True,70.945,"LINESTRING (-89.822039 16.8043164, -89.8227024 16.8042551)"
253203848,False,,6a Avenida A,residential,True,100.937,"LINESTRING (-89.822039 16.8043164, -89.8222028 16.8052105)"
253202592,False,,8a Calle,residential,False,72.382,"LINESTRING (-89.8207126 16.8044529, -89.820037 16.8045267)"
253202592,False,,8a Calle,residential,True,71.515,"LINESTRING (-89.8207126 16.8044529, -89.8213803 16.8043816)"
253203850,False,,7a Avenida A,residential,False,104.076,"LINESTRING (-89.8207126 16.8044529, -89.8208845 16.8053743)"
253202591,False,,8a Calle A,residential,False,72.392,"LINESTRING (-89.8208845 16.8053743, -89.8202076 16.8054372)"
253202591,False,,8a Calle A,residential,True,70.936,"LINESTRING (-89.8208845 16.8053743, -89.8215478 16.8053128)"
253203850,False,,7a Avenida A,residential,False,98.142,"LINESTRING (-89.8208845 16.8053743, -89.8210577 16.8062412)"
253203850,False,,7a Avenida A,residential,True,104.076,"LINESTRING (-89.8208845 16.8053743, -89.8207126 16.8044529)"
253202591,False,,8a Calle A,residential,False,71.04,"LINESTRING (-89.8202076 16.8054372, -89.8195428 16.8054933)"
253202591,False,,8a Calle A,residential,True,72.392,"LINESTRING (-89.8202076 16.8054372, -89.8208845 16.8053743)"
253203851,False,,8a Avenida,residential,False,102.859,"LINESTRING (-89.8202076 16.8054372, -89.820037 16.8045267)"
253203851,False,,8a Avenida,residential,True,98.693,"LINESTRING (-89.8202076 16.8054372, -89.820372 16.8063107)"
253202592,False,,8a Calle,residential,False,74.235,"LINESTRING (-89.820037 16.8045267, -89.8193438 16.8045998)"
253202592,False,,8a Calle,residential,True,72.382,"LINESTRING (-89.820037 16.8045267, -89.8207126 16.8044529)"
253203851,False,,8a Avenida,residential,True,102.859,"LINESTRING (-89.820037 16.8045267, -89.8202076 16.8054372)"
253202592,False,,8a Calle,residential,True,74.235,"LINESTRING (-89.8193438 16.8045998, -89.820037 16.8045267)"
253203852,False,,9a Avenida,residential,False,101.586,"LINESTRING (-89.8193438 16.8045998, -89.8195428 16.8054933)"
253202591,False,,8a Calle A,residential,False,70.644,"LINESTRING (-89.8222028 16.8052105, -89.8215478 16.8053128)"
253202591,False,,8a Calle A,residential,True,72.93,"LINESTRING (-89.8222028 16.8052105, -89.8228855 16.8051553)"
253203848,False,,6a Avenida A,residential,False,100.937,"LINESTRING (-89.8222028 16.8052105, -89.822039 16.8043164)"
253203848,False,,6a Avenida A,residential,True,103.231,"LINESTRING (-89.8222028 16.8052105, -89.8223763 16.8061239)"
253202591,False,,8a Calle A,residential,True,71.04,"LINESTRING (-89.8195428 16.8054933, -89.8202076 16.8054372)"
253203852,False,,9a Avenida,residential,False,99.929,"LINESTRING (-89.8195428 16.8054933, -89.8197101 16.8063776)"
253203852,False,,9a Avenida,residential,True,101.586,"LINESTRING (-89.8195428 16.8054933, -89.8193438 16.8045998)"
401504563,False,,14 Calle,residential,True,142.244,"LINESTRING (-89.827794 16.8106746, -89.8276991 16.8105838, -89.8269937 16.8098224, -89.8269365 16.8097011)"
401504565,False,,1a Avenida A,residential,False,160.233,"LINESTRING (-89.827794 16.8106746, -89.8276158 16.8113229, -89.827466 16.8117674, -89.8273537 16.8120513)"
250799729,False,2,Avenida El Triángulo,secondary,False,172.594,"LINESTRING (-89.8260848 16.8110219, -89.8269365 16.8097011)"
401504596,False,,15 Calle,residential,False,81.088,"LINESTRING (-89.8260848 16.8110219, -89.8266737 16.8114845)"
250799729,False,2,Avenida El Triángulo,secondary,True,34.421,"LINESTRING (-89.8260848 16.8110219, -89.8259831 16.8111812, -89.8259161 16.811286)"
401504583,False,,4a Avenida,residential,True,143.06400000000002,"LINESTRING (-89.8260848 16.8110219, -89.8260366 16.8109572, -89.8260234 16.8108563, -89.8259807 16.8097516)"
401504560,False,,1a Avenida,residential,False,116.937,"LINESTRING (-89.8266737 16.8114845, -89.82612 16.8123928)"
401504596,False,,15 Calle,residential,False,95.975,"LINESTRING (-89.8266737 16.8114845, -89.8273537 16.8120513)"
401504596,False,,15 Calle,residential,True,81.088,"LINESTRING (-89.8266737 16.8114845, -89.8260848 16.8110219)"
401504565,False,,1a Avenida A,residential,False,83.137,"LINESTRING (-89.8273537 16.8120513, -89.8270274 16.8127306)"
401504596,False,,15 Calle,residential,True,95.975,"LINESTRING (-89.8273537 16.8120513, -89.8266737 16.8114845)"
401504565,False,,1a Avenida A,residential,True,160.233,"LINESTRING (-89.8273537 16.8120513, -89.827466 16.8117674, -89.8276158 16.8113229, -89.827794 16.8106746)"
401504596,False,,15 Calle,residential,False,82.301,"LINESTRING (-89.8273537 16.8120513, -89.8278081 16.8124429, -89.8279311 16.8125435)"
250799729,False,2,Avenida El Triángulo,secondary,False,104.193,"LINESTRING (-89.8254181 16.8120927, -89.8259161 16.811286)"
250799729,False,2,Avenida El Triángulo,secondary,True,14.741,"LINESTRING (-89.8254181 16.8120927, -89.8253419 16.8122034)"
401504594,False,,16 Calle,residential,True,81.825,"LINESTRING (-89.8254181 16.8120927, -89.82612 16.8123928)"
401504560,False,,1a Avenida,residential,True,116.937,"LINESTRING (-89.82612 16.8123928, -89.8266737 16.8114845)"
