osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,bridge
103772426,False,,აღმაშენებლის ქუჩა (Aghmashenebeli St),secondary,,,True,18.705,"LINESTRING (43.6018731 41.9960364, 43.6017386 41.9961717)",,
103772263,False,,,residential,,,False,65.674,"LINESTRING (43.6018731 41.9960364, 43.6015482 41.9958847, 43.601147 41.9958184)",,
103772263,False,,,residential,,,True,131.62,"LINESTRING (43.6018731 41.9960364, 43.6019965 41.9960863, 43.6022432 41.9961312, 43.6025909 41.9962741, 43.6031283 41.9963445, 43.6033835 41.9963417)",,
"[103771441, 103772426, 103771748]",False,,"['აღმაშენებლის ქუჩა (Aghmashenebeli St)', 'აღმაშენებლის ქუჩა']",secondary,40,,False,28.549,"LINESTRING (43.6018731 41.9960364, 43.6018997 41.9960064, 43.6020601 41.9958574, 43.6020807 41.9958316)",,yes
103771999,False,,მაისის ქუჩა,residential,,,False,36.872,"LINESTRING (43.5986777 41.9950694, 43.598347 41.995292)",,
103772365,True,2,რუსთაველის ქუჩა,secondary,50,,False,45.686,"LINESTRING (43.5986777 41.9950694, 43.598827 41.995465)",,
103772455,False,,9 აპრილის ქუჩა,residential,,,False,17.147,"LINESTRING (43.6025555 41.997208, 43.6027629 41.9972127)",,
103771858,False,,წყაროს ქუჩა,residential,,,True,68.477,"LINESTRING (43.6025555 41.997208, 43.6026348 41.9968907, 43.6026401 41.9968457, 43.602617 41.9968219, 43.6025738 41.9968025, 43.6024906 41.9967795, 43.6023487 41.9967334)",,
103772455,False,,9 აპრილის ქუჩა,residential,,,True,21.769,"LINESTRING (43.6025555 41.997208, 43.6024363 41.9972031, 43.6022953 41.9971812)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,False,32.631,"LINESTRING (43.6011051 41.9961102, 43.601147 41.9958184)",,
103771329,False,,,residential,,,False,86.69,"LINESTRING (43.6011051 41.9961102, 43.6009651 41.9961342, 43.6001189 41.9963734)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,True,53.065,"LINESTRING (43.6011051 41.9961102, 43.6010791 41.9964033, 43.6010292 41.996583)",,
103771982,False,,ტაბიძეს ქუჩა,secondary,40,,False,98.451,"LINESTRING (43.5943555 41.9958516, 43.5933098 41.9954274)",,
103772047,False,,ყაზბეგის ქუჩა,residential,,,False,168.718,"LINESTRING (43.5943555 41.9958516, 43.5957876 41.9947702)",,
103771982,False,,ტაბიძეს ქუჩა,secondary,40,,True,198.636,"LINESTRING (43.5943555 41.9958516, 43.5945414 41.9959324, 43.5952583 41.9962125, 43.5955732 41.996338, 43.5964708 41.9966997)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,True,41.901,"LINESTRING (43.6010292 41.996583, 43.6009311 41.9969527)",,
103772426,False,,აღმაშენებლის ქუჩა (Aghmashenebeli St),secondary,,,True,133.263,"LINESTRING (43.6010292 41.996583, 43.5996498 41.9972038)",,
103771457,False,,ჟორდანიას ქუჩა (Jordania St),residential,,,False,53.065,"LINESTRING (43.6010292 41.996583, 43.6010791 41.9964033, 43.6011051 41.9961102)",,
103772426,False,,აღმაშენებლის ქუჩა (Aghmashenebeli St),secondary,,,False,74.509,"LINESTRING (43.6010292 41.996583, 43.6012181 41.9964901, 43.6014253 41.9963784, 43.6016477 41.9962376, 43.6017386 41.9961717)",,
617691360,True,2,,secondary,50,yes,False,20.236,"LINESTRING (43.5991116 41.9974943, 43.5989374 41.9976222)",,
103772342,True,,,secondary,30,yes,False,23.005000000000003,"LINESTRING (43.5991116 41.9974943, 43.5990637 41.9974917, 43.5990176 41.9974817, 43.5990025 41.9974766, 43.598988 41.9974707, 43.5989741 41.997464, 43.5989608 41.9974566, 43.5989484 41.9974485, 43.5989367 41.9974397, 43.598926 41.9974303, 43.5989162 41.9974204, 43.5989073 41.99741, 43.5988996 41.9973991, 43.5988929 41.9973878)",roundabout,
