osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
183054535,Rahumäe,residential,False,True,290.65999999999997,"LINESTRING (25.54732 58.1038381, 25.5473063 58.1037735, 25.5476065 58.1031621, 25.5478936 58.1025772, 25.5485176 58.1013062)",,,,
212502793,Põllu,residential,False,False,85.24,"LINESTRING (25.54732 58.1038381, 25.547218 58.1038356, 25.5470939 58.1038325, 25.5466493 58.1038214, 25.5464026 58.1038152, 25.5458708 58.103802)",,,,
177277403,Lõuna,residential,False,False,268.97600000000006,"LINESTRING (25.549602 58.1001342, 25.5499127 58.0999526, 25.5500478 58.0998205, 25.5503094 58.0994825, 25.5507035 58.0989704, 25.5507572 58.0989007, 25.5510598 58.0985076, 25.5512712 58.0982329, 25.5514531 58.0980283, 25.5514839 58.0979827, 25.5515067 58.0979495)",,,,
177277403,Lõuna,residential,False,True,32.462,"LINESTRING (25.549602 58.1001342, 25.549359 58.1002121, 25.5491247 58.1002811)",,,,
177869245,Aia,residential,False,False,26.464999999999996,"LINESTRING (25.549602 58.1001342, 25.5494858 58.1000815, 25.5492817 58.0999673)",,,,
177869245,Aia,residential,False,True,156.274,"LINESTRING (25.549602 58.1001342, 25.5501989 58.1004616, 25.5504472 58.1006292, 25.5508444 58.1008974, 25.5513028 58.1012124)",,,,
183054535,Rahumäe,residential,False,False,24.857,"LINESTRING (25.5491247 58.1002811, 25.5489678 58.1004887)",,,,
177277403,Lõuna,residential,False,False,32.462,"LINESTRING (25.5491247 58.1002811, 25.549359 58.1002121, 25.549602 58.1001342)",,,,
183054535,Rahumäe,residential,False,True,36.092,"LINESTRING (25.5491247 58.1002811, 25.5492068 58.1001169, 25.5492817 58.0999673)",,,,
106515441,Pärnu mnt,primary,False,True,146.803,"LINESTRING (25.5443054 58.1052543, 25.5451755 58.1051893, 25.5453449 58.1051692, 25.5455042 58.1051549, 25.5461176 58.105085, 25.546275 58.1050702, 25.5464241 58.1050529, 25.5465093 58.1050462, 25.5467645 58.1050682)",2,6,50,
214709054,Jüri Kivistiku,residential,False,True,166.342,"LINESTRING (25.5443054 58.1052543, 25.5442959 58.1051843, 25.5442684 58.1047988, 25.5442598 58.1046937, 25.5442266 58.1042853, 25.54422 58.1041327, 25.5441931 58.1037596)",,,30,
177277409,Lepiku,residential,False,False,360.613,"LINESTRING (25.5458708 58.103802, 25.5457563 58.1033896, 25.5457765 58.1033105, 25.5457954 58.1032363, 25.5458337 58.1031505, 25.5458953 58.1030126, 25.5459748 58.1028346, 25.5460668 58.1026284, 25.5461594 58.102421, 25.5462687 58.1021762, 25.5463748 58.1019386, 25.5464632 58.1017405, 25.5465544 58.1015364, 25.5466422 58.1013397, 25.5469563 58.1006361)",,,,
212502793,Põllu,residential,False,False,98.702,"LINESTRING (25.5458708 58.103802, 25.5457193 58.103803, 25.5451959 58.1037881, 25.5447445 58.1037753, 25.5441931 58.1037596)",,,,
212502793,Põllu,residential,False,True,85.24,"LINESTRING (25.5458708 58.103802, 25.5464026 58.1038152, 25.5466493 58.1038214, 25.5470939 58.1038325, 25.547218 58.1038356, 25.54732 58.1038381)",,,,
177277396,Kivi,residential,False,True,110.641,"LINESTRING (25.5471361 58.1002581, 25.5489678 58.1004887)",,,,
177277409,Lepiku,residential,False,True,43.339,"LINESTRING (25.5471361 58.1002581, 25.5469563 58.1006361)",,,,
"[177277396, 214709054]","['Jüri Kivistiku', 'Kivi']",residential,False,False,157.23700000000002,"LINESTRING (25.5471361 58.1002581, 25.5467 58.1002085, 25.5463279 58.1001634, 25.5459662 58.1001196, 25.5454654 58.1000519, 25.5453871 58.1000632, 25.5452907 58.1000787, 25.5451815 58.100104, 25.5451386 58.1001139, 25.5451276 58.100164, 25.5451689 58.1003466, 25.5452429 58.1004267)",,,30,
177871440,Väike-Aia,residential,False,True,103.33500000000001,"LINESTRING (25.5452429 58.1004267, 25.5461689 58.1005399, 25.5469563 58.1006361)",,,,
214709054,Jüri Kivistiku,residential,False,False,313.779,"LINESTRING (25.5452429 58.1004267, 25.5452441 58.1004854, 25.5449791 58.1011164, 25.5449407 58.1012078, 25.5448933 58.1013284, 25.5448098 58.1015407, 25.5447426 58.1017117, 25.5447298 58.1017425, 25.5446319 58.1019793, 25.5445315 58.1022216, 25.5444439 58.1024334, 25.5443591 58.1026382, 25.5442509 58.1028995, 25.5441326 58.1031854)",,,30,
"[177277396, 214709054]","['Jüri Kivistiku', 'Kivi']",residential,False,True,157.23699999999997,"LINESTRING (25.5452429 58.1004267, 25.5451689 58.1003466, 25.5451276 58.100164, 25.5451386 58.1001139, 25.5451815 58.100104, 25.5452907 58.1000787, 25.5453871 58.1000632, 25.5454654 58.1000519, 25.5459662 58.1001196, 25.5463279 58.1001634, 25.5467 58.1002085, 25.5471361 58.1002581)",,,30,
212502793,Põllu,residential,False,True,98.70200000000001,"LINESTRING (25.5441931 58.1037596, 25.5447445 58.1037753, 25.5451959 58.1037881, 25.5457193 58.103803, 25.5458708 58.103802)",,,,
