osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
224721587,,,,residential,30,False,False,78.895,"LINESTRING (80.7313342 7.2947802, 80.731111 7.2946321, 80.731093 7.2945628, 80.7310984 7.2944484, 80.7311184 7.2941921)",
224721599,,,Digana Village Main Entrance Road,tertiary,30,False,False,199.081,"LINESTRING (80.7313342 7.2947802, 80.7307891 7.2955759, 80.7307245 7.2956702, 80.7304358 7.2960233, 80.7302405 7.2961963)",
224721599,,,Digana Village Main Entrance Road,tertiary,30,False,True,225.415,"LINESTRING (80.7313342 7.2947802, 80.7317152 7.294274, 80.7325569 7.2931558)",
224721598,,,,residential,30,False,False,48.536,"LINESTRING (80.7328949 7.2955863, 80.7328565 7.2956735, 80.7327881 7.295732, 80.7327018 7.2957631, 80.7325409 7.2957817)",
224721595,,,,residential,30,False,False,146.40699999999998,"LINESTRING (80.7325569 7.2931558, 80.7326814 7.2933404, 80.7329464 7.2935969, 80.73322 7.2937246, 80.7334775 7.2937672, 80.7336473 7.2937687)",
224721599,,,Digana Village Main Entrance Road,tertiary,30,False,False,225.415,"LINESTRING (80.7325569 7.2931558, 80.7317152 7.294274, 80.7313342 7.2947802)",
224721587,,,,residential,30,False,True,78.895,"LINESTRING (80.7311184 7.2941921, 80.7310984 7.2944484, 80.731093 7.2945628, 80.731111 7.2946321, 80.7313342 7.2947802)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,30.526,"LINESTRING (80.7302405 7.2961963, 80.7300601 7.2959881)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,7.533,"LINESTRING (80.7302405 7.2961963, 80.7302801 7.2962515)",
224721599,,,Digana Village Main Entrance Road,tertiary,30,False,True,199.08100000000002,"LINESTRING (80.7302405 7.2961963, 80.7304358 7.2960233, 80.7307245 7.2956702, 80.7307891 7.2955759, 80.7313342 7.2947802)",
224721595,,,,residential,30,False,True,146.40699999999998,"LINESTRING (80.7336473 7.2937687, 80.7334775 7.2937672, 80.73322 7.2937246, 80.7329464 7.2935969, 80.7326814 7.2933404, 80.7325569 7.2931558)",
369659166,,,,residential,,False,True,199.37400000000002,"LINESTRING (80.7336473 7.2937687, 80.7332976 7.2940326, 80.733142 7.294171, 80.7330132 7.2943599, 80.7323601 7.2950157)",
"[224721592, 1183802344]",,,,residential,30,False,True,281.334,"LINESTRING (80.7310365 7.2972279, 80.7310903 7.2971513, 80.7315838 7.2966724, 80.731758 7.2964058, 80.7319189 7.2960865, 80.7320369 7.2955531, 80.7320532 7.2954474, 80.7320814 7.2953596, 80.7321256 7.295309, 80.7323576 7.2951773)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,62.101,"LINESTRING (80.7310365 7.2972279, 80.7308943 7.2970789, 80.7306797 7.2967969)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,86.146,"LINESTRING (80.7310365 7.2972279, 80.731243 7.297305, 80.7314871 7.2973583, 80.7317955 7.2973938)",
1183802345,,,,residential,,False,True,36.291,"LINESTRING (80.7325409 7.2957817, 80.7322168 7.2957254)",
224721598,,,,residential,30,False,False,236.13100000000003,"LINESTRING (80.7325409 7.2957817, 80.732506 7.2963005, 80.7327018 7.2964522, 80.7325409 7.2965958, 80.732227 7.2967847, 80.7320448 7.296921, 80.7318303 7.2971791, 80.7317955 7.2973938)",
224721598,,,,residential,30,False,True,48.536,"LINESTRING (80.7325409 7.2957817, 80.7327018 7.2957631, 80.7327881 7.295732, 80.7328565 7.2956735, 80.7328949 7.2955863)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,24.717,"LINESTRING (80.7317955 7.2973938, 80.7320181 7.2974195)",
224721598,,,,residential,30,False,True,236.131,"LINESTRING (80.7317955 7.2973938, 80.7318303 7.2971791, 80.7320448 7.296921, 80.732227 7.2967847, 80.7325409 7.2965958, 80.7327018 7.2964522, 80.732506 7.2963005, 80.7325409 7.2957817)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,86.146,"LINESTRING (80.7317955 7.2973938, 80.7314871 7.2973583, 80.731243 7.297305, 80.7310365 7.2972279)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,39.334,"LINESTRING (80.7300601 7.2959881, 80.7298543 7.2956992)",
